GENESIS-Tabelle: 14333-01-02-5
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinden, Samtgemeinden;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
20.01.2013;03154404007;Grafhorst;839;60,4;497;187;216;27;41;8;18
20.01.2013;03154404009;Groß Twülpstedt;2117;63,0;1320;491;500;150;91;21;67
20.01.2013;03154404024;Velpke;3695;54,7;1982;751;750;234;114;45;88
20.01.2013;03154501;Brunsleberfeld, gem.fr. Geb.;0;0,0;0;0;0;0;0;0;0
20.01.2013;03154502;Helmstedt, gem.fr. Geb.;0;0,0;0;0;0;0;0;0;0
20.01.2013;03154503;Königslutter, gem.fr. Geb.;0;0,0;0;0;0;0;0;0;0
20.01.2013;03154504;Mariental, gem.fr. Geb.;0;0,0;0;0;0;0;0;0;0
20.01.2013;03154506;Schöningen, gem.fr. Geb.;0;0,0;0;0;0;0;0;0;0
20.01.2013;03155001;Bad Gandersheim;8241;61,6;4993;1620;1672;639;703;172;187
20.01.2013;03155002;Bodenfelde;2744;57,7;1557;436;682;182;100;61;96
20.01.2013;03155003;Dassel;8305;62,9;5128;1746;2046;486;523;149;178
20.01.2013;03155004;Einbeck;-;-;-;-;-;-;-;-;-
20.01.2013;03155005;Hardegsen;6486;63,8;4082;1250;1595;535;393;108;201
20.01.2013;03155006;Kalefeld;5451;61,7;3305;1053;1380;347;286;96;143
20.01.2013;03155007;Katlenburg-Lindau;5843;64,8;3738;1371;1550;332;239;72;174
20.01.2013;03155008;Kreiensen;-;-;-;-;-;-;-;-;-
