GENESIS-Tabelle: 31121-03-02-5-B
Baufertigstellungen: Wohnungen in Wohn- und;;;;;;
Nichtwohngebäuden (einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baufertigstellungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01053057;Horst;0;0;0;0;0
01053058;Juliusburg;-;-;-;-;-
01053059;Kankelau;-;-;-;-;-
01053060;Kasseburg;1;0;0;0;1
01053061;Kastorf;3;0;-1;2;2
01053062;Kittlitz;-;-;-;-;-
01053064;Klein Pampau;3;0;1;0;2
01053066;Klein Zecher;-;-;-;-;-
01053067;Klempau;-;-;-;-;-
01053068;Klinkrade;1;0;0;-1;2
01053069;Koberg;3;0;0;-1;4
01053070;Köthel;2;0;0;1;1
01053071;Kollow;1;0;0;0;1
01053072;Kröppelshagen-Fahrendorf;10;0;0;4;6
01053073;Krüzen;7;0;1;1;5
01053074;Krukow;-;-;-;-;-
01053075;Krummesse;8;0;1;0;7
01053076;Kuddewörde;1;0;0;0;1
01053077;Kühsen;2;0;0;1;1
01053078;Kulpin;1;0;0;0;1
01053079;Labenz;2;0;0;0;2
01053080;Langenlehsten;-;-;-;-;-
01053081;Lankau;0;0;0;0;0
01053082;Lanze;-;-;-;-;-
01053083;Lauenburg/Elbe;30;14;3;-1;14
01053084;Lehmrade;2;0;0;0;2
01053085;Linau;2;0;0;2;0
01053086;Lüchow;1;0;0;0;1
01053087;Lütau;3;0;1;0;2
01053088;Mechow;1;0;0;0;1
01053089;Möhnsen;3;0;0;0;3
01053090;Mölln;0;0;0;0;0
01053091;Mühlenrade;0;0;0;0;0
01053092;Müssen;11;0;1;4;6
01053093;Mustin;6;0;2;2;2
01053094;Niendorf bei Berkenthin;-;-;-;-;-
01053095;Niendorf/Stecknitz;2;0;0;0;2
01053096;Nusse;10;3;2;1;4
01053097;Panten;2;0;2;0;0
01053098;Pogeez;7;0;0;-1;8
01053099;Poggensee;1;0;0;0;1
01053100;Ratzeburg;11;0;-1;4;8
01053101;Ritzerau;1;0;0;0;1
01053102;Römnitz;-;-;-;-;-
01053103;Rondeshagen;6;1;3;-1;3
01053104;Roseburg;0;0;0;0;0
01053105;Sachsenwald;-;-;-;-;-
01053106;Sahms;0;0;0;0;0
01053107;Salem;4;0;2;0;2
01053108;Sandesneben;8;0;2;1;5
01053109;Schiphorst;5;1;0;0;4
01053110;Schmilau;0;0;0;0;0
01053111;Schnakenbek;12;0;0;1;11
