GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053091;Mühlenrade;51;39;10;7,7;81;0;5;13;17;23;10;13;102
01053092;Müssen;319;266;48;41,0;397;1;4;31;99;118;70;74;562
01053093;Mustin;248;210;33;30,4;305;0;6;31;61;106;60;41;322
01053094;Niendorf bei Berkenthin;64;60;4;8,1;71;0;1;6;15;20;13;16;123
01053095;Niendorf/Stecknitz;202;182;14;25,5;239;0;6;27;44;75;51;36;287
01053096;Nusse;338;295;39;40,6;401;0;7;44;91;126;69;64;480
01053097;Panten;233;215;14;24,3;279;4;22;55;72;62;23;41;328
01053098;Pogeez;134;110;18;19,8;172;0;6;22;40;39;28;37;292
01053099;Poggensee;100;80;19;13,2;122;0;1;13;25;31;19;33;257
01053100;Ratzeburg;3444;2515;388;588,7;7267;60;490;1638;2193;1498;759;629;4823
01053101;Ritzerau;89;79;9;11,7;102;0;4;9;24;30;15;20;163
01053102;Römnitz;20;16;4;2,3;28;0;2;7;8;5;2;4;33
01053103;Rondeshagen;228;185;37;33,0;291;4;2;29;62;86;63;45;360
01053104;Roseburg;177;148;23;22,8;221;0;7;20;46;67;38;43;331
01053105;Sachsenwald;0;0;0;0,0;0;0;0;0;0;0;0;0;0
01053106;Sahms;126;110;14;17,0;150;0;3;11;32;43;36;25;199
01053107;Salem;246;205;25;32,4;324;7;12;52;65;87;47;54;416
01053108;Sandesneben;439;355;69;62,8;576;1;6;58;126;174;118;93;728
01053109;Schiphorst;168;135;30;22,0;211;2;5;16;53;61;42;32;238
01053110;Schmilau;212;172;32;28,8;283;0;11;44;48;66;62;52;418
01053111;Schnakenbek;286;237;38;37,6;365;2;3;36;73;119;87;45;355
01053112;Schönberg;365;292;59;50,6;485;5;11;61;107;144;89;68;535
01053113;Schretstaken;138;108;24;18,7;185;2;8;23;35;59;34;24;196
01053114;Schürensöhlen;59;52;7;7,3;71;0;0;5;15;31;14;6;44
01053115;Schulendorf;143;121;21;18,7;171;0;3;15;35;52;32;34;275
01053116;Schwarzenbek;3177;2531;308;548,4;6912;31;307;1501;2100;1706;909;358;2731
01053117;Seedorf;238;180;44;32,9;328;5;8;70;75;75;45;50;408
01053118;Siebenbäumen;166;129;31;22,5;239;0;3;23;69;70;36;38;293
01053119;Siebeneichen;79;57;19;10,9;106;0;3;16;18;31;23;15;118
01053120;Sierksrade;101;77;19;13,7;138;1;0;22;33;41;20;21;164
01053121;Sirksfelde;82;71;9;11,8;110;0;0;12;27;32;24;15;114
01053122;Steinhorst;172;142;25;21,3;208;0;3;29;61;55;33;27;212
01053123;Sterley;309;233;67;40,2;400;1;12;44;101;121;64;57;441
01053124;Stubben;125;99;25;16,7;162;1;4;16;44;49;29;19;154
01053125;Talkau;173;150;21;21,6;203;0;1;17;51;61;41;32;247
01053126;Tramm;101;80;18;13,2;128;0;2;22;32;32;17;23;182
01053127;Walksfelde;61;56;3;7,7;71;0;1;4;19;23;13;11;83
01053128;Wangelau;60;45;15;8,7;79;0;3;5;14;26;12;19;153
01053129;Wentorf bei Hamburg;2093;1486;276;444,9;4937;27;176;875;1708;1164;534;453;3494
01053130;Wentorf (Amt Sandesneben);201;169;27;26,3;254;0;5;36;57;63;56;37;281
01053131;Wiershop;48;44;3;6,3;57;0;0;2;10;18;12;15;109
01053132;Witzeeze;257;207;45;32,4;326;1;8;44;72;100;53;48;381
01053133;Wohltorf;776;578;131;129,1;1187;43;31;190;230;266;174;253;2020
01053134;Woltersdorf;93;79;12;11,7;116;0;3;10;27;51;12;13;107
01053135;Worth;49;35;12;7,7;67;0;1;8;15;19;13;11;92
01053136;Ziethen;316;272;37;41,2;381;2;14;29;53;126;92;65;493
01054001;Achtrup;515;429;67;68,6;666;2;8;81;133;248;110;84;649
01054002;Ahrenshöft;207;185;20;25,7;236;2;6;30;53;62;41;42;316
01054003;Ahrenviöl;173;140;29;22,4;232;9;1;37;47;57;36;45;331
01054004;Ahrenviölfeld;88;68;20;12,0;108;0;1;17;17;29;20;24;183
01054005;Alkersum;155;114;35;22,6;217;2;25;26;43;36;32;53;429
01054006;Almdorf;208;169;36;27,8;258;1;2;22;63;77;47;46;359
01054007;Arlewatt;122;109;11;15,1;142;0;2;16;31;39;27;27;202
01054009;Aventoft;208;186;14;26,2;252;0;9;27;60;71;45;40;317
01054010;Bargum;218;185;30;28,4;270;3;5;25;52;89;41;55;431
01054011;Behrendorf;200;164;33;29,6;249;0;7;29;50;65;39;59;455
01054012;Bohmstedt;276;233;39;36,5;339;3;15;33;81;94;57;56;420
01054013;Bondelum;55;41;13;8,2;86;6;0;6;24;15;15;20;151
01054014;Bordelum;749;649;83;96,4;953;3;28;141;214;237;188;142;1087
01054015;Borgsum;120;75;41;19,2;171;8;11;20;30;38;30;34;288
01054016;Bosbüll;75;62;12;9,8;93;0;5;8;26;18;17;19;143
01054017;Braderup;258;221;30;34,1;322;2;11;51;86;72;52;48;378
01054018;Bramstedtlund;65;50;13;9,2;97;0;0;11;25;28;20;13;100
01054019;Bredstedt;1798;1485;187;236,3;2533;19;101;451;678;636;361;287;2174
01054020;Breklum;833;725;90;108,4;983;1;13;102;236;286;177;168;1282
01054022;Dagebüll;488;433;40;60,4;596;12;32;79;155;130;82;106;843
01054023;Drage;214;192;20;26,8;273;0;6;26;60;82;61;38;316
