GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
08125047;Ittlingen;663;425;194;104,6;1005;7;32;139;210;254;168;195;1535
08125048;Jagsthausen;507;362;125;75,0;706;10;25;80;166;125;136;164;1289
08125049;Kirchardt;1448;958;379;235,2;2177;11;77;263;450;510;410;456;3573
08125056;Lauffen am Neckar, Stadt;2656;1619;608;476,9;5274;56;178;876;1631;1197;669;667;5095
08125057;Lehrensteinsfeld;718;571;122;105,5;933;5;28;83;132;250;230;205;1568
08125058;Leingarten;2861;1963;579;475,9;4996;47;191;771;1301;1255;740;691;5262
08125059;Löwenstein, Stadt;914;614;237;141,4;1378;35;62;176;265;317;275;248;1946
08125061;Massenbachhausen;994;685;229;154,6;1492;10;44;175;327;406;317;213;1637
08125063;Möckmühl, Stadt;1882;1223;433;334,0;3312;25;85;418;761;841;569;613;4789
08125065;Neckarsulm, Stadt;5508;3231;1322;1014,2;11704;225;503;1958;3675;2643;1408;1292;9888
08125066;Neckarwestheim;967;659;221;153,1;1563;35;64;247;354;331;281;251;1928
08125068;Neudenau, Stadt;1531;1032;413;234,6;2240;9;54;278;470;530;412;487;3773
08125069;Neuenstadt am Kocher, Stadt;2498;1657;614;429,2;4174;22;133;563;1035;960;735;726;5652
08125074;Nordheim;2043;1332;508;326,0;3304;33;111;406;810;833;567;544;4122
08125078;Oedheim;1670;1137;419;271,3;2585;11;60;287;622;615;479;511;3913
08125079;Offenau;707;445;193;121,9;1225;7;35;132;325;330;206;190;1471
08125081;Pfaffenhofen;757;569;159;101,7;1023;8;19;120;229;256;204;187;1411
08125084;Roigheim;449;300;118;63,4;644;4;20;96;151;160;102;111;861
08125086;Schwaigern, Stadt;3004;1952;767;493,5;4908;39;166;651;1087;1204;850;911;7043
08125087;Siegelsbach;458;304;118;73,1;718;1;30;78;163;176;124;146;1124
08125094;Talheim;1461;1009;344;241,1;2322;31;112;294;453;559;450;423;3304
08125096;Untereisesheim;988;705;184;171,6;1762;16;74;235;419;420;317;281;2105
08125098;Untergruppenbach;2301;1651;438;374,0;3651;33;136;477;859;825;654;667;5096
08125102;Weinsberg, Stadt;2749;1708;659;500,1;5461;125;246;968;1434;1192;799;697;5392
08125103;Widdern, Stadt;611;481;106;83,8;807;3;27;102;150;212;147;166;1295
08125107;Wüstenrot;2059;1555;411;291,0;2924;61;140;392;602;703;454;572;4426
08125108;Zaberfeld;1373;1067;258;184,1;1793;13;59;210;399;425;333;354;2710
08125110;Obersulm;3837;2630;927;604,9;6190;162;236;842;1426;1453;962;1109;8480
08125111;Hardthausen am Kocher;1119;780;265;178,3;1670;7;40;189;390;389;293;362;2818
08125113;Langenbrettach;1042;747;218;170,5;1559;10;37;173;323;387;270;359;2811
08126011;Bretzfeld;3370;2327;803;539,8;5292;29;169;692;1223;1166;972;1041;8057
08126020;Dörzbach;726;510;162;110,7;1056;15;34;108;201;264;199;235;1821
08126028;Forchtenberg, Stadt;1418;938;383;224,8;2191;14;91;332;453;459;332;510;3967
08126039;Ingelfingen, Stadt;1504;958;420;253,4;2522;43;112;317;489;514;415;632;4884
08126045;Krautheim, Stadt;1348;909;328;212,6;2005;27;84;221;381;442;385;465;3635
08126046;Künzelsau, Stadt;3476;2077;904;671,6;7126;157;440;1266;1769;1334;962;1198;9502
08126047;Kupferzell;1457;943;356;258,0;2448;24;110;279;623;497;369;546;4338
08126056;Mulfingen;1168;863;255;184,3;1615;27;79;147;263;311;261;527;4204
08126058;Neuenstein, Stadt;1799;1299;375;283,6;2668;15;86;300;566;607;451;643;5106
08126060;Niedernhall, Stadt;1012;632;254;185,3;1896;33;70;291;513;371;270;348;2709
08126066;Öhringen, Stadt;4905;3136;1012;924,0;10175;85;445;1785;2822;2225;1387;1426;11126
08126069;Pfedelbach;2398;1652;579;392,3;3872;42;103;524;900;849;657;797;6201
08126072;Schöntal;1867;1332;460;284,3;2563;17;65;263;479;595;452;692;5492
08126085;Waldenburg, Stadt;814;538;202;136,1;1389;39;58;223;273;306;190;300;2327
08126086;Weißbach;542;336;157;91,8;897;9;19;133;190;210;140;196;1540
08126094;Zweiflingen;450;341;99;69,7;581;6;18;48;81;128;108;192;1540
08127008;Blaufelden;1549;1179;294;246,3;2204;16;45;203;426;462;374;678;5478
08127009;Braunsbach;803;617;152;119,2;1038;3;23;98;187;218;202;307;2443
08127012;Bühlertann;815;539;214;128,2;1267;5;22;172;287;294;229;258;2004
08127013;Bühlerzell;697;552;117;95,9;902;12;16;145;170;210;129;220;1762
08127014;Crailsheim, Stadt;7352;4295;2010;1346,2;14628;114;518;2014;4249;3472;2209;2052;15955
08127023;Fichtenberg;815;509;237;128,9;1330;32;46;148;342;290;217;255;1967
08127025;Gaildorf, Stadt;2811;1611;777;498,7;5510;41;197;741;1690;1247;794;800;6217
08127032;Gerabronn, Stadt;1223;918;202;190,4;1905;0;75;200;508;397;298;427;3365
08127043;Ilshofen, Stadt;1564;1107;324;256,4;2461;34;70;251;491;577;457;581;4604
08127046;Kirchberg an der Jagst, Stadt;1225;907;234;183,7;1743;31;71;185;322;397;299;438;3536
08127047;Langenburg, Stadt;581;387;146;92,7;908;5;46;99;192;209;142;215;1706
08127052;Mainhardt;1675;1224;351;260,6;2483;18;92;322;480;557;470;544;4273
08127056;Michelbach an der Bilz;907;548;273;161,3;1542;22;64;159;319;318;322;338;2633
08127059;Michelfeld;960;598;274;169,2;1620;21;65;233;336;327;305;333;2602
08127062;Oberrot;1022;710;237;159,4;1534;13;53;204;291;361;282;330;2561
08127063;Obersontheim;1276;886;311;200,5;1931;19;49;216;420;443;335;449;3499
08127071;Rot am See;1521;1136;309;240,4;2118;9;51;218;368;446;350;676;5447
08127073;Satteldorf;1498;1070;338;235,1;2215;15;67;239;441;495;383;575;4550
08127075;Schrozberg, Stadt;1680;1253;322;274,1;2601;39;79;311;570;548;400;654;5254
08127076;Schwäbisch Hall, Stadt;8094;4867;1812;1602,3;17803;448;943;2878;4839;3849;2299;2547;19931
08127079;Sulzbach-Laufen;703;450;193;113,7;1112;15;30;128;216;282;165;276;2190
08127086;Untermünkheim;836;501;270;137,4;1316;12;49;177;265;276;229;308;2466
08127089;Vellberg, Stadt;1247;883;281;192,4;1872;24;51;218;378;459;396;346;2712
08127091;Wallhausen;1015;731;205;160,4;1509;6;35;166;326;337;271;368;2939
08127099;Wolpertshausen;537;371;130;88,0;802;15;28;87;134;155;162;221;1763
08127100;Rosengarten;1371;857;373;228,5;2237;19;65;248;531;520;393;461;3584
08127101;Kreßberg;1174;826;291;182,4;1633;11;27;156;268;371;332;468;3682
08127102;Fichtenau;1400;975;347;207,6;1984;17;55;220;363;449;400;480;3764
08127103;Frankenhardt;1417;1010;338;224,1;1954;9;54;174;334;393;406;584;4704
08127104;Stimpfach;826;549;209;135,1;1225;6;33;110;253;264;256;303;2400
08128006;Assamstadt;609;390;183;100,4;885;3;28;92;157;206;179;220;1748
08128007;Bad Mergentheim, Stadt;5328;3053;1349;1030,8;11555;501;712;2061;2913;2146;1367;1855;14509
08128014;Boxberg, Stadt;2142;1481;557;317,5;3025;14;99;356;590;616;578;772;6080
08128020;Creglingen, Stadt;1580;1228;293;238,0;2123;2;82;237;343;354;309;796;6463
08128039;Freudenberg, Stadt;1198;762;366;187,5;1786;10;45;213;372;439;284;423;3326
08128045;Großrinderfeld;1184;805;315;189,6;1667;6;40;132;310;367;322;490;3889
08128047;Grünsfeld, Stadt;1128;769;321;174,1;1568;0;46;180;271;316;265;490;3891
08128058;Igersheim;1363;793;366;246,2;2478;25;108;350;570;548;394;483;3821
08128061;Königheim;994;688;282;155,8;1367;3;47;133;194;271;272;447;3544
08128064;Külsheim, Stadt;1669;1184;399;251,7;2369;10;51;221;474;564;473;576;4482
08128082;Niederstetten, Stadt;1490;1055;329;236,4;2270;11;61;271;457;406;364;700;5589
08128115;Tauberbischofsheim, Stadt;3518;2151;949;624,5;6264;80;310;894;1516;1260;942;1262;9940
08128126;Weikersheim, Stadt;2199;1493;558;346,3;3357;33;121;385;740;681;537;860;6799
08128128;Werbach;1126;789;286;169,0;1549;4;34;162;289;364;270;426;3341
08128131;Wertheim, Stadt;5549;3154;1643;1045,6;10982;86;613;1943;2945;2154;1454;1787;14066
08128137;Wittighausen;513;354;134;82,2;714;2;13;66;126;154;136;217;1755
08128138;Ahorn;760;592;148;108,4;984;2;33;100;166;183;200;300;2367
08128139;Lauda-Königshofen, Stadt;4139;2555;1214;674,4;6834;85;245;810;1661;1542;1111;1380;10817
08135010;Dischingen;1463;1108;310;213,8;1910;6;51;192;310;467;391;493;3870
08135015;Gerstetten;3603;2574;865;528,6;5215;36;107;582;1227;1239;1027;997;7639
08135016;Giengen an der Brenz, Stadt;4821;3200;988;808,9;8907;56;337;1185;2558;2408;1192;1171;9129
08135019;Heidenheim an der Brenz, Stadt;11127;6683;2669;1999,6;23906;517;909;3945;8070;4899;2755;2811;21697
08135020;Herbrechtingen, Stadt;3537;2258;919;576,9;6060;30;160;859;1574;1541;995;901;6944
08135021;Hermaringen;725;518;174;106,9;1008;4;20;89;220;250;186;239;1829
08135025;Königsbronn;2061;1418;478;327,8;3420;16;143;422;806;849;627;557;4309
08135026;Nattheim;1708;1094;462;284,1;2883;36;97;349;716;672;533;480;3681
08135027;Niederstotzingen, Stadt;1441;1055;308;215,7;2106;15;55;204;500;490;447;395;3010
08135031;Sontheim an der Brenz;1721;1202;436;255,6;2468;6;50;283;564;573;528;464;3567
08135032;Steinheim am Albuch;2509;1625;698;401,8;4032;51;114;507;984;961;687;728;5636
08136002;Abtsgmünd;2138;1385;608;330,1;3263;34;95;390;701;843;591;609;4682
08136003;Adelmannsfelden;543;393;126;80,2;762;1;17;81;145;177;161;180;1389
08136007;Bartholomä;736;554;164;100,4;957;10;44;113;189;218;202;181;1428
08136009;Böbingen an der Rems;1260;733;448;205,1;1991;11;52;209;453;545;360;361;2783
08136010;Bopfingen, Stadt;3450;2321;847;538,7;5399;59;219;694;1244;1211;863;1109;8675
08136015;Durlangen;785;495;237;130,2;1246;3;60;91;240;360;236;256;2021
08136018;Ellenberg;513;344;151;78,8;729;0;11;59;120;187;146;206;1629
08136019;Ellwangen (Jagst), Stadt;5838;3504;1659;1060,7;10643;129;323;1408;2513;2270;1822;2178;16970
08136020;Eschach;530;384;115;83,6;738;2;10;62;146;154;155;209;1659
08136021;Essingen;1670;1006;494;298,6;2847;25;122;329;586;693;583;509;3926
08136024;Göggingen;694;452;196;108,2;1035;6;31;86;221;299;219;173;1344
08136027;Gschwend;1586;1127;384;234,0;2257;12;63;246;466;559;400;511;4037
08136028;Heubach, Stadt;2190;1321;542;418,1;4490;95;160;628;1174;1074;671;688;5355
08136029;Heuchlingen;527;334;164;85,1;783;7;29;73;121;194;162;197;1541
08136033;Hüttlingen;1549;851;584;254,3;2528;11;61;277;608;641;471;459;3565
08136034;Iggingen;735;481;212;114,3;1103;12;30;107;232;259;238;225;1730
08136035;Jagstzell;675;439;195;105,2;978;3;28;106;137;227;212;265;2125
08136037;Kirchheim am Ries;583;431;140;87,5;756;5;22;58;125;143;175;228;1790
08136038;Lauchheim, Stadt;1277;807;382;214,7;2013;40;65;234;430;468;350;426;3327
08136040;Leinzell;582;333;201;96,4;1076;10;45;191;320;200;150;160;1236
08136042;Lorch, Stadt;2810;1527;952;470,8;5004;57;199;691;1337;1195;759;766;5881
08136043;Mögglingen;1135;673;377;184,0;1858;37;53;231;414;434;365;324;2500
08136044;Mutlangen;1675;1048;465;294,2;2925;95;64;379;599;749;548;491;3813
08136045;Neresheim, Stadt;2246;1559;561;347,3;3246;17;87;349;603;764;574;852;6613
08136046;Neuler;859;550;258;145,5;1270;3;20;103;233;278;327;306;2399
08136049;Obergröningen;156;112;39;23,5;208;3;1;24;22;60;47;51;399
08136050;Oberkochen, Stadt;1943;1126;466;346,4;4089;41;133;633;1405;851;557;469;3571
08136060;Rosenberg;780;548;190;123,6;1132;24;21;99;208;269;206;305;2426
08136061;Ruppertshofen;516;341;159;80,9;722;9;17;39;127;191;146;193;1497
08136062;Schechingen;650;421;202;99,8;972;4;25;95;205;225;230;188;1471
08136065;Schwäbisch Gmünd, Stadt;12839;6545;3951;2469,3;28479;559;1397;4700;8167;6318;3854;3484;27152
08136066;Spraitbach;991;615;322;157,3;1513;11;51;147;298;385;316;305;2381
08136068;Stödtlen;559;409;134;86,7;755;6;15;66;121;155;157;235;1912
08136070;Täferrot;294;191;94;45,7;411;3;7;25;74;101;101;100;793
08136071;Tannhausen;540;389;136;85,0;718;1;13;50;117;164;176;197;1606
08136075;Unterschneidheim;1346;1049;271;209,1;1697;3;29;89;225;405;416;530;4342
08136079;Waldstetten;1926;1056;670;329,7;3244;27;84;397;691;823;611;611;4747
08136082;Westhausen;1594;996;472;265,7;2489;10;63;229;503;645;504;535;4183
08136084;Wört;380;239;118;67,7;615;15;17;79;119;115;94;176;1401
08136087;Riesbürg;717;497;200;108,7;1045;2;21;119;210;238;193;262;2021
08136088;Aalen, Stadt;15488;8506;4591;2893,3;32151;512;1120;4786;9278;7507;4660;4288;32981
08136089;Rainau;824;476;293;139,5;1264;11;32;107;204;297;301;312;2438
08211000;Baden-Baden, Stadtkreis;11078;4707;2753;2792,7;31315;612;1963;6915;10002;6115;2998;2710;21093
08212000;Karlsruhe, Stadtkreis;39773;17756;7113;11534,7;144937;6029;10134;35150;50201;24738;10377;8308;64013
08215007;Bretten, Stadt;7015;4462;1727;1230,1;12400;108;566;1874;3229;2799;1839;1985;15363
08215009;Bruchsal, Stadt;9571;5334;2461;1862,9;20177;361;1062;3892;5822;4157;2429;2454;18941
08215017;Ettlingen, Stadt;7827;4118;1868;1725,6;18874;291;1060;3598;5837;3956;2157;1975;15350
08215021;Forst;2074;1372;478;348,3;3469;44;146;521;893;786;560;519;3936
08215025;Gondelsheim;868;552;244;148,0;1474;27;93;193;362;309;248;242;1858
08215029;Hambrücken;1539;1067;374;242,2;2222;2;67;232;529;575;395;422;3264
08215039;Kronau;1643;1167;373;259,8;2423;14;78;297;507;622;440;465;3594
08215040;Kürnbach;741;523;188;108,9;1054;11;26;127;198;248;222;222;1727
08215046;Malsch;3373;1960;1083;543,2;5508;31;165;800;1496;1441;846;729;5597
08215047;Marxzell;1247;685;434;211,9;2069;27;96;319;469;479;316;363;2833
08215059;Oberderdingen;2813;2013;612;442,4;4246;27;156;519;974;966;763;841;6444
08215064;Östringen, Stadt;3713;2417;975;609,9;5965;72;296;892;1352;1300;927;1126;8755
08215066;Philippsburg, Stadt;3106;2034;773;525,9;5393;83;246;810;1426;1148;846;834;6419
08215082;Sulzfeld;1392;1020;317;210,7;2045;22;82;259;428;468;398;388;3010
08215084;Ubstadt-Weiher;3839;2583;955;614,3;5861;41;266;715;1324;1461;1065;989;7602
08215089;Walzbachtal;2440;1507;736;380,9;3794;19;144;528;931;983;615;574;4471
08215090;Weingarten (Baden);2413;1366;758;407,7;4278;32;180;687;1137;1003;674;565;4380
08215094;Zaisenhausen;497;318;156;76,2;732;5;20;101;173;171;141;121;943
08215096;Karlsbad;3797;2209;1176;633,9;6580;167;314;1006;1652;1490;939;1012;7848
08215097;Kraichtal, Stadt;4323;2920;1124;673,0;6411;32;273;850;1420;1492;1168;1176;9089
08215099;Graben-Neudorf;3049;2114;744;507,3;4810;118;156;546;1062;1189;850;889;6880
08215100;Bad Schönborn;3078;2092;622;544,5;5697;179;519;812;1267;1116;911;893;6846
08215101;Pfinztal;4516;2500;1470;754,0;7901;74;297;1273;2182;1845;1199;1031;7972
08215102;Eggenstein-Leopoldshafen;3227;2193;592;606,7;6051;91;236;763;1736;1491;981;753;5755
08215103;Karlsdorf-Neuthard;2634;1719;686;444,1;4105;34;125;499;960;1031;724;732;5687
08215105;Linkenheim-Hochstetten;2776;1967;545;469,8;4719;128;191;663;1089;1110;825;713;5452
08215106;Waghäusel, Stadt;5461;3422;1529;962,6;9066;61;337;1150;2163;2325;1412;1618;12546
08215107;Oberhausen-Rheinhausen;2781;1771;816;445,1;4259;43;128;467;1064;1121;675;761;5858
08215108;Rheinstetten, Stadt;4802;2820;1261;869,7;9090;93;370;1384;2709;2152;1241;1141;8780
08215109;Stutensee, Stadt;5778;3853;1298;1030,4;10172;140;400;1345;2595;2482;1689;1521;11671
08215110;Waldbronn;3095;1698;908;601,6;6056;216;280;927;1481;1262;932;958;7419
08215111;Dettenheim;2114;1549;446;306,3;2882;11;74;350;589;763;595;500;3809
08216002;Au am Rhein;1000;664;265;163,0;1453;8;26;149;274;380;270;346;2681
08216005;Bietigheim;1602;916;483;269,6;2637;9;70;324;695;694;397;448;3467
08216006;Bischweier;748;395;245;139,3;1375;8;35;231;380;313;210;198;1551
08216007;Bühl, Stadt;6697;3973;1784;1261,0;12699;137;532;2021;3137;2878;1865;2129;16724
08216008;Bühlertal;2190;1055;879;387,9;3851;29;166;578;948;824;592;714;5585
08216009;Durmersheim;3031;1857;702;552,4;5742;104;193;898;1714;1349;778;706;5421
08216012;Elchesheim-Illingen;949;628;253;154,0;1414;4;45;143;323;350;248;301;2358
08216013;Forbach;1495;783;573;241,8;2498;12;84;326;602;586;396;492;3820
08216015;Gaggenau, Stadt;7107;3760;2313;1268,1;13872;149;573;2481;4506;2932;1560;1671;12930
08216017;Gernsbach, Stadt;3579;2053;1019;668,6;6902;89;295;1267;1865;1467;937;982;7522
08216022;Hügelsheim;857;380;193;197,4;2303;32;422;180;617;601;275;176;1355
08216023;Iffezheim;1204;619;416;224,4;2161;34;69;232;598;522;332;374;2927
08216024;Kuppenheim, Stadt;1892;969;636;351,7;3512;40;145;451;893;891;545;547;4250
08216028;Lichtenau, Stadt;1368;916;354;225,4;2122;7;71;274;508;510;358;394;3057
08216029;Loffenau;715;349;277;128,0;1265;18;51;211;315;292;175;203;1590
08216033;Muggensturm;1660;983;507;283,6;2763;19;95;388;707;701;436;417;3190
08216039;Ötigheim;1241;725;421;207,2;1986;9;36;226;524;553;326;312;2393
08216041;Ottersweier;1614;1003;448;273,5;2559;22;79;261;570;569;498;560;4354
08216043;Rastatt, Stadt;7810;3957;1904;1873,2;21806;317;1166;4599;7849;4263;1958;1654;12798
08216049;Sinzheim;2939;1659;924;539,9;5187;70;237;716;1236;1199;860;869;6732
08216052;Steinmauern;799;507;248;125,7;1179;8;24;143;287;290;207;220;1663
08216059;Weisenbach;675;275;312;121,7;1238;5;42;169;326;271;215;210;1619
08216063;Rheinmünster;1814;1096;528;308,6;2980;21;110;343;803;730;479;494;3837
08221000;Heidelberg, Stadtkreis;19350;7532;3857;5517,1;70203;3795;6730;17466;20205;11560;5627;4820;37703
08222000;Mannheim, Stadtkreis;40240;16267;7291;12207,8;166304;8465;14973;51966;51687;23536;9445;6232;47756
08225001;Adelsheim, Stadt;1414;924;373;223,9;2270;15;84;292;512;486;401;480;3755
08225002;Aglasterhausen;1335;890;329;224,5;2066;14;45;265;432;463;389;458;3599
08225009;Billigheim;1837;1256;502;285,7;2541;14;64;278;490;588;479;628;4918
08225010;Binau;386;250;104;65,2;598;7;17;65;132;122;130;125;987
08225014;Buchen (Odenwald), Stadt;4839;3078;1351;832,2;8120;75;314;1100;1876;1634;1361;1760;13904
08225024;Fahrenbach;854;567;252;139,7;1238;4;67;126;226;256;250;309;2468
08225032;Hardheim;1906;1280;466;322,4;3070;50;90;370;681;682;478;719;5771
08225033;Haßmersheim;1403;910;407;224,8;2145;12;68;264;486;527;374;414;3289
08225039;Höpfingen;929;574;311;144,0;1380;7;48;149;275;316;255;330;2586
08225042;Hüffenhardt;631;434;164;96,3;888;0;15;115;189;203;163;203;1562
08225052;Limbach;1403;992;359;221,1;1927;15;68;182;334;428;366;534;4231
08225058;Mosbach, Stadt;5869;3460;1602;1080,9;11610;207;624;1983;3089;2314;1590;1803;14043
08225060;Mudau;1573;1102;395;250,2;2201;2;70;199;434;472;379;645;5156
08225064;Neckargerach;742;458;240;119,4;1110;8;30;109;250;244;217;252;1963
08225067;Neckarzimmern;397;250;83;66,2;718;3;26;117;189;172;111;100;766
08225068;Neunkirchen;577;390;162;89,0;813;5;37;108;168;159;142;194;1508
08225074;Obrigheim;1527;1001;419;247,3;2442;31;116;313;617;497;389;479;3719
08225075;Osterburken, Stadt;1735;1087;465;290,9;2900;26;99;431;742;620;438;544;4258
08225082;Rosenberg;760;600;139;108,3;978;5;25;97;135;226;225;265;2052
08225091;Seckach;1226;826;305;196,4;1820;20;66;216;380;388;283;467;3694
08225109;Walldürn, Stadt;3236;2100;872;529,4;5354;42;261;738;1402;1156;753;1002;7927
08225113;Zwingenberg;227;141;68;35,4;342;6;11;51;68;86;55;65;506
08225114;Ravenstein, Stadt;1013;786;198;151,7;1317;3;27;118;248;274;265;382;2991
08225115;Schefflenz;1339;921;370;202,6;1875;15;44;241;341;405;355;474;3686
08225116;Schwarzach;598;368;186;101,6;942;6;38;140;205;188;158;207;1641
08225117;Elztal;1765;1115;524;288,8;2716;27;108;371;505;635;482;588;4642
08225118;Waldbrunn;1546;1034;428;247,9;2235;23;94;242;385;513;446;532;4231
08226003;Altlußheim;1521;894;441;255,0;2659;23;127;398;774;652;372;313;2414
08226006;Bammental;1508;819;492;277,7;2833;30;138;467;791;560;425;422;3258
08226009;Brühl;3001;1538;765;631,5;6883;93;253;1372;2313;1540;735;577;4478
08226010;Dielheim;2531;1537;821;419,3;3898;22;146;535;791;919;724;761;5917
08226012;Dossenheim;2362;965;646;513,0;6009;327;424;1343;1671;1019;612;613;4675
08226013;Eberbach, Stadt;3587;1873;1040;642,5;7335;111;388;1580;2122;1419;822;893;6994
08226017;Epfenbach;722;481;203;114,5;1061;5;48;133;193;259;206;217;1715
08226018;Eppelheim, Stadt;2569;1107;675;593,1;7460;481;703;1499;2285;1271;692;529;4115
08226020;Eschelbronn;638;367;213;108,0;1072;8;46;168;249;222;195;184;1439
08226022;Gaiberg;707;461;193;116,8;1103;15;39;155;203;314;180;197;1520
08226027;Heddesbach;148;95;37;22,0;225;0;6;36;67;58;28;30;232
08226028;Heddesheim;2256;1129;579;511,5;5535;48;250;1079;1763;1254;587;554;4269
08226029;Heiligkreuzsteinach;830;522;246;129,5;1256;17;56;197;286;265;204;231;1841
08226031;Hemsbach, Stadt;2695;1461;762;558,9;5954;102;243;1104;1811;1249;722;723;5582
08226032;Hockenheim, Stadt;4866;2913;1196;906,4;9945;162;444;2129;2907;2044;1183;1076;8285
08226036;Ilvesheim;2042;1045;521;402,3;4307;47;177;827;1397;846;587;426;3260
08226037;Ketsch;3296;1893;909;613,7;6059;60;244;966;1692;1489;807;801;6142
08226038;Ladenburg, Stadt;2525;1289;613;505,2;5722;118;290;1266;1625;1203;626;594;4534
08226040;Laudenbach;1623;1025;430;279,4;2755;14;107;437;680;604;486;427;3311
08226041;Leimen, Stadt;4664;2311;1315;1056,3;11956;341;732;2618;3494;2293;1370;1108;8484
08226046;Malsch;1090;803;223;167,7;1546;12;68;192;305;374;275;320;2462
08226048;Mauer;1026;668;264;173,8;1670;14;56;205;410;370;278;337;2586
08226049;Meckesheim;1450;878;463;235,8;2302;8;81;324;518;534;391;446;3482
08226054;Mühlhausen;2451;1737;563;394,8;3628;65;153;494;696;776;692;752;5827
08226055;Neckarbischofsheim, Stadt;1075;684;305;171,9;1649;6;54;242;350;394;271;332;2603
08226056;Neckargemünd, Stadt;3550;1879;1038;662,0;6927;115;413;1238;1726;1398;1018;1019;7927
08226058;Neidenstein;516;313;166;80,8;791;4;28;118;181;194;110;156;1205
08226059;Neulußheim;1737;1059;474;294,7;3015;29;130;500;804;692;480;380;2908
08226060;Nußloch;2465;1359;706;466,9;5095;93;345;1099;1284;959;729;586;4482
08226062;Oftersheim;2357;1193;676;502,5;5426;63;248;1085;1727;1148;633;522;4107
08226063;Plankstadt;2399;1209;754;428,4;4606;32;153;912;1435;1014;550;510;3932
08226065;Rauenberg, Stadt;2244;1487;523;380,2;3729;57;206;596;786;799;625;660;5091
08226066;Reichartshausen;555;372;152;89,3;777;4;26;73;134;197;157;186;1449
08226068;Reilingen;2087;1399;515;340,3;3220;15;103;422;755;786;575;564;4391
08226076;Sandhausen;3249;1916;789;628,4;6771;151;357;1284;1822;1383;951;823;6285
08226080;Schönau, Stadt;1339;728;482;209,5;2196;20;83;416;568;509;290;310;2393
08226081;Schönbrunn;901;636;213;139,9;1247;10;43;159;240;278;236;281;2219
08226082;Schriesheim, Stadt;3418;1654;969;703,6;7256;130;377;1403;1910;1536;963;937;7227
08226084;Schwetzingen, Stadt;3557;1624;788;915,6;11126;308;756;2783;3770;1907;850;752;5754
08226085;Sinsheim, Stadt;8804;5618;2287;1546,8;15291;242;699;2376;3457;3345;2547;2625;20473
08226086;Spechbach;509;381;108;73,1;671;3;24;84;117;161;135;147;1120
08226091;Waibstadt, Stadt;1556;1017;432;243,9;2339;5;75;351;500;529;403;476;3718
08226095;Walldorf, Stadt;3497;2167;753;661,4;6957;186;400;1210;1776;1494;987;904;7011
08226096;Weinheim, Stadt;10103;5552;2728;2027,7;22102;293;1134;4492;6354;4616;2663;2550;19856
08226097;Wiesenbach;824;495;232;147,2;1390;19;66;195;292;313;217;288;2231
08226098;Wiesloch, Stadt;5492;3008;1464;1137,5;12119;287;640;2094;3490;2398;1637;1573;12114
08226099;Wilhelmsfeld;936;484;318;165,7;1702;43;102;337;367;355;235;263;2042
08226101;Zuzenhausen;657;432;171;104,9;970;4;24;145;158;249;166;224;1726
08226102;Angelbachtal;1381;915;370;227,9;2138;28;112;282;391;520;423;382;2986
08226103;St. Leon-Rot;3869;2911;781;608,4;5353;36;196;521;939;1253;1102;1306;10067
08226104;Lobbach;691;428;230;110,0;1021;4;35;126;224;222;180;230;1802
08226105;Edingen-Neckarhausen;3329;1710;880;640,7;6964;99;331;1382;2046;1436;899;771;5937
08226106;Helmstadt-Bargen;1077;752;277;167,3;1503;7;37;157;310;302;286;404;3139
08226107;Hirschberg an der Bergstraße;2286;1173;661;459,3;4603;62;187;821;1245;908;682;698;5472
08231000;Pforzheim, Stadtkreis;17630;8418;3342;4585,5;58568;1949;4146;15372;20237;9427;4003;3434;26528
08235006;Altensteig, Stadt;2659;1637;709;453,0;5002;254;311;719;1120;1026;685;887;7022
