GENESIS-Tabelle: 31211-05-01-5-B
Wohngebäude nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054052;Horstedt;235;190;35;6;4;-
01054054;Hude;91;72;15;4;-;-
01054055;Humptrup;301;277;18;6;-;-
01054056;Husum;6617;5074;617;757;132;37
01054057;Immenstedt;223;191;20;12;-;-
01054059;Joldelund;279;239;34;6;-;-
01054061;Kampen (Sylt);615;464;85;60;3;3
01054062;Karlum;77;70;7;-;-;-
01054063;Katharinenheerd;83;74;6;3;-;-
01054065;Klanxbüll;351;284;54;13;-;-
01054068;Klixbüll;343;290;39;14;-;-
01054070;Koldenbüttel;340;300;36;4;-;-
01054071;Kolkerheide;24;18;6;-;-;-
01054072;Kotzenbüll;83;68;6;9;-;-
01054073;Ladelund;488;410;45;30;-;3
01054074;Langeneß;76;70;3;3;-;-
01054075;Langenhorn;1187;1034;116;37;-;-
01054076;Leck;2502;2031;211;223;33;4
01054077;Lexgaard;23;20;3;-;-;-
01054078;List;693;474;78;100;32;9
01054079;Löwenstedt;196;165;25;6;-;-
01054080;Lütjenholm;120;94;26;-;-;-
01054083;Midlum;157;99;42;16;-;-
01054084;Mildstedt;1311;1148;127;33;3;-
01054085;Nebel;449;257;82;101;9;-
01054086;Neukirchen;428;363;48;17;-;-
01054087;Nieblum;499;324;92;80;3;-
01054088;Niebüll;2983;2396;277;255;49;6
01054089;Norddorf auf Amrum;205;102;41;62;0;-
01054090;Norderfriedrichskoog;12;6;3;3;-;-
01054091;Nordstrand;1086;887;142;44;-;13
01054092;Norstedt;144;114;26;4;-;-
01054093;Ockholm;155;139;13;3;-;-
01054094;Oevenum;177;114;43;20;-;-
01054095;Oldenswort;508;435;47;26;-;-
01054096;Oldersbek;247;215;29;3;-;-
01054097;Olderup;138;122;16;-;-;-
01054098;Oldsum;246;137;74;35;-;-
01054099;Ostenfeld (Husum);552;495;31;26;-;-
01054100;Osterhever;116;93;13;10;-;-
01054101;Oster-Ohrstedt;240;210;13;17;-;-
01054103;Pellworm;578;447;79;46;6;-
01054104;Poppenbüll;105;70;29;6;-;-
01054105;Ramstedt;179;160;16;3;-;-
01054106;Rantrum;604;522;63;19;-;-
01054107;Rantum (Sylt);-;-;-;-;-;-
01054108;Reußenköge;118;91;17;10;-;-
01054109;Risum-Lindholm;1322;1121;147;50;4;-
01054110;Rodenäs;165;134;22;9;-;-
01054113;Sankt Peter-Ording;2108;1340;326;354;66;22
01054116;Schwabstedt;501;425;60;16;-;-
01054118;Schwesing;322;274;39;9;-;-
01054119;Seeth;215;188;27;-;-;-
01054120;Simonsberg;358;307;45;6;-;-
01054121;Sönnebüll;94;78;13;3;-;-
01054123;Sollwitt;108;98;7;3;-;-
01054124;Sprakebüll;80;68;12;-;-;-
01054125;Stadum;352;314;23;15;-;-
01054126;Stedesand;285;245;25;15;-;-
01054128;Struckum;379;358;21;-;-;-
01054129;Süderende;85;59;15;11;-;-
01054130;Süderhöft;6;6;-;-;-;-
01054131;Süderlügum;905;806;70;29;-;-
01054132;Südermarsch;49;37;9;3;-;-
01054133;Sylt-Ost;-;-;-;-;-;-
01054134;Tating;491;366;89;33;3;-
01054135;Tetenbüll;322;276;34;12;-;-
01054136;Tinningstedt;72;55;14;3;-;-
01054138;Tönning;1867;1575;156;124;12;-
01054140;Tümlauer Koog;39;21;9;9;-;-
01054141;Uelvesbüll;132;121;8;3;-;-
01054142;Uphusum;154;141;13;-;-;-
01054143;Utersum;181;99;53;29;-;-
01054144;Viöl;635;515;96;24;-;-
01054145;Vollerwiek;109;78;19;12;-;-
01054146;Vollstedt;63;51;9;3;-;-
01054148;Welt;110;89;14;7;-;-
01054149;Wenningstedt-Braderup (Sylt);1243;713;238;250;30;12
01054150;Westerhever;86;73;6;7;-;-
01054151;Westerland;-;-;-;-;-;-
01054152;Wester-Ohrstedt;353;291;46;16;-;-
01054154;Westre;140;116;24;-;-;-
01054156;Winnert;271;211;39;21;-;-
01054157;Wisch;40;37;3;-;-;-
01054158;Witsum;27;27;-;-;-;-
01054159;Wittbek;283;243;33;7;-;-
01054160;Wittdün auf Amrum;244;125;19;65;22;13
01054161;Witzwort;410;347;50;13;-;-
01054162;Wobbenbüll;169;138;19;12;-;-
01054163;Wrixum;256;150;70;32;4;-
01054164;Wyk auf Föhr;1662;931;351;299;52;29
01054165;Galmsbüll;204;152;34;18;-;-
01054166;Emmelsbüll-Horsbüll;409;335;47;27;-;-
01054167;Enge-Sande;395;353;42;0;-;-
01054168;Sylt;4955;3142;716;866;157;74
01055001;Ahrensbök;2574;2073;321;156;18;6
01055002;Altenkrempe;353;273;71;9;-;-
01055004;Bad Schwartau;4798;3450;583;504;233;28
01055006;Beschendorf;178;153;16;9;-;-
01055007;Bosau;1258;1037;155;60;3;3
01055010;Dahme;777;513;90;141;18;15
01055011;Damlos;238;200;32;6;-;-
01055012;Eutin;4300;3033;461;636;160;10
01055014;Göhl;422;367;43;12;-;-
01055015;Gremersdorf;542;451;70;15;-;6
01055016;Grömitz;2788;1915;376;323;102;72
01055017;Großenbrode;1039;862;104;47;6;20
01055018;Grube;381;313;46;19;3;-
01055020;Harmsdorf;251;206;32;13;-;-
01055021;Heiligenhafen;2653;1990;242;294;78;49
01055022;Heringsdorf (Holstein);525;458;45;13;6;3
01055023;Kabelhorst;157;121;27;9;-;-
01055024;Kasseedorf;496;385;61;47;3;-
01055025;Kellenhusen (Ostsee);501;293;92;78;29;9
01055027;Lensahn;1495;1191;172;90;39;3
01055028;Malente;2961;2147;438;277;80;19
01055029;Manhagen;142;115;12;15;-;-
01055031;Neukirchen;558;469;43;46;-;-
01055032;Neustadt in Holstein;3790;2756;362;454;184;34
01055033;Oldenburg in Holstein;2813;2250;256;226;68;13
01055035;Ratekau;4654;3724;603;227;97;3
01055036;Riepsdorf;388;322;55;8;3;-
01055037;Schashagen;856;736;87;23;7;3
01055038;Schönwalde am Bungsberg;774;577;141;47;6;3
01055039;Sierksdorf;584;429;72;61;3;19
01055040;Stockelsdorf;4969;4019;538;332;71;9
01055041;Süsel;1754;1414;245;89;3;3
01055042;Timmendorfer Strand;2984;2010;371;371;153;79
01055043;Wangels;845;698;99;45;3;-
01055044;Scharbeutz;3843;2866;488;327;96;66
01055046;Fehmarn;4817;3707;551;474;64;21
01056001;Appen;1399;1124;158;99;15;3
01056002;Barmstedt;2668;2042;324;231;62;9
01056003;Bevern;166;124;27;15;-;-
01056004;Bilsen;226;192;24;10;-;-
01056005;Bönningstedt;1267;1047;132;76;9;3
01056006;Bokel;190;137;39;14;-;-
