GENESIS-Tabelle: 31211-05-01-5-B
Wohngebäude nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0733703084;Weyher in der Pfalz;209;150;49;7;3;-
0733704;Herxheim, Verbandsgem.;4484;3586;554;287;39;18
0733704038;Herxheim bei Landau/Pfalz;3014;2403;369;192;32;18
0733704039;Herxheimweyher;182;141;25;16;-;-
0733704044;Insheim;760;623;93;40;4;-
0733704068;Rohrbach, Pfalz;528;419;67;39;3;-
0733705;Landau-Land, Verbandsgem.;4934;3988;726;196;24;-
0733705007;Billigheim-Ingenheim;1315;1057;185;58;15;-
0733705009;Birkweiler;258;195;53;10;-;-
0733705012;Böchingen;284;225;43;16;-;-
0733705022;Eschbach, Pfalz;214;180;24;10;-;-
0733705026;Frankweiler;357;285;56;16;-;-
0733705031;Göcklingen;326;271;45;7;3;-
0733705040;Heuchelheim-Klingen;326;268;45;13;-;-
0733705042;Ilbesheim bei Landau in der Pfalz;384;310;61;10;3;-
0733705043;Impflingen;288;225;49;14;-;-
0733705050;Knöringen;184;150;28;6;-;-
0733705051;Leinsweiler;218;178;31;9;-;-
0733705065;Ranschbach;217;156;52;6;3;-
0733705073;Siebeldingen;375;321;36;18;-;-
0733705082;Walsheim;188;167;18;3;-;-
0733706;Maikammer;2411;1733;434;217;24;3
0733706002;Altdorf, Pfalz;-;-;-;-;-;-
0733706011;Böbingen;-;-;-;-;-;-
0733706015;Burrweiler;-;-;-;-;-;-
0733706020;Edenkoben;-;-;-;-;-;-
0733706021;Edesheim;-;-;-;-;-;-
0733706025;Flemlingen;-;-;-;-;-;-
0733706027;Freimersheim, Pfalz;-;-;-;-;-;-
0733706028;Gleisweiler;-;-;-;-;-;-
0733706032;Gommersheim;-;-;-;-;-;-
0733706035;Großfischlingen;-;-;-;-;-;-
0733706036;Hainfeld;-;-;-;-;-;-
0733706047;Kirrweiler (Pfalz);606;433;109;54;10;-
0733706048;Kleinfischlingen;-;-;-;-;-;-
0733706052;Maikammer;1165;820;212;120;10;3
0733706066;Rhodt unter Rietburg;-;-;-;-;-;-
0733706069;Roschbach;-;-;-;-;-;-
0733706070;Sankt Martin;640;480;113;43;4;-
0733706077;Venningen;-;-;-;-;-;-
0733706084;Weyher in der Pfalz;-;-;-;-;-;-
0733707;Offenbach an der Queich, Verbandsgem.;3697;2916;517;207;39;18
0733707014;Bornheim, Pfalz;471;369;64;35;3;-
0733707023;Essingen, Pfalz;719;589;95;35;-;-
0733707041;Hochstadt (Pfalz);812;664;111;34;3;-
0733707061;Offenbach an der Queich;1695;1294;247;103;33;18
0733800001;Altrip, verbandsfr. Gemeinde;2380;1755;403;193;16;13
0733800004;Bobenheim-Roxheim, verbandsfr. Gemeinde;2767;2057;439;175;74;22
0733800005;Böhl-Iggelheim, verbandsfr. Gemeinde;3392;2618;553;207;14;-
0733800016;Lambsheim, verbandsfr. Gemeinde;2037;1642;252;115;25;3
0733800017;Limburgerhof, verbandsfr. Gemeinde;2992;2497;240;125;96;34
0733800019;Mutterstadt, verbandsfr. Gemeinde;3481;2693;456;262;52;18
0733800020;Neuhofen, verbandsfr. Gemeinde;1965;1570;251;126;3;15
0733800023;Römerberg, verbandsfr. Gemeinde;2862;2212;432;190;28;-
0733800025;Schifferstadt, verbandsfr. Gemeinde;5292;3851;821;528;72;20
0733801;Dannstadt-Schauernheim, Verbandsgem.;4097;3250;551;256;37;3
0733801006;Dannstadt-Schauernheim;2208;1723;320;146;16;3
0733801014;Hochdorf-Assenheim;940;761;111;56;12;-
0733801022;Rödersheim-Gronau;949;766;120;54;9;-
0733802;Dudenhofen, Verbandsgem.;3434;2661;499;247;27;-
0733802007;Dudenhofen;1769;1337;254;160;18;-
0733802010;Hanhofen;700;546;126;28;-;-
0733802011;Harthausen;965;778;119;59;9;-
0733803;Heßheim, Verbandsgem.;3190;2552;459;170;6;3
0733803002;Beindersheim;944;717;153;65;6;3
0733803009;Großniedesheim;457;378;66;13;-;-
0733803012;Heßheim;1058;860;127;71;-;-
0733803013;Heuchelheim bei Frankthal;430;352;63;15;-;-
0733803015;Kleinniedesheim;301;245;50;6;-;-
0733804;Maxdorf, Verbandsgem.;3882;3026;530;264;46;16
0733804003;Birkenheide;930;722;119;51;31;7
0733804008;Fußgönheim;795;582;130;80;3;-
0733804018;Maxdorf;2157;1722;281;133;12;9
0733805;Waldsee, Verbandsgem.;2683;1977;439;251;16;-
0733805021;Otterstadt;1069;835;176;52;6;-
0733805026;Waldsee;1614;1142;263;199;10;-
0733806;Lambsheim-Heßheim;-;-;-;-;-;-
0733806002;Beindersheim;-;-;-;-;-;-
0733806009;Großniedesheim;-;-;-;-;-;-
0733806012;Heßheim;-;-;-;-;-;-
0733806013;Heuchelheim bei Frankenthal;-;-;-;-;-;-
0733806015;Kleinniedesheim;-;-;-;-;-;-
0733806016;Lambsheim;-;-;-;-;-;-
0733807;Römerberg-Dudenhofen;-;-;-;-;-;-
0733807007;Dudenhofen;-;-;-;-;-;-
0733807010;Hanhofen;-;-;-;-;-;-
0733807011;Harthausen;-;-;-;-;-;-
0733807023;Römerberg;-;-;-;-;-;-
0733808;Rheinauen;-;-;-;-;-;-
0733808001;Altrip;-;-;-;-;-;-
0733808020;Neuhofen;-;-;-;-;-;-
0733808021;Otterstadt;-;-;-;-;-;-
0733808026;Waldsee;-;-;-;-;-;-
0733900005;Bingen am Rhein, verbandsfr. Gemeinde;5861;3640;1004;970;197;50
0733900009;Budenheim, verbandsfr. Gemeinde;1865;1054;369;345;85;12
0733900030;Ingelheim am Rhein, verbandsfr. Gemeinde;6062;4092;979;729;217;45
0733901;Rhein-Nahe, Verbandsgem.;5404;4164;823;387;27;3
0733901003;Bacharach;714;481;142;85;6;-
0733901007;Breitscheid, Hunsrück;56;53;3;-;-;-
0733901036;Manubach;151;138;13;-;-;-
0733901038;Münster-Sarmsheim;952;700;173;64;12;3
0733901040;Niederheimbach;304;259;32;13;-;-
0733901044;Oberdiebach;319;255;51;13;-;-
0733901045;Oberheimbach;227;164;44;19;-;-
0733901058;Trechtingshausen;371;252;87;32;-;-
0733901062;Waldalgesheim;1403;1145;140;109;9;-
0733901063;Weiler bei Bingen;907;717;138;52;-;-
0733902;Bodenheim, Verbandsgem.;5548;3995;944;502;101;6
0733902006;Bodenheim;2071;1505;301;207;52;6
0733902020;Gau-Bischofsheim;580;392;130;58;-;-
0733902026;Harxheim;688;524;112;52;-;-
0733902034;Lörzweiler;701;537;126;38;-;-
0733902039;Nackenheim;1508;1037;275;147;49;-
0733903;Gau-Algesheim, Verbandsgem.;4995;3714;835;388;42;16
0733903001;Appenheim;490;361;90;33;6;-
0733903008;Bubenheim, Rheinhessen;292;239;35;15;3;-
0733903016;Engelstadt;240;181;38;15;6;-
0733903019;Gau-Algesheim;1892;1387;308;161;23;13
0733903041;Nieder-Hilbersheim;209;175;25;9;-;-
0733903046;Ober-Hilbersheim;353;283;52;18;-;-
0733903048;Ockenheim;743;507;171;61;4;-
0733903051;Schwabenheim an der Selz;776;581;116;76;-;3
0733904;Guntersblum, Verbandsgem.;3192;2610;429;130;16;7
0733904013;Dolgesheim;325;259;53;13;-;-
0733904015;Eimsheim;218;193;22;3;-;-
0733904024;Guntersblum;1243;996;158;66;16;7
0733904028;Hillesheim;214;185;29;0;-;-
0733904035;Ludwigshöhe;177;140;25;12;-;-
0733904059;Uelversheim;360;291;54;15;-;-
0733904064;Weinolsheim;237;198;33;6;-;-
0733904066;Wintersheim;101;80;21;-;-;-
0733904201;Dorn-Dürkheim;317;268;34;15;-;-
0733905;Heidesheim am Rhein, Verbandsgem.;2812;1958;516;302;36;-
0733905027;Heidesheim am Rhein;2106;1508;361;210;27;-
0733905061;Wackernheim;706;450;155;92;9;-
0733906;Nieder-Olm, Verbandsgem.;8814;6221;1689;740;140;24
0733906017;Essenheim;989;699;188;83;19;-
0733906031;Jugenheim in Rheinhessen;506;397;71;35;3;-
0733906032;Klein-Winternheim;1043;748;183;84;25;3
0733906042;Nieder-Olm;2292;1564;478;189;46;15
0733906047;Ober-Olm;1160;774;231;126;26;3
0733906054;Sörgenloch;392;321;52;19;-;-
0733906057;Stadecken-Elsheim;1409;1034;266;100;9;-
0733906067;Zornheim;1023;684;220;104;12;3
0733907;Rhein-Selz;8997;6843;1302;706;131;15
0733907010;Dalheim;376;303;54;19;-;-
0733907011;Dexheim;420;316;55;42;7;-
0733907012;Dienheim;678;545;92;38;3;-
0733907013;Dolgesheim;-;-;-;-;-;-
0733907015;Eimsheim;-;-;-;-;-;-
0733907018;Friesenheim, Rheinhessen;233;196;25;12;-;-
0733907024;Guntersblum;-;-;-;-;-;-
0733907025;Hahnheim;502;381;80;31;10;-
0733907028;Hillesheim;-;-;-;-;-;-
0733907033;Köngernheim;473;410;51;12;-;-
0733907035;Ludwigshöhe;-;-;-;-;-;-
0733907037;Mommenheim;850;627;128;74;18;3
0733907043;Nierstein;2350;1795;334;200;18;3
0733907049;Oppenheim;1778;1221;288;194;69;6
0733907053;Selzen;531;408;95;28;-;-
0733907059;Uelversheim;-;-;-;-;-;-
0733907060;Undenheim;806;641;100;56;6;3
0733907064;Weinolsheim;-;-;-;-;-;-
0733907066;Wintersheim;-;-;-;-;-;-
0733907201;Dorn-Dürkheim;-;-;-;-;-;-
0733908;Sprendlingen-Gensingen, Verbandsgem.;4292;3265;684;298;45;-
0733908002;Aspisheim;333;238;59;27;9;-
0733908004;Badenheim;206;176;26;4;-;-
0733908021;Gensingen;1002;698;202;86;16;-
0733908022;Grolsheim;372;280;68;24;-;-
0733908029;Horrweiler;244;211;30;3;-;-
0733908050;Sankt Johann, Rheinhessen;248;191;34;23;-;-
0733908056;Sprendlingen;1215;939;166;93;17;-
0733908065;Welgesheim;188;154;24;10;-;-
0733908068;Zotzenheim;221;176;33;12;-;-
0733908202;Wolfsheim;263;202;42;16;3;-
0734001;Dahner Felsenland, Verbandsgem.;5252;3874;1048;305;22;3
0734001001;Bobenthal;137;111;20;6;-;-
0734001002;Busenberg;452;334;103;15;-;-
0734001004;Dahn;1321;857;291;155;18;-
0734001009;Erfweiler;423;324;90;9;-;-
0734001010;Erlenbach bei Dahn;155;109;37;9;-;-
0734001011;Fischbach bei Dahn;580;404;134;38;4;-
0734001021;Hirschthal;60;42;12;6;-;-
0734001029;Ludwigswinkel;362;300;49;10;-;3
0734001033;Niederschlettenbach;115;90;25;-;-;-
0734001034;Nothweiler;71;54;3;14;-;-
0734001039;Rumbach;189;145;41;3;-;-
0734001043;Schindhard;207;178;26;3;-;-
0734001045;Schönau (Pfalz);196;149;38;9;-;-
0734001501;Bruchweiler-Bärenbach;589;460;104;25;-;-
0734001502;Bundenthal;395;317;75;3;-;-
0734002;Hauenstein, Verbandsgem.;3251;2590;487;147;27;-
0734002005;Darstein;70;61;9;-;-;-
0734002006;Dimbach;69;58;11;-;-;-
0734002014;Hauenstein;1398;1083;216;82;17;-
0734002020;Hinterweidenthal;547;403;115;25;4;-
0734002030;Lug, Pfalz;246;224;12;10;-;-
0734002047;Schwanheim;244;218;13;10;3;-
0734002049;Spirkelbach;264;218;33;10;3;-
0734002057;Wilgartswiesen;413;325;78;10;-;-
0734003;Pirmasens-Land, Verbandsgem.;4357;3046;1059;227;25;-
0734003008;Eppenbrunn;481;303;148;30;-;-
0734003019;Hilst;146;102;35;6;3;-
0734003026;Kröppen;249;180;62;7;-;-
0734003028;Lemberg;1259;799;323;118;19;-
0734003036;Obersimten;247;194;50;3;-;-
0734003040;Ruppertsweiler;523;436;68;19;-;-
0734003048;Schweix;137;101;33;3;-;-
0734003052;Trulben;459;316;137;6;-;-
0734003053;Vinningen;589;403;148;35;3;-
0734003205;Bottenbach;267;212;55;-;-;-
0734004;Rodalben, Verbandsgem.;4890;3405;1080;390;12;3
0734004003;Clausen;561;448;92;21;-;-
0734004007;Donsieders;349;237;90;22;-;-
0734004027;Leimen, Pfalz;368;280;82;6;-;-
0734004031;Merzalben;464;362;96;6;-;-
0734004032;Münchweiler an der Rodalb;994;695;212;81;6;-
0734004038;Rodalben;2154;1383;508;254;6;3
0734005;Thaleischweiler-Fröschen, Verbandsgem.;3793;2739;884;164;6;-
0734005023;Höheischweiler;301;171;112;18;-;-
0734005024;Höhfröschen;312;235;55;22;-;-
0734005035;Nünschweiler;288;197;75;16;-;-
0734005037;Petersberg, Pfalz;315;238;71;6;-;-
0734005051;Thaleischweiler-Fröschen;1160;801;300;53;6;-
0734005217;Maßweiler;345;272;64;9;-;-
0734005220;Reifenberg;299;235;55;9;-;-
0734005222;Rieschweiler-Mühlbach;773;590;152;31;-;-
0734006;Waldfischbach-Burgalben, Verbandsgem.;4557;3320;999;229;6;3
0734006012;Geiselberg;300;233;47;20;-;-
0734006015;Heltersberg;780;589;155;33;3;-
0734006016;Hermersberg;647;502;127;18;-;-
0734006022;Höheinöd;478;371;88;19;-;-
0734006025;Horbach, Pfalz;212;149;59;4;-;-
0734006044;Schmalenberg;313;245;62;6;-;-
0734006050;Steinalben;158;131;21;6;-;-
0734006054;Waldfischbach-Burgalben;1669;1100;440;123;3;3
0734007;Wallhalben, Verbandsgem.;2723;2118;510;92;3;-
0734007017;Herschberg;334;251;62;21;-;-
0734007018;Hettenhausen;102;84;14;4;-;-
0734007041;Saalstadt;125;91;34;-;-;-
0734007042;Schauerberg;74;59;12;-;3;-
0734007055;Weselberg;501;361;120;20;-;-
0734007204;Biedershausen;72;63;9;-;-;-
0734007215;Knopp-Labach;186;167;19;-;-;-
0734007216;Krähenberg;76;69;7;-;-;-
0734007219;Obernheim-Kirchenarnbach;580;448;109;23;-;-
0734007224;Schmitshausen;147;116;28;3;-;-
0734007225;Wallhalben;333;266;58;9;-;-
0734007228;Winterbach (Pfalz);193;143;38;12;-;-
0734008;Zweibrücken-Land, Verbandsgem.;5549;3936;1267;331;15;-
0734008201;Althornbach;230;166;42;22;-;-
0734008202;Battweiler;261;213;45;3;-;-
0734008203;Bechhofen, Pfalz;761;528;189;41;3;-
0734008206;Contwig;1566;1025;407;134;-;-
0734008207;Dellfeld;480;351;107;16;6;-
0734008208;Dietrichingen;119;80;36;3;-;-
0734008209;Großbundenbach;138;114;24;-;-;-
0734008210;Großsteinhausen;205;169;26;10;-;-
0734008211;Hornbach;476;309;123;38;6;-
0734008212;Käshofen;232;177;46;9;-;-
0734008213;Kleinbundenbach;137;96;38;3;-;-
0734008214;Kleinsteinhausen;256;176;68;12;-;-
0734008218;Mauschbach;93;72;6;15;-;-
0734008221;Riedelberg;162;130;26;6;-;-
0734008223;Rosenkopf;131;102;23;6;-;-
0734008226;Walshausen;125;107;15;3;-;-
0734008227;Wiesbach;177;121;46;10;-;-
0734009;Thaleischweiler-Wallhalben;-;-;-;-;-;-
0734009017;Herschberg;-;-;-;-;-;-
0734009018;Hettenhausen;-;-;-;-;-;-
0734009023;Höheischweiler;-;-;-;-;-;-
0734009024;Höhfröschen;-;-;-;-;-;-
0734009035;Nünschweiler;-;-;-;-;-;-
0734009037;Petersberg;-;-;-;-;-;-
0734009041;Saalstadt;-;-;-;-;-;-
0734009042;Schauerberg;-;-;-;-;-;-
0734009051;Thaleischweiler-Fröschen;-;-;-;-;-;-
0734009055;Weselberg;-;-;-;-;-;-
0734009204;Biedershausen;-;-;-;-;-;-
0734009215;Knopp-Labach;-;-;-;-;-;-
0734009216;Krähenberg;-;-;-;-;-;-
0734009217;Maßweiler;-;-;-;-;-;-
0734009219;Obernheim-Kirchen.;-;-;-;-;-;-
0734009220;Reifenberg;-;-;-;-;-;-
0734009222;Rieschweiler-Mühlbach;-;-;-;-;-;-
0734009224;Schmitshausen;-;-;-;-;-;-
0734009225;Wallhalben;-;-;-;-;-;-
0734009228;Winterbach (Pfalz);-;-;-;-;-;-
08111000;Stuttgart, Landeshauptstadt, Stadtkreis;73419;25372;10907;24580;10215;2345
08115001;Aidlingen;2377;1511;584;242;31;9
08115002;Altdorf;1159;838;184;116;21;-
08115003;Böblingen, Stadt;7450;4116;1254;1193;663;224
08115004;Bondorf;1422;978;282;138;24;-
08115010;Deckenpfronn;775;523;178;68;6;-
08115013;Ehningen;1834;1106;381;271;76;-
08115015;Gärtringen;2659;1768;491;272;105;23
08115016;Gäufelden;2321;1568;509;210;27;7
08115021;Herrenberg, Stadt;7402;4871;1534;738;220;39
08115022;Hildrizhausen;890;576;187;95;29;3
08115024;Holzgerlingen, Stadt;2765;1861;504;271;109;20
08115028;Leonberg, Stadt;8766;5047;1622;1457;498;142
08115029;Magstadt;1806;1016;376;321;82;11
08115034;Mötzingen;976;700;188;79;9;-
08115037;Nufringen;1482;1021;305;120;36;-
08115041;Renningen, Stadt;3736;2424;686;463;140;23
08115042;Rutesheim, Stadt;2386;1494;505;342;45;0
08115044;Schönaich;2205;1305;549;241;79;31
08115045;Sindelfingen, Stadt;8776;4732;1739;1321;700;284
08115046;Steinenbronn;1369;813;288;218;44;6
08115048;Waldenbuch, Stadt;2058;1260;455;296;41;6
08115050;Weil der Stadt, Stadt;4648;3030;984;535;59;40
08115051;Weil im Schönbuch;2604;1743;571;240;43;7
08115052;Weissach;2096;1360;510;210;16;-
08115053;Jettingen;1912;1392;362;109;39;10
08115054;Grafenau;1701;996;442;213;43;7
08116004;Altbach;1121;571;257;211;67;15
08116005;Altdorf;380;272;78;14;16;-
08116006;Altenriet;536;375;115;39;7;-
08116007;Baltmannsweiler;1435;954;296;161;21;3
08116008;Bempflingen;943;661;198;66;18;-
08116011;Beuren;990;659;229;85;17;-
08116012;Bissingen an der Teck;1017;704;221;86;6;-
08116014;Deizisau;1501;862;374;219;43;3
08116015;Denkendorf;2184;1198;494;397;83;12
08116016;Dettingen unter Teck;1452;967;280;169;33;3
08116018;Erkenbrechtsweiler;636;464;126;40;6;-
08116019;Esslingen am Neckar, Stadt;14693;6617;2948;3651;1226;251
08116020;Frickenhausen;2422;1681;503;203;32;3
08116022;Großbettlingen;1134;802;217;89;23;3
08116027;Hochdorf;1246;785;314;116;31;-
08116029;Holzmaden;627;446;123;52;6;-
08116033;Kirchheim unter Teck, Stadt;8088;5033;1478;1083;412;82
08116035;Köngen;2280;1439;466;312;57;6
08116036;Kohlberg;724;531;160;30;3;-
08116037;Lichtenwald;796;539;215;42;-;-
08116041;Neckartailfingen;1040;711;215;101;13;-
08116042;Neckartenzlingen;1411;876;306;167;50;12
08116043;Neidlingen;513;298;149;66;-;-
08116046;Neuffen, Stadt;1698;1120;373;175;27;3
08116047;Neuhausen auf den Fildern;2671;1660;469;426;89;27
08116048;Notzingen;1070;732;283;43;12;-
08116049;Nürtingen, Stadt;8883;5656;1785;1108;262;72
08116050;Oberboihingen;1441;929;338;146;19;9
08116053;Ohmden;535;390;109;32;4;-
08116054;Owen, Stadt;969;660;215;91;3;-
08116056;Plochingen, Stadt;2383;1161;539;501;126;56
08116058;Reichenbach an der Fils;1525;738;414;288;62;23
08116063;Schlaitdorf;569;413;109;41;6;-
08116068;Unterensingen;1160;759;219;167;15;-
08116070;Weilheim an der Teck, Stadt;2468;1635;561;230;32;10
08116071;Wendlingen am Neckar, Stadt;3278;1810;689;632;131;16
08116072;Wernau (Neckar), Stadt;2389;1245;573;422;122;27
08116073;Wolfschlugen;1543;942;347;212;38;4
08116076;Aichwald;2061;1392;437;171;39;22
08116077;Filderstadt, Stadt;8250;4235;1516;1968;457;74
08116078;Leinfelden-Echterdingen, Stadt;6872;3530;1241;1586;418;97
08116079;Lenningen;2412;1669;576;152;9;6
08116080;Ostfildern, Stadt;6572;3643;1160;1246;415;108
08116081;Aichtal, Stadt;2659;1814;529;259;51;6
08117001;Adelberg;612;408;160;37;7;-
08117002;Aichelberg;378;236;96;43;3;-
08117003;Albershausen;1164;732;322;90;17;3
08117006;Bad Ditzenbach;957;562;283;106;6;-
08117007;Bad Überkingen;1100;676;320;95;6;3
08117009;Birenbach;558;335;161;55;4;3
08117010;Böhmenkirch;1520;936;463;112;6;3
08117011;Börtlingen;533;332;173;28;-;-
08117012;Bad Boll;1224;712;299;188;22;3
08117014;Deggingen;1486;821;538;123;-;4
08117015;Donzdorf, Stadt;2884;1766;840;251;27;0
08117016;Drackenstein;130;98;32;-;-;-
08117017;Dürnau;569;378;132;56;3;-
08117018;Ebersbach an der Fils, Stadt;3718;2236;973;398;108;3
08117019;Eislingen/Fils, Stadt;4022;2117;1026;669;161;49
08117020;Eschenbach;505;278;117;81;22;7
08117023;Gammelshausen;388;228;117;33;10;-
08117024;Geislingen an der Steige, Stadt;5323;2943;1219;851;245;65
08117025;Gingen an der Fils;1167;713;305;119;26;4
08117026;Göppingen, Stadt;10612;5743;2202;1973;563;131
08117028;Gruibingen;622;398;164;57;3;-
08117029;Hattenhofen;824;549;203;66;3;3
08117030;Heiningen;1294;800;329;141;24;-
08117031;Hohenstadt;279;227;49;3;-;-
08117033;Kuchen;1445;893;352;174;22;4
08117035;Mühlhausen im Täle;278;182;81;15;-;-
08117037;Ottenbach;690;409;222;53;6;-
08117038;Rechberghausen;1373;831;367;133;33;9
08117042;Salach;1675;930;423;258;50;14
08117043;Schlat;506;332;149;25;-;-
08117044;Schlierbach;1072;770;214;75;10;3
08117049;Süßen, Stadt;2194;1363;532;228;56;15
08117051;Uhingen, Stadt;3397;2104;905;304;75;9
08117053;Wäschenbeuren;1096;673;316;104;3;-
08117055;Wangen;890;513;268;109;-;-
08117058;Wiesensteig, Stadt;576;334;175;64;3;-
08117060;Zell unter Aichelberg;805;512;202;78;13;-
08117061;Lauterstein, Stadt;777;427;283;67;-;-
08118001;Affalterbach;1344;1010;218;95;21;-
08118003;Asperg, Stadt;2781;1687;502;450;115;27
08118006;Benningen am Neckar;1451;937;296;178;40;-
08118007;Besigheim, Stadt;2854;1852;640;264;82;16
08118010;Bönnigheim, Stadt;1849;1255;347;202;42;3
08118011;Ditzingen, Stadt;4847;2839;877;872;194;65
08118012;Eberdingen;1791;1263;383;116;16;13
08118014;Erdmannhausen;1319;869;295;139;16;-
08118015;Erligheim;727;500;159;52;16;-
08118016;Freudental;671;448;141;82;-;-
08118018;Gemmrigheim;1036;662;230;128;16;-
08118019;Gerlingen, Stadt;3701;1860;758;810;232;41
08118021;Großbottwar, Stadt;2190;1415;501;243;25;6
08118027;Hemmingen;1148;720;183;134;56;55
08118028;Hessigheim;685;452;165;68;-;-
08118040;Kirchheim am Neckar;1236;802;253;160;15;6
08118046;Kornwestheim, Stadt;4362;1860;742;1114;553;93
08118047;Löchgau;1508;1067;293;123;22;3
08118048;Ludwigsburg, Stadt;13778;6390;2238;3763;1184;203
08118049;Marbach am Neckar, Stadt;3313;2016;674;462;139;22
08118050;Markgröningen, Stadt;2914;1608;619;523;142;22
08118051;Möglingen;1689;827;291;386;149;36
08118053;Mundelsheim;970;664;238;58;10;-
08118054;Murr;1399;954;212;172;46;15
08118059;Oberriexingen, Stadt;919;632;215;60;12;-
08118060;Oberstenfeld;2269;1512;558;176;20;3
08118063;Pleidelsheim;1400;888;269;185;55;3
08118067;Schwieberdingen;2150;1243;440;314;121;32
08118068;Sersheim;1303;841;277;146;33;6
08118070;Steinheim an der Murr, Stadt;3212;2272;625;268;41;6
08118071;Tamm;2641;1799;382;316;91;53
08118073;Vaihingen an der Enz, Stadt;7354;4976;1611;591;142;34
08118074;Walheim;830;575;174;75;3;3
08118076;Sachsenheim, Stadt;4322;2974;839;377;108;24
08118077;Ingersheim;1445;912;293;193;37;10
08118078;Freiberg am Neckar, Stadt;3558;2142;737;512;142;25
08118079;Bietigheim-Bissingen, Stadt;8093;4874;1552;1038;504;125
08118080;Korntal-Münchingen, Stadt;3157;1507;636;745;218;51
08118081;Remseck am Neckar, Stadt;4862;2949;896;764;215;38
08119001;Alfdorf;1954;1200;611;127;9;7
08119003;Allmersbach im Tal;1262;796;344;103;16;3
08119004;Althütte;1244;919;231;79;15;-
08119006;Auenwald;1919;1176;528;192;20;3
08119008;Backnang, Stadt;6909;3710;1570;1249;332;48
08119018;Burgstetten;918;569;225;121;3;-
08119020;Fellbach, Stadt;6388;1977;1240;2566;530;75
08119024;Großerlach;772;570;165;28;6;3
08119037;Kaisersbach;698;450;194;48;6;-
08119038;Kirchberg an der Murr;984;597;272;104;11;-
08119041;Korb;2273;1143;555;487;85;3
08119042;Leutenbach;2402;1202;646;474;77;3
08119044;Murrhardt, Stadt;3198;1845;807;459;80;7
08119053;Oppenweiler;1145;696;328;108;13;-
08119055;Plüderhausen;2167;1262;555;288;47;15
08119061;Rudersberg;3037;1895;835;292;12;3
08119067;Schorndorf, Stadt;8143;4797;1613;1405;288;40
08119068;Schwaikheim;1881;962;415;417;78;9
08119069;Spiegelberg;691;497;158;32;4;-
08119075;Sulzbach an der Murr;1279;753;342;162;22;-
08119076;Urbach;2206;1429;515;224;35;3
08119079;Waiblingen, Stadt;9207;4600;1958;1990;522;137
08119083;Weissach im Tal;1909;1188;498;182;35;6
08119084;Welzheim, Stadt;2457;1418;581;381;71;6
08119085;Winnenden, Stadt;5332;2923;1191;895;266;57
08119086;Winterbach;1865;1197;339;265;54;10
08119087;Aspach;2138;1268;627;213;24;6
08119089;Berglen;1790;1162;483;139;6;-
08119090;Remshalden;3386;1861;954;529;30;12
08119091;Weinstadt, Stadt;5621;3120;1331;921;180;69
08119093;Kernen im Remstal;2921;1618;549;608;115;31
08121000;Heilbronn, Stadtkreis;21019;11139;3679;4463;1414;324
08125001;Abstatt;1243;857;251;118;17;-
08125005;Bad Friedrichshall, Stadt;3994;2587;741;486;150;30
08125006;Bad Rappenau, Stadt;5115;3327;1056;541;167;24
08125007;Bad Wimpfen, Stadt;1740;1137;346;200;51;6
08125008;Beilstein, Stadt;1733;1186;362;153;32;-
08125013;Brackenheim, Stadt;4110;2954;744;336;67;9
08125017;Cleebronn;806;623;142;33;8;-
08125021;Eberstadt;871;594;202;58;13;4
08125024;Ellhofen;956;688;182;70;13;3
08125026;Eppingen, Stadt;5387;3622;1224;457;66;18
08125027;Erlenbach;1290;746;364;165;15;-
08125030;Flein;1732;1185;332;152;57;6
08125034;Gemmingen;1308;852;317;117;22;-
08125038;Güglingen, Stadt;1472;1008;296;123;38;7
08125039;Gundelsheim, Stadt;2040;1429;463;119;26;3
08125046;Ilsfeld;2345;1560;538;222;25;-
08125047;Ittlingen;640;440;154;36;10;-
08125048;Jagsthausen;524;379;114;28;3;-
08125049;Kirchardt;1450;955;348;141;6;-
08125056;Lauffen am Neckar, Stadt;2549;1604;489;359;70;27
08125057;Lehrensteinsfeld;701;525;147;29;-;-
08125058;Leingarten;2845;1981;518;258;85;3
08125059;Löwenstein, Stadt;901;601;201;82;11;6
08125061;Massenbachhausen;995;719;191;81;4;-
08125063;Möckmühl, Stadt;1877;1246;398;190;40;3
08125065;Neckarsulm, Stadt;5446;3325;1076;785;226;34
08125066;Neckarwestheim;940;646;197;88;9;-
08125068;Neudenau, Stadt;1504;1023;399;78;4;-
08125069;Neuenstadt am Kocher, Stadt;2503;1674;582;190;44;13
08125074;Nordheim;2013;1306;485;196;26;-
08125078;Oedheim;1650;1146;359;115;27;3
08125079;Offenau;696;453;149;79;15;-
