GENESIS-Tabelle: 14331-01-02-5
Landtagswahlen: Schleswig-Holstein - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Schleswig-Holstein;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06.05.2012;01053007;Basthorst;341;73,3;246;100;55;43;11;3;34
06.05.2012;01053008;Behlendorf;293;78,5;230;90;42;38;30;6;24
06.05.2012;01053009;Berkenthin;1606;62,1;979;275;328;152;64;16;144
06.05.2012;01053010;Besenthal;67;80,6;52;34;10;1;3;0;4
06.05.2012;01053011;Bliestorf;493;70,4;338;67;119;77;16;4;55
06.05.2012;01053012;Börnsen;3309;62,0;2028;493;727;340;194;38;236
06.05.2012;01053013;Borstorf;217;68,2;142;60;34;24;5;1;18
06.05.2012;01053014;Breitenfelde;1486;61,6;904;313;265;106;77;19;124
06.05.2012;01053015;Bröthen;223;66,4;145;40;48;15;16;6;20
06.05.2012;01053016;Brunsmark;132;81,1;106;29;28;18;8;2;21
06.05.2012;01053017;Brunstorf;490;58,2;282;117;73;26;21;6;39
06.05.2012;01053018;Buchholz;188;91,0;169;49;36;51;18;0;15
06.05.2012;01053019;Buchhorst;150;63,3;95;36;23;9;9;2;16
06.05.2012;01053020;Büchen;4571;58,5;2632;783;898;315;198;64;374
06.05.2012;01053021;Dahmker;123;80,5;98;48;20;13;4;0;13
06.05.2012;01053022;Dalldorf;294;66,7;194;63;48;25;17;6;35
06.05.2012;01053023;Dassendorf;2460;68,0;1653;559;474;230;174;28;188
06.05.2012;01053024;Düchelsdorf;128;66,4;84;32;28;9;6;1;8
06.05.2012;01053025;Duvensee;411;68,1;278;113;60;40;33;3;29
06.05.2012;01053026;Einhaus;309;70,9;218;58;74;33;22;6;25
06.05.2012;01053027;Elmenhorst;672;60,3;395;130;117;58;26;10;54
06.05.2012;01053028;Escheburg;2550;60,4;1522;438;444;280;128;36;196
06.05.2012;01053029;Fitzen;270;66,7;175;60;63;26;6;1;19
06.05.2012;01053030;Fredeburg;33;84,8;28;3;3;16;1;1;4
06.05.2012;01053031;Fuhlenhagen;249;71,1;175;77;38;28;10;4;18
06.05.2012;01053032;Geesthacht;22845;51,4;11532;2975;3956;1563;856;410;1772
06.05.2012;01053033;Giesensdorf;107;58,9;62;25;8;11;12;1;5
06.05.2012;01053034;Göldenitz;181;70,7;127;66;31;11;10;1;8
06.05.2012;01053035;Göttin;52;88,5;45;13;7;15;1;1;8
06.05.2012;01053036;Grabau;226;69,0;156;57;28;26;14;4;27
06.05.2012;01053037;Grambek;348;72,4;249;88;65;45;21;3;27
06.05.2012;01053038;Grinau;265;50,6;132;33;47;19;9;3;21
06.05.2012;01053039;Groß Boden;167;73,7;122;30;32;16;11;5;28
06.05.2012;01053040;Groß Disnack;75;76,0;56;33;6;10;1;2;4
06.05.2012;01053041;Groß Grönau;2981;72,4;2133;667;671;311;220;36;228
06.05.2012;01053042;Groß Pampau;132;68,2;89;44;15;11;12;0;7
06.05.2012;01053043;Groß Sarau;702;71,7;499;189;121;65;43;6;75
06.05.2012;01053044;Groß Schenkenberg;430;65,6;277;77;80;59;14;8;39
06.05.2012;01053045;Grove;203;78,8;156;58;41;22;14;1;20
06.05.2012;01053046;Gudow;1344;60,8;806;308;234;73;76;10;105
06.05.2012;01053047;Gülzow;994;64,0;628;224;204;55;31;11;103
06.05.2012;01053048;Güster;1034;68,0;691;236;189;78;82;19;87
06.05.2012;01053049;Hamfelde;393;67,9;261;108;67;40;20;1;25
06.05.2012;01053050;Hamwarde;609;62,4;374;116;122;38;36;2;60
06.05.2012;01053051;Harmsdorf;235;72,8;167;69;40;12;15;6;25
06.05.2012;01053052;Havekost;137;63,5;86;41;15;12;1;1;16
06.05.2012;01053053;Hohenhorn;426;64,3;273;101;66;38;23;3;42
06.05.2012;01053054;Hollenbek;353;60,3;210;68;73;25;15;7;22
06.05.2012;01053056;Hornbek;165;53,3;88;28;29;9;4;0;18
06.05.2012;01053057;Horst;205;69,3;140;68;32;16;8;1;15
06.05.2012;01053058;Juliusburg;147;61,9;90;34;19;7;12;2;16
06.05.2012;01053059;Kankelau;183;80,3;146;39;43;27;10;0;27
06.05.2012;01053060;Kasseburg;486;64,4;312;126;77;30;33;9;37
06.05.2012;01053061;Kastorf;904;55,6;497;134;178;57;49;10;69
06.05.2012;01053062;Kittlitz;207;75,8;154;68;38;9;18;2;19
06.05.2012;01053064;Klein Pampau;499;67,5;328;94;112;31;13;11;67
06.05.2012;01053066;Klein Zecher;193;74,6;141;50;41;19;12;3;16
06.05.2012;01053067;Klempau;465;70,5;324;111;89;54;26;6;38
06.05.2012;01053068;Klinkrade;468;63,7;288;85;84;33;22;9;55
06.05.2012;01053069;Koberg;613;64,3;388;126;91;60;39;5;67
06.05.2012;01053070;Köthel;220;56,8;124;26;33;34;11;3;17
06.05.2012;01053071;Kollow;476;71,0;329;93;86;61;35;1;53
06.05.2012;01053072;Kröppelshagen-Fahrendorf;951;68,1;641;233;187;74;80;11;56
06.05.2012;01053073;Krüzen;280;69,6;190;65;50;15;20;7;33
06.05.2012;01053074;Krukow;144;82,6;117;48;22;17;9;8;13
06.05.2012;01053075;Krummesse;1268;71,8;899;270;277;175;57;15;105
06.05.2012;01053076;Kuddewörde;1060;68,0;715;281;164;94;87;9;80
06.05.2012;01053077;Kühsen;302;67,2;200;72;63;15;13;9;28
06.05.2012;01053078;Kulpin;168;67,9;114;43;21;17;17;3;13
06.05.2012;01053079;Labenz;654;69,3;447;134;150;59;25;12;67
06.05.2012;01053080;Langenlehsten;134;71,6;94;25;17;17;13;7;15
06.05.2012;01053081;Lankau;389;66,6;255;105;52;34;27;4;33
06.05.2012;01053082;Lanze;213;75,1;158;65;37;11;13;1;31
06.05.2012;01053083;Lauenburg/Elbe;8599;49,2;4155;1183;1571;423;298;121;559
06.05.2012;01053084;Lehmrade;404;58,7;237;86;63;29;19;11;29
06.05.2012;01053085;Linau;946;64,3;600;269;157;58;54;8;54
06.05.2012;01053086;Lüchow;240;56,7;134;50;29;12;11;4;28
06.05.2012;01053087;Lütau;574;60,5;344;124;103;37;27;6;47
06.05.2012;01053088;Mechow;88;81,8;72;32;19;10;4;2;5
06.05.2012;01053089;Möhnsen;431;63,1;266;96;65;34;15;6;50
06.05.2012;01053090;Mölln;14827;54,1;7898;2580;2435;1073;619;168;1023
06.05.2012;01053091;Mühlenrade;146;69,2;98;42;27;9;5;0;15
06.05.2012;01053092;Müssen;782;68,2;522;187;124;86;39;12;74
06.05.2012;01053093;Mustin;604;64,4;383;140;94;50;31;11;57
06.05.2012;01053094;Niendorf bei Berkenthin;158;67,7;107;30;23;19;15;0;20
06.05.2012;01053095;Niendorf/Stecknitz;505;69,7;345;99;92;51;31;9;63
06.05.2012;01053096;Nusse;833;57,9;473;141;130;52;74;6;70
06.05.2012;01053097;Panten;514;60,9;310;91;80;53;41;6;39
06.05.2012;01053098;Pogeez;306;67,0;203;90;46;29;9;8;21
06.05.2012;01053099;Poggensee;265;70,2;180;51;54;26;18;7;24
06.05.2012;01053100;Ratzeburg;11109;58,6;6423;2105;1821;853;590;188;866
06.05.2012;01053101;Ritzerau;227;68,7;153;39;52;26;15;2;19
06.05.2012;01053102;Römnitz;50;84,0;42;17;4;3;2;0;16
06.05.2012;01053103;Rondeshagen;628;66,1;409;117;112;82;29;14;55
06.05.2012;01053104;Roseburg;418;68,7;286;92;91;43;19;2;39
06.05.2012;01053105;Sachsenwald;0;0,0;0;0;0;0;0;0;0
06.05.2012;01053106;Sahms;303;71,6;213;86;45;33;14;1;34
06.05.2012;01053107;Salem;499;71,9;355;148;77;60;18;10;42
06.05.2012;01053108;Sandesneben;1294;59,4;753;231;224;117;58;19;104
06.05.2012;01053109;Schiphorst;450;57,6;254;84;61;32;30;6;41
06.05.2012;01053110;Schmilau;442;64,5;281;96;94;30;25;7;29
06.05.2012;01053111;Schnakenbek;681;67,3;452;144;132;58;30;9;79
06.05.2012;01053112;Schönberg;1073;58,4;622;237;176;72;43;12;82
