GENESIS-Tabelle: 12411-07-01-5-B
Durchschnittsalter der Bevölkerung;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
;;;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;;männlich;weiblich
;;;Jahre;Jahre;Jahre
31.12.2015;01053027;Elmenhorst;41,4;41,6;41,2
31.12.2015;01053028;Escheburg;41,4;41,2;41,5
31.12.2015;01053029;Fitzen;44,7;44,1;45,3
31.12.2015;01053030;Fredeburg;42,8;40,6;45,3
31.12.2015;01053031;Fuhlenhagen;44,4;43,3;45,6
31.12.2015;01053032;Geesthacht;44,9;43,3;46,5
31.12.2015;01053033;Giesensdorf;45,0;47,1;43,4
31.12.2015;01053034;Göldenitz;41,5;40,8;42,1
31.12.2015;01053035;Göttin;47,6;49,3;45,9
31.12.2015;01053036;Grabau;41,8;42,3;41,4
31.12.2015;01053037;Grambek;44,5;45,3;43,8
31.12.2015;01053038;Grinau;58,2;56,6;60,0
31.12.2015;01053039;Groß Boden;42,4;42,1;42,8
31.12.2015;01053040;Groß Disnack;46,9;45,7;48,2
31.12.2015;01053041;Groß Grönau;47,8;46,5;49,1
31.12.2015;01053042;Groß Pampau;44,9;45,5;44,3
31.12.2015;01053043;Groß Sarau;41,8;42,4;41,3
31.12.2015;01053044;Groß Schenkenberg;43,1;43,5;42,7
31.12.2015;01053045;Grove;44,7;45,0;44,4
31.12.2015;01053046;Gudow;45,3;44,4;46,2
31.12.2015;01053047;Gülzow;44,7;43,3;46,2
31.12.2015;01053048;Güster;48,6;48,8;48,5
31.12.2015;01053049;Hamfelde;47,2;46,5;47,8
31.12.2015;01053050;Hamwarde;42,7;41,5;43,9
31.12.2015;01053051;Harmsdorf;43,5;42,4;44,7
31.12.2015;01053052;Havekost;42,3;39,7;44,9
31.12.2015;01053053;Hohenhorn;43,9;42,3;45,7
31.12.2015;01053054;Hollenbek;44,8;44,9;44,7
31.12.2015;01053056;Hornbek;45,2;45,2;45,1
31.12.2015;01053057;Horst;47,5;45,1;50,0
31.12.2015;01053058;Juliusburg;45,1;45,4;44,8
31.12.2015;01053059;Kankelau;44,8;45,5;44,1
31.12.2015;01053060;Kasseburg;44,5;44,7;44,4
31.12.2015;01053061;Kastorf;41,5;40,6;42,4
31.12.2015;01053062;Kittlitz;44,4;41,9;47,3
31.12.2015;01053064;Klein Pampau;44,2;44,0;44,4
31.12.2015;01053066;Klein Zecher;44,3;47,8;41,2
31.12.2015;01053067;Klempau;40,7;40,2;41,2
31.12.2015;01053068;Klinkrade;42,7;43,4;42,1
31.12.2015;01053069;Koberg;42,7;41,6;43,8
31.12.2015;01053070;Köthel;46,2;45,7;46,7
31.12.2015;01053071;Kollow;43,7;43,5;43,9
31.12.2015;01053072;Kröppelshagen-Fahrendorf;44,6;44,3;45,0
31.12.2015;01053073;Krüzen;44,4;45,8;43,2
31.12.2015;01053074;Krukow;46,2;45,0;47,4
31.12.2015;01053075;Krummesse;43,8;43,7;43,9
31.12.2015;01053076;Kuddewörde;46,0;46,0;46,1
31.12.2015;01053077;Kühsen;43,2;42,3;44,1
31.12.2015;01053078;Kulpin;45,3;44,5;46,2
31.12.2015;01053079;Labenz;42,1;41,7;42,5
31.12.2015;01053080;Langenlehsten;43,9;43,7;44,1
31.12.2015;01053081;Lankau;44,2;43,3;45,2
31.12.2015;01053082;Lanze;46,2;45,8;46,6
31.12.2015;01053083;Lauenburg/Elbe;44,9;43,4;46,4
31.12.2015;01053084;Lehmrade;45,0;46,2;43,9
31.12.2015;01053085;Linau;43,2;41,4;45,2
31.12.2015;01053086;Lüchow;40,1;40,7;39,5
31.12.2015;01053087;Lütau;44,5;43,9;45,2
31.12.2015;01053088;Mechow;42,6;40,6;44,8
31.12.2015;01053089;Möhnsen;43,1;42,9;43,4
31.12.2015;01053090;Mölln;46,9;45,2;48,4
31.12.2015;01053091;Mühlenrade;44,0;49,6;38,9
31.12.2015;01053092;Müssen;41,5;41,7;41,4
31.12.2015;01053093;Mustin;46,1;45,1;47,1
31.12.2015;01053094;Niendorf bei Berkenthin;43,8;44,4;43,3
31.12.2015;01053095;Niendorf/Stecknitz;42,2;41,8;42,6
31.12.2015;01053096;Nusse;42,2;41,7;42,7
31.12.2015;01053097;Panten;47,0;46,6;47,4
31.12.2015;01053098;Pogeez;43,9;43,2;44,6
31.12.2015;01053099;Poggensee;46,5;44,8;48,2
31.12.2015;01053100;Ratzeburg;46,5;44,4;48,4
31.12.2015;01053101;Ritzerau;44,0;43,2;44,8
31.12.2015;01053102;Römnitz;51,4;52,1;50,4
31.12.2015;01053103;Rondeshagen;43,1;42,2;44,1
31.12.2015;01053104;Roseburg;45,5;45,1;45,9
31.12.2015;01053105;Sachsenwald;0,0;0,0;0,0
31.12.2015;01053106;Sahms;44,4;45,2;43,6
31.12.2015;01053107;Salem;47,1;44,5;49,7
31.12.2015;01053108;Sandesneben;41,9;40,3;43,4
31.12.2015;01053109;Schiphorst;40,9;41,2;40,6
31.12.2015;01053110;Schmilau;47,0;47,7;46,3
31.12.2015;01053111;Schnakenbek;46,1;45,8;46,4
31.12.2015;01053112;Schönberg;40,9;41,2;40,6
31.12.2015;01053113;Schretstaken;43,9;42,0;46,1
31.12.2015;01053114;Schürensöhlen;47,5;46,3;48,7
31.12.2015;01053115;Schulendorf;44,1;42,5;45,8
