GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051105;Schülp;208;84;31;64;4;6;9;7;-;-;3
01051107;Stelle-Wittenwurth;165;46;25;35;16;6;10;12;15;-;-
01051108;Strübbel;58;24;9;19;-;-;-;3;-;3;-
01051109;Süderdeich;194;51;41;64;9;6;10;10;-;3;-
01051110;Süderhastedt;305;84;29;96;22;10;19;29;10;6;0
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;543;109;76;184;58;-;50;38;13;12;3
01051114;Tellingstedt;988;148;93;403;70;6;64;141;27;27;9
01051117;Tielenhemme;103;19;11;22;13;7;9;16;6;-;-
01051118;Trennewurth;138;51;21;54;6;3;-;-;-;3;-
01051119;Volsemenhusen;145;61;31;24;6;-;7;6;6;-;4
01051120;Wallen;20;3;7;3;-;-;-;3;4;-;-
01051121;Warwerort;186;6;3;84;43;12;13;7;15;3;-
01051122;Weddingstedt;877;99;71;344;109;25;65;94;37;33;-
01051125;Welmbüttel;161;25;18;46;21;-;7;21;20;3;-
01051126;Wennbüttel;39;12;3;15;3;-;-;3;-;3;-
01051127;Wesselburen;1218;234;160;613;67;10;39;65;20;10;-
01051128;Wesselburener Deichhausen;68;9;19;25;-;3;3;3;-;6;-
