GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01054016;Bosbüll;5;2;0;0;3
01054017;Braderup;3;0;0;1;2
01054018;Bramstedtlund;0;0;0;0;0
01054019;Bredstedt;43;4;22;8;9
01054020;Breklum;10;1;-1;5;5
01054022;Dagebüll;35;0;9;23;3
01054023;Drage;6;0;0;1;5
01054024;Drelsdorf;14;1;5;3;5
01054025;Dunsum;0;0;0;0;0
01054026;Elisabeth-Sophien-Koog;0;0;0;0;0
01054027;Ellhöft;0;0;0;0;0
01054032;Fresendelf;0;0;0;0;0
01054033;Friedrichstadt;31;-2;2;27;4
01054034;Friedrich-Wilhelm-Lübke-Koog;0;0;0;0;0
01054035;Garding, Kirchspiel;0;0;-1;-2;3
01054036;Garding;5;0;3;-1;3
01054037;Goldebek;0;0;0;0;0
01054038;Goldelund;1;0;0;0;1
01054039;Gröde;0;0;0;0;0
01054040;Grothusenkoog;0;0;0;0;0
01054041;Haselund;6;2;2;0;2
01054042;Hattstedt;28;0;6;6;16
01054043;Hattstedtermarsch;1;0;0;0;1
01054045;Högel;0;0;-1;1;0
01054046;Hörnum (Sylt);3;1;1;0;1
01054048;Holm;1;0;0;0;1
01054050;Hallig Hooge;1;0;1;0;0
01054052;Horstedt;4;0;2;0;2
01054054;Hude;0;0;0;0;0
01054055;Humptrup;2;1;0;-1;2
01054056;Husum;151;56;28;28;39
01054057;Immenstedt;0;0;0;0;0
01054059;Joldelund;3;0;1;1;1
01054061;Kampen (Sylt);20;3;7;6;4
01054062;Karlum;0;0;0;0;0
01054063;Katharinenheerd;2;0;1;1;0
01054065;Klanxbüll;17;1;8;2;6
01054068;Klixbüll;10;0;3;4;3
01054070;Koldenbüttel;7;0;0;0;7
01054071;Kolkerheide;0;0;0;0;0
01054072;Kotzenbüll;0;0;0;0;0
01054073;Ladelund;3;1;1;0;1
01054074;Langeneß;1;0;0;1;0
01054075;Langenhorn;29;3;4;9;13
01054076;Leck;12;-2;0;4;10
01054077;Lexgaard;0;0;0;0;0
01054078;List;9;0;0;8;1
