GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
0723507001;Aach b Trier;966934;884991;88600;121712;81943;6000;74063;625635
0723507027;Franzenheim;308066;303352;13753;61233;4714;0;4714;179843
0723507048;Hockweiler;234185;218744;22891;33015;15441;0;15441;184351
0723507051;Igel;2320334;1723681;157868;278279;596653;56983;369959;1564897
0723507069;Kordel;2285391;1961698;160698;415879;323693;50424;273269;1680196
0723507073;Langsur;2521596;2323368;997795;304389;198228;78645;119583;1347620
0723507094;Newel;2471920;2274062;197431;291613;197858;71779;92628;1674827
0723507111;Ralingen;2328556;2231343;596271;331771;97213;56521;40692;1457642
0723507137;Trierweiler;7526036;6547944;1840182;1424770;978092;365847;530787;5947296
0723507151;Zemmer;3181651;2399752;177981;431307;781899;57336;724563;2133044
0723507501;Welschbillig;2580308;2231342;199460;370239;348966;119433;103843;1808937
07311000;Frankenthal (Pfalz), krsfr. Stadt;123016236;105190007;33427409;26613476;17826229;5380185;11124372;77412159
07312000;Kaiserslautern, krsfr. Stadt;317851930;272192341;81286155;59602186;45659589;28390097;13620022;201792781
07313000;Landau in der Pfalz, krsfr. Stadt;123931896;101358948;23080720;29653569;22572948;5004702;4522203;76386155
07314000;Ludwigshafen am Rhein, krsfr. Stadt;541688184;485288890;143569608;165603752;56399294;20229535;31368132;384003857
07315000;Mainz, krsfr. Stadt;562045553;510563434;150221643;74122639;51482119;13053685;28029075;391129821
07316000;Neustadt an der Weinstraße, krsfr. Stadt;116985676;103744174;34212881;25939628;13241502;3591098;9510315;73964689
07317000;Pirmasens, krsfr. Stadt;133486402;116733054;38393876;19550535;16753348;6634722;9854640;78843942
07318000;Speyer, krsfr. Stadt;138922557;131466869;44491545;23357392;7455688;2564909;4755940;101228051
07319000;Worms, krsfr. Stadt;225238718;196448738;52097794;39041535;28789980;3679173;24529717;140935720
07320000;Zweibrücken, krsfr. Stadt;104674285;89299660;26231268;19731750;15374625;7200951;6757990;75078147
0733100003;Alzey, verbandsfr. Gemeinde;33715489;25069069;9235074;6486268;8646420;3320833;4952180;27917948
0733100055;Osthofen, verbandsfr. Gemeinde;-;-;-;-;-;-;-;-
0733101;Alzey-Land, Verbandsgem.;44930837;35349415;10038955;6414700;9581422;1143706;7610604;27151049
0733101001;Albig;1713456;1305825;99822;171696;407631;21114;386517;1373148
0733101005;Bechenheim;937538;356328;33991;45153;581210;0;580210;645404
0733101007;Bechtolsheim;2877128;1313503;81239;88369;1563625;30862;1532763;2453259
0733101008;Bermersheim vor der Höhe;334944;294302;24209;36294;40642;5696;19946;226248
0733101010;Biebelnheim;818947;676111;177439;64551;142836;38715;999;664905
0733101012;Bornheim, Rheinhessen;1474741;1141229;48481;74525;333512;0;333512;1311569
0733101014;Dintesheim;126890;124285;13442;16683;2605;1605;0;116617
0733101020;Eppelsheim;1645353;1240367;350418;133114;404986;0;386486;1200471
0733101021;Erbes-Büdesheim;3653791;1984260;208061;210375;1669531;0;1669531;3345176
0733101022;Esselborn;391569;322934;21762;42679;68635;57098;9086;323405
0733101024;Flomborn;1474569;1123664;319638;192216;350905;87949;262956;1019602
0733101025;Flonheim;3247003;3165340;1055462;424505;81663;0;81663;2297116
0733101026;Framersheim;2423774;2066406;480974;246951;357368;245968;110400;2025471
0733101027;Freimersheim, Rheinhessen;617433;562827;34889;55831;54606;48714;2224;480059
0733101031;Gau-Heppenheim;799529;742685;345635;76042;56844;0;55844;382553
0733101032;Gau-Odernheim;4621429;4103563;1131924;520612;517866;36189;327193;3426815
0733101042;Kettenheim;245658;244417;12193;25518;1241;0;0;214939
0733101043;Lonsheim;909635;531905;36071;76158;377730;9263;367467;806656
0733101044;Mauchenheim;1317039;1192607;296715;297764;124432;23401;101031;811205
0733101050;Nack;610559;488080;36789;65375;122479;0;21479;544617
0733101051;Nieder-Wiesen;704027;641777;200781;79549;62250;55749;5501;438009
0733101052;Ober-Flörsheim;1372150;1179519;74676;307209;192631;6464;185167;1228994
0733101053;Offenheim;521022;509955;34968;81195;11067;4244;6823;474493
0733101067;Wahlheim;1067450;1024610;542351;96769;42840;42618;222;370054
0733102;Eich, Verbandsgem.;20814967;16952220;4104218;3350875;3862747;1110425;1255164;12834920
0733102002;Alsheim;2667104;2320041;203879;415801;347063;28872;286655;1974546
0733102018;Eich;3695973;3248016;252288;507537;447957;93714;346365;3347400
0733102034;Gimbsheim;2881770;2591437;369039;383750;290333;101458;188875;2365113
0733102038;Hamm am Rhein;2584849;2090350;542104;232851;494499;463475;31024;1980560
0733102045;Mettenheim, Rheinhessen;1805694;1652212;554288;157241;153482;29397;124085;1084193
0733103;Monsheim, Verbandsgem.;18594081;14425553;3389985;2749150;4168528;1120822;3047706;12489299
0733103023;Flörsheim-Dalsheim;3998803;3336847;556411;378922;661956;53392;608564;3485222
0733103041;Hohen-Sülzen;1010424;465337;33945;21814;545087;0;545087;915512
0733103046;Mölsheim;685363;566925;27367;105628;118438;101038;17400;615686
0733103047;Mörstadt;938774;853414;58008;130933;85360;15096;70264;878631
0733103048;Monsheim;3097356;2286442;76824;343618;810914;60781;750133;2521157
0733103054;Offstein;2270939;1675565;139144;297000;595374;324642;270732;2143857
0733103066;Wachenheim;783669;604038;25669;113017;179631;6379;173252;681038
0733104;Westhofen, Verbandsgem.;-;-;-;-;-;-;-;-
0733104006;Bechtheim;-;-;-;-;-;-;-;-
0733104009;Bermersheim;-;-;-;-;-;-;-;-
0733104011;Hochborn;-;-;-;-;-;-;-;-
0733104015;Dittelsheim-Heßloch;-;-;-;-;-;-;-;-
0733104028;Frettenheim;-;-;-;-;-;-;-;-
0733104036;Gundersheim;-;-;-;-;-;-;-;-
0733104037;Gundheim;-;-;-;-;-;-;-;-
0733104039;Hangen-Weisheim;-;-;-;-;-;-;-;-
0733104049;Monzernheim;-;-;-;-;-;-;-;-
0733104071;Westhofen;-;-;-;-;-;-;-;-
0733105;Wöllstein, Verbandsgem.;17659974;15518106;4426780;3034163;2141868;331812;1750985;10545744
0733105017;Eckelsheim;429160;349603;22798;54055;79557;0;79557;321600
0733105030;Gau-Bickelheim;2445499;1799437;74903;250106;646062;31928;597295;2015986
0733105035;Gumbsheim;532043;448636;19834;63255;83407;0;83407;419171
0733105060;Siefersheim;1126880;1105302;268897;142544;21578;9207;12371;729865
0733105062;Stein-Bockenheim;521507;519014;34998;113828;2493;0;2493;452607
0733105070;Wendelsheim;1447704;1408397;419373;235860;39307;0;39307;982350
0733105072;Wöllstein;5369625;4819044;1286595;597152;550581;47837;450512;3950005
0733105075;Wonsheim;667340;628351;38086;99074;38989;28583;10406;615269
0733106;Wörrstadt, Verbandsgem.;61272484;44226046;13959435;7319155;17046438;3955676;13023675;32068850
0733106004;Armsheim;4978680;2682904;828057;313473;2295776;567352;1727424;2690624
0733106019;Ensheim;422504;381062;24742;62103;41442;24227;13715;323611
0733106029;Gabsheim;671753;633807;38072;143262;37946;12677;24769;569956
0733106033;Gau-Weinheim;832370;739270;283261;108463;93100;27612;64988;603317
0733106056;Partenheim;1229116;1196426;95621;157581;32690;24854;6836;1088436
0733106058;Saulheim;12123551;8262231;2917642;997949;3861320;822425;3037395;6983085
0733106059;Schornsheim;1286665;1209088;110075;134632;77577;10248;40388;1177784
0733106061;Spiesheim;1107145;1064203;314364;173399;42942;25895;16547;792206
0733106063;Sulzheim, Rheinhessen;947228;798518;48146;80602;148710;0;147710;837835
0733106064;Udenheim;1774703;1386880;409172;190173;387823;13663;373160;1413293
0733106065;Vendersheim;656011;643707;205338;97580;12304;3772;8032;472467
0733106068;Wallertheim;2724473;1902905;504531;222213;821568;75910;740658;1830072
0733106073;Wörrstadt;13178304;12117076;2645988;1576948;1061228;618157;441571;10460359
0733107;Wonnegau;31438256;24180099;6544351;3994869;7258157;1120889;5479979;19935491
0733107006;Bechtheim;1917407;1663614;424131;201106;253793;24069;228063;1470344
0733107009;Bermersheim;285044;274697;26887;43203;10347;8002;2111;268554
0733107011;Hochborn;568855;315829;20508;37549;253026;34000;217445;491366
0733107015;Dittelsheim-Heßloch;3141804;1993167;478893;275347;1148637;3212;1143926;2620942
0733107028;Frettenheim;289678;241895;34895;26647;47783;0;47559;250650
0733107036;Gundersheim;1487555;1334700;151662;153474;152855;0;103130;1395441
0733107037;Gundheim;950767;774828;68904;103923;175939;18930;156346;862495
0733107039;Hangen-Weisheim;355893;352910;17608;63586;2983;0;2644;258640
0733107049;Monzernheim;794480;642026;204660;69646;152454;39980;111618;539001
0733107055;Osthofen;10979288;7694462;1368731;1247525;3284826;634914;2425930;8252503
0733107071;Westhofen;3677108;3384443;612315;452366;292665;13200;149465;3003947
0733200002;Bad Dürkheim, verbandsfr. Gemeinde;36984350;31293451;13356787;7507181;5690899;532244;2486176;28335599
0733200024;Grünstadt, verbandsfr. Gemeinde;26269438;20987672;6418205;6237108;5281766;2789919;2136006;21012044
0733200025;Haßloch, verbandsfr. Gemeinde;24798223;21976103;8634970;3905901;2822120;388775;2269487;19272574
0733201;Deidesheim, Verbandsgem.;23256959;20084927;5471343;4248511;3172032;1624144;1443689;15718617
0733201009;Deidesheim;6504749;6149620;1000176;1565247;355129;149718;205411;5626587
0733201017;Forst an der Weinstraße;1099638;1066994;282343;234731;32644;14184;18460;899779
0733201035;Meckenheim, Pfalz;2977676;2887142;156886;525723;90534;1081;89453;2791017
0733201039;Niederkirchen bei Deidesheim;4993940;3414373;1034706;566401;1579567;691259;888308;4226858
0733201043;Ruppertsberg;1385235;1364697;79329;270897;20538;8159;12379;1277618
0733202;Freinsheim, Verbandsgem.;28257473;25279957;7611663;4678783;2977516;1605588;1282467;17028081
0733202005;Bobenheim am Berg;976482;906971;57498;181528;69511;5366;38642;902426
0733202008;Dackenheim;527532;517026;10448;80338;10506;0;10506;489002
0733202015;Erpolzheim;1284182;1162650;28289;199472;121532;16998;99703;1186098
0733202019;Freinsheim;5688582;5022621;344678;652918;665961;106882;542191;5134878
0733202026;Herxheim am Berg;742109;720729;27808;138451;21380;12469;8911;700284
0733202028;Kallstadt;1399294;1338923;77663;365531;60371;31415;28956;1299028
0733202049;Weisenheim am Berg;2447326;2284382;638618;377188;162944;58096;104848;1726681
0733202050;Weisenheim am Sand;3893288;3673118;389580;654555;220170;103381;90281;3554936
0733203;Grünstadt-Land, Verbandsgem.;39842752;32005457;8481489;7090466;7837295;3124990;4486308;26347061
0733203003;Battenberg (Pfalz);509446;472789;27614;101542;36657;2009;34648;476533
0733203004;Bissersheim;398873;396356;27288;66481;2517;212;2305;351712
0733203006;Bockenheim an der Weinstraße;2274729;2077679;143397;522420;197050;140186;56303;2114157
0733203010;Dirmstein;4736810;3139811;544520;573197;1596999;61449;1535550;3341300
0733203012;Ebertsheim;1643043;1518273;466101;226151;124770;42729;82041;1067402
0733203021;Gerolsheim;2235270;2095944;537548;468505;139326;3584;134414;1761275
0733203023;Großkarlbach;1393539;1354031;124132;200395;39508;22509;8473;1275595
0733203029;Kindenheim;1296496;1233212;369407;243280;63284;0;63284;963186
0733203030;Kirchheim an der Weinstraße;2963729;2842275;764957;523472;121454;16609;102845;2227525
0733203031;Kleinkarlbach;1579930;1194858;104500;304593;385072;1715;383357;1522625
0733203033;Laumersheim;881786;841630;72468;183640;40156;13703;25125;812994
0733203036;Mertesheim;393716;378067;34174;85710;15649;5422;10227;317859
0733203038;Neuleiningen;889465;851739;61024;162474;37726;28093;7379;828585
0733203040;Obersülzen;656736;656736;32260;164392;0;0;0;619822
0733203041;Obrigheim (Pfalz);6222295;3878699;979249;881046;2343596;992323;1351273;5451763
0733203042;Quirnheim;941786;858569;255382;142586;83217;3830;79387;512800
0733204;Hettenleidelheim, Verbandsgem.;22497155;19647215;7544734;3225958;2849940;1569499;1268472;12308945
0733204001;Altleiningen;2644185;2121794;470370;292041;522391;293027;229314;2123057
0733204007;Carlsberg;4081829;3761618;1121524;410820;320211;254126;57609;2779915
0733204027;Hettenleidelheim;4894500;4643163;1554971;620952;251337;220492;30650;2484312
0733204044;Tiefenthal, Pfalz;1288601;735840;20075;133744;552761;67681;482091;1128228
0733204047;Wattenheim;2477351;2107385;514949;485326;369966;364633;5074;1650951
0733205;Lambrecht (Pfalz), Verbandsgem.;26168788;21471386;5378069;3727231;4697402;2956836;320413;15780183
0733205014;Elmstein;2873767;2566023;579225;283274;307744;307744;0;1738595
0733205016;Esthal;1457296;1225038;105215;184806;232258;168060;1393;1249090
0733205018;Frankeneck;1045613;997708;222397;134094;47905;47905;0;734200
0733205032;Lambrecht (Pfalz);5325630;4632597;786983;791310;693033;612731;7902;4052185
0733205034;Lindenberg, Pfalz;1290735;1032469;129900;123080;258266;212979;39265;1038419
0733205037;Neidenfels;2981355;2861164;367427;258154;120191;120191;0;2617686
0733205048;Weidenthal;2683033;2079271;284257;485160;603762;514026;24736;2063751
0733206;Wachenheim an der Weinstraße, Verbandsgem.;19856091;16763140;4583714;3130137;3092951;1197616;1810995;13817281
0733206013;Ellerstadt;2453867;2399448;130787;289205;54419;0;53156;2310786
0733206020;Friedelsheim;1483843;1432994;118140;219442;50849;24252;23904;1341531
0733206022;Gönnheim;1861497;1597680;144003;356302;263817;90396;168519;1745536
0733206046;Wachenheim an der Weinstraße;7780344;6678106;1919033;994504;1102238;827955;245789;6206482
0733301;Alsenz-Obermoschel, Verbandsgem.;14594744;10945164;2411838;1970628;3649580;1452901;2186238;7962218
0733301003;Alsenz;2733013;1599280;138780;223777;1133733;299048;825724;2262450
0733301021;Finkenbach-Gersweiler;462262;297092;19213;65310;165170;64019;101151;332056
0733301023;Gaugrehweiler;917624;513375;23301;62448;404249;163433;240816;603101
0733301036;Kalkofen;229849;170823;8343;37732;59026;51503;7340;172846
0733301043;Mannweiler-Cölln;526556;501843;149491;72933;24713;24713;0;331038
0733301049;Münsterappel;700300;483185;21575;74023;217115;159730;57385;544000
0733301050;Niederhausen an der Appel;399183;238210;15784;36637;160973;8047;152926;236364
0733301051;Niedermoschel;489254;418626;14875;61484;70628;67279;3349;312264
0733301053;Oberhausen an der Appel;230623;144199;9900;26602;86424;60941;24746;194670
0733301054;Obermoschel;1413067;1082534;71071;183964;330533;161718;168815;1022874
0733301055;Oberndorf, Pfalz;345891;216403;10266;23348;129488;76588;52574;161286
0733301067;Schiersfeld;405327;232711;20577;39500;172616;6292;166324;246560
0733301072;Sitters;130142;109002;4487;29425;21140;19654;1486;104986
0733301078;Unkenbach;307097;206033;15350;36913;101064;8830;92234;70778
0733301079;Waldgrehweiler;391992;256635;10509;100735;135357;15311;120046;269969
0733301083;Winterborn;342287;170431;12499;27140;171856;110997;60625;279353
0733302;Eisenberg (Pfalz), Verbandsgem.;29784964;25193252;5993466;4415952;4591712;1242867;3253077;19240949
0733302019;Eisenberg (Pfalz);17160179;13658052;2176016;2108624;3502127;701024;2754543;14531077
0733302038;Kerzenheim;2664499;2339379;367929;414753;325120;109339;215781;2113795
0733302060;Ramsen;1966396;1747470;112865;226651;218926;84468;119158;1611718
0733303;Göllheim, Verbandsgem.;21693013;18912313;5227193;3787917;2780700;677399;2048633;12510783
0733303001;Albisheim, Pfrimm;1687312;1511312;120147;340271;176000;40907;135093;1297721
0733303006;Biedesheim;549620;538696;63043;82836;10924;10564;0;488327
0733303012;Bubenheim, Pfalz;826190;777879;16488;96647;48311;17242;6069;803716
0733303017;Dreisen;1375459;885963;72416;132720;489496;10279;461666;918937
0733303018;Einselthum;1121394;1079755;374880;195124;41639;30791;10848;691661
0733303026;Göllheim;5298507;4518595;966347;945858;779912;119719;658615;3858103
0733303032;Immesheim;111332;111332;7573;12737;0;0;0;72198
0733303041;Lautersheim;726691;709452;236528;85084;17239;13399;3840;421966
0733303058;Ottersheim;412382;320902;31013;39653;91480;7940;83361;387351
0733303064;Rüssingen;476266;467764;59389;80472;8502;8502;0;402354
0733303074;Standenbühl;224714;224714;17065;65722;0;0;0;186196
0733303081;Weitersweiler;659286;487969;38222;72273;171317;11248;160069;564633
0733303501;Zellertal;1610301;1503238;507643;232965;107063;21889;85174;898921
0733304;Kirchheimbolanden, Verbandsgem.;58249372;49041579;12842903;7283444;9207793;2644436;6431913;36199387
0733304005;Bennhausen;139815;139815;14869;28922;0;0;0;108180
0733304007;Bischheim;1095290;1067971;467542;154332;27319;0;10379;718877
0733304010;Bolanden;2678586;2572821;590146;484281;105765;65750;40015;1851761
0733304013;Dannenfels;1064495;952664;101403;276177;111831;47858;33973;933429
0733304022;Gauersheim;877326;641487;53600;196884;235839;19200;199699;615847
0733304031;Ilbesheim;552769;479880;43626;71553;72889;13226;32723;450538
0733304035;Jakobsweiler;454823;229553;25497;42885;225270;15268;210002;381349
0733304039;Kirchheimbolanden;28464871;23636208;3405064;2832464;4828663;606658;4222005;24342992
0733304040;Kriegsfeld;1540489;1239402;391202;211008;301087;113070;188017;867376
0733304045;Marnheim;2326674;1865000;577834;260534;461674;448192;13482;1405463
0733304046;Mörsfeld;521476;433615;56322;56165;87861;39136;48725;352583
0733304047;Morschheim;1023317;904910;308209;141065;118407;78842;39565;701523
0733304056;Oberwiesen;692330;567450;128275;111080;124880;45667;78339;392207
0733304057;Orbis;656551;624988;58069;93057;31563;24000;7563;516473
0733304062;Rittersheim;199410;157800;7667;22617;41610;24670;0;161155
0733304076;Stetten, Pfalz;1669236;541463;62629;73375;1127773;27209;1078624;1156279
0733305;Rockenhausen, Verbandsgem.;27006684;20177519;5250051;3744114;6829165;2476845;4295812;16362041
0733305004;Bayerfeld-Steckweiler;347973;336983;14199;38066;10990;10200;790;261516
0733305008;Bisterschied;222189;216689;11180;42341;5500;5500;0;141697
0733305014;Dielkirchen;507185;449903;28421;71577;57282;12520;44762;349657
0733305016;Dörrmoschel;217318;125652;7900;19077;91666;0;91666;161171
0733305024;Gehrweiler;372676;325196;12122;74778;47480;23280;24200;319823
0733305025;Gerbach;959916;481255;13453;72672;478661;22996;455665;725977
0733305028;Gundersweiler;730591;375002;10058;5538;355589;10540;345049;603557
0733305034;Imsweiler;608807;578589;63535;140468;30218;11720;18498;420448
0733305037;Katzenbach;594523;433705;21455;53429;160818;39980;120838;475057
0733305061;Ransweiler;286731;244565;8095;45330;42166;30550;11616;201269
0733305065;Ruppertsecken;338039;297220;11793;38265;40819;25650;15169;227252
0733305066;Sankt Alban;285554;266678;13068;44143;18876;10140;8736;176172
0733305068;Schönborn, Pfalz;141642;135642;7588;36956;6000;6000;0;105174
0733305073;Stahlberg;722230;156156;7545;31201;566074;7820;558254;505304
0733305077;Teschenmoschel;104256;104999;5803;17093;-743;0;-743;73205
0733305084;Würzweiler;205641;194127;11173;40275;11514;11300;214;111481
0733305201;Rathskirchen;187791;145139;8936;15355;42652;21798;20854;113542
0733305202;Reichsthal;99650;93870;5388;14229;5780;5780;0;56145
0733305203;Seelen;162821;147704;9406;24143;15117;7580;7536;96432
0733305502;Rockenhausen;8945284;6819216;629567;1322048;2126068;527187;1551749;7921311
0733306;Winnweiler, Verbandsgem.;29096475;23589200;6401980;3442846;5507275;711600;4504042;15848988
0733306009;Börrstadt;1359140;733854;64464;46617;625286;27584;597702;685335
0733306011;Breunigweiler;360984;350474;19333;33801;10510;0;8695;287123
0733306020;Falkenstein, Pfalz;220079;215869;27587;49391;4210;4210;0;187698
0733306027;Gonbach;527571;521636;25576;165138;5935;5821;114;413350
0733306030;Höringen;546149;523521;34546;48375;22628;9730;12898;386552
0733306033;Imsbach;757539;731368;81368;78879;26171;18655;7516;572454
0733306042;Lohnsfeld;991766;884023;65631;176122;107743;0;107743;939716
0733306048;Münchweiler an der Alsenz;1606536;987985;75941;80581;618551;4900;613651;1067480
0733306069;Schweisweiler;317753;273356;13328;22823;44397;15268;2677;178537
0733306071;Sippersfeld;1222135;1172929;134896;271700;49206;24873;24333;969381
0733306075;Steinbach am Donnersberg;593648;584390;29378;53192;9258;9020;238;353121
0733306080;Wartenberg-Rohrbach;441013;397365;20247;31699;43648;0;43648;364469
0733306503;Winnweiler;8104038;7024272;237377;505373;1079766;145902;929264;7361877
0733400007;Germersheim, verbandsfr. Gemeinde;36239656;30630186;10931252;6774296;5609470;1346122;4167843;28282297
0733400501;Wörth am Rhein, verbandsfr. Gemeinde;40493257;36630765;7331524;9068275;3862492;68752;2903012;38229905
0733401;Bellheim, Verbandsgem.;22084643;18975304;5597310;3704475;3109339;57202;2706288;13005732
0733401001;Bellheim;10838769;9244307;2491699;1852757;1594462;0;1457033;8513830
0733401014;Knittelsheim;1059466;854769;73346;146950;204697;0;180990;884269
0733401023;Ottersheim bei Landau;1759237;1487358;105394;246374;271879;0;148006;1417019
0733401036;Zeiskam;2287512;1825734;198696;314690;461778;0;444487;1817438
0733402;Hagenbach, Verbandsgem.;20485551;16465509;5003654;2853266;4020042;767039;2856782;12781640
0733402002;Berg (Pfalz);2903472;2394974;761367;329631;508498;12104;494312;2191165
0733402008;Hagenbach;9209292;6297368;1572395;971200;2911924;593983;1924684;7381656
0733402021;Neuburg am Rhein;2479447;2185820;209418;204925;293627;37266;256361;2264156
0733402027;Scheibenhardt;893074;790366;271649;109805;102708;34007;68701;679642
0733403;Jockgrim, Verbandsgem.;39013369;31483742;11131500;6427937;7529627;3193411;2486513;23483606
0733403009;Hatzenbühl;4320155;3704676;1219238;545016;615479;175724;439755;3016167
0733403012;Jockgrim;12533451;11465824;3782894;2271209;1067627;188854;876105;8922094
0733403022;Neupotz;2026629;1946657;234484;433264;79972;0;79972;1658674
0733403024;Rheinzabern;7473753;6832852;1996344;1372919;640901;14925;571054;5495493
0733404;Kandel, Verbandsgem.;39308511;26965456;7911560;4672707;12343055;880109;11460998;27434936
0733404004;Erlenbach bei Kandel;1035700;957075;336258;144254;78625;1294;77331;624888
0733404005;Freckenfeld;2267167;1708638;516853;239913;558529;0;558529;1614231
0733404013;Kandel;19837964;12670694;2570995;1828594;7167270;693158;6474112;17695964
0733404020;Minfeld;2368455;1732904;594996;183144;635551;52128;583475;1808728
0733404030;Steinweiler;3640080;1599649;170023;228197;2040431;0;2040431;3389657
0733404031;Vollmersweiler;299435;185759;12255;42135;113676;0;113676;251147
0733404034;Winden, Pfalz;1361508;1162022;315188;197837;199486;0;199486;1013113
0733405;Lingenfeld, Verbandsgem.;33270814;28603079;10089737;5327365;4667735;801680;3866055;19172377
0733405006;Freisbach;1925032;1323697;433704;189680;601335;18829;582506;1469256
0733405017;Lingenfeld;7713753;6824711;1920098;1030697;889042;46371;842671;5445613
0733405018;Lustadt;4185561;3706986;981086;510108;478575;151817;326758;2936786
0733405028;Schwegenheim;5019123;4632849;1467415;1136039;386274;55025;331249;3953298
0733405032;Weingarten (Pfalz);3123065;2256684;842009;287765;866381;66560;799821;2351746
0733405033;Westheim (Pfalz);2409301;2241459;769076;318563;167842;23689;144153;1610407
0733406;Rülzheim, Verbandsgem.;35026187;25119561;7998624;4334581;9906626;432755;5582580;22217857
0733406011;Hördt;2780537;2358886;329866;332520;421651;94511;261805;2349621
0733406015;Kuhardt;2490279;2242935;707993;255054;247344;38965;172379;1726567
0733406016;Leimersheim;4169834;3215346;832110;636732;954488;55850;832228;3020853
0733406025;Rülzheim;13139182;10446216;2889416;1924263;2692966;98289;1896208;9877716
0733501;Bruchmühlbach-Miesau, Verbandsgem.;21531027;17625379;6016203;3199125;3905648;991936;2839424;11447739
0733501003;Bruchmühlbach-Miesau;11658602;9195264;2726178;1155650;2463338;463498;1960837;7762172
0733501011;Gerhardsbrunn;131100;131100;8802;21342;0;0;0;86293
0733501201;Lambsborn;1094010;812769;257810;137314;281241;11286;269955;803739
0733501202;Langwieden;209740;195962;14281;22906;13778;11389;2389;148938
0733501203;Martinshöhe;2034095;1531197;388356;243683;502898;43769;459129;1269165
0733502;Enkenbach-Alsenborn, Verbandsgem.;43650279;37482689;11759313;5241906;6167590;2066600;3971581;27773855
0733502004;Enkenbach-Alsenborn;13886901;10762745;2358420;1243579;3124156;1342864;1770491;11280009
0733502007;Fischbach;1016117;978282;241786;137956;37835;34571;3264;836817
0733502010;Frankenstein;1214986;1019581;87652;211879;195405;125274;55928;894164
0733502015;Hochspeyer;5181997;4886119;920401;622547;295878;242722;48166;3879261
0733502026;Mehlingen;5363470;4522169;538248;663912;841301;0;841301;4602675
0733502028;Neuhemsbach;1349214;669485;17693;132442;679729;0;649729;1205315
0733502048;Waldleiningen;445501;367448;17226;53227;78053;27964;1097;296762
0733502205;Sembach;2779903;2476713;566755;275183;303190;18581;284609;2490416
0733503;Hochspeyer, Verbandsgem.;-;-;-;-;-;-;-;-
0733503007;Fischbach, Kr Kaiserslautern;-;-;-;-;-;-;-;-
0733503010;Frankenstein, Pfalz;-;-;-;-;-;-;-;-
0733503015;Hochspeyer;-;-;-;-;-;-;-;-
0733503048;Waldleiningen;-;-;-;-;-;-;-;-
0733504;Kaiserslautern-Süd, Verbandsgem.;20225156;15868373;3696307;2968723;4356783;851288;3492695;12846405
0733504021;Krickenbach;1177386;1034546;85985;145125;142840;43960;98880;913540
0733504023;Linden, Pfalz;1160701;1059461;84482;198632;101240;54759;46481;896077
0733504037;Queidersbach;2697763;2512177;154855;326492;185586;156228;29358;2020742
0733504045;Stelzenberg;1529476;1037235;79604;174606;492241;29253;462988;1360480
0733504047;Trippstadt;4217883;3179116;648672;530133;1038767;87606;951161;3227085
0733504204;Schopp;1881645;1489255;155708;318114;392390;51807;340583;1711711
0733505;Landstuhl, Verbandsgem.;36623510;29549042;8775191;5213954;7074468;1814760;4636202;22359469
0733505002;Bann;2051440;1832053;68681;241911;219387;74088;71680;1409298
0733505012;Hauptstuhl;1812888;1411897;399415;152828;400991;107264;293727;994635
0733505018;Kindsbach;2613140;2431518;124608;337563;181622;81028;98009;2352600
0733505022;Landstuhl, Sickingenstadt;13457946;12105180;1941279;2263136;1352766;377220;781077;11413382
0733505027;Mittelbrunn;2445225;1003930;330583;179389;1441295;85152;1298071;994031
0733505031;Oberarnbach;416900;367594;21764;49474;49306;10941;35865;313678
0733506;Otterbach, Verbandsgem.;-;-;-;-;-;-;-;-
0733506009;Frankelbach;-;-;-;-;-;-;-;-
0733506014;Hirschhorn/Pfalz;-;-;-;-;-;-;-;-
0733506017;Katzweiler;-;-;-;-;-;-;-;-
0733506025;Mehlbach;-;-;-;-;-;-;-;-
0733506033;Olsbrücken;-;-;-;-;-;-;-;-
0733506034;Otterbach;-;-;-;-;-;-;-;-
0733506046;Sulzbachtal;-;-;-;-;-;-;-;-
0733507;Otterberg, Verbandsgem.;-;-;-;-;-;-;-;-
0733507013;Heiligenmoschel;-;-;-;-;-;-;-;-
0733507029;Niederkirchen;-;-;-;-;-;-;-;-
0733507035;Otterberg;-;-;-;-;-;-;-;-
0733507041;Schallodenbach;-;-;-;-;-;-;-;-
