GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2015;01056043;Rellingen;181;81;100
2015;01056044;Schenefeld, Stadt;192;94;98
2015;01056045;Seestermühe;7;5;2
2015;01056046;Seeth-Ekholt;9;2;7
2015;01056047;Tangstedt;17;9;8
2015;01056048;Tornesch;185;90;95
2015;01056049;Uetersen;207;101;106
2015;01056050;Wedel;399;192;207
2015;01056051;Westerhorn;23;14;9
2015;01057001;Ascheberg (Holstein);48;17;31
2015;01057002;Barmissen;-;-;-
2015;01057003;Barsbek;2;2;-
2015;01057004;Behrensdorf (Ostsee);7;3;4
2015;01057005;Belau;3;1;2
2015;01057006;Bendfeld;1;1;-
2015;01057007;Blekendorf;12;7;5
2015;01057008;Bönebüttel;9;7;2
2015;01057009;Bösdorf;22;12;10
2015;01057010;Boksee;7;4;3
2015;01057011;Bothkamp;2;2;-
2015;01057012;Brodersdorf;7;5;2
2015;01057013;Dannau;5;4;1
2015;01057015;Dersau;13;5;8
2015;01057016;Dobersdorf;7;4;3
2015;01057017;Dörnick;5;3;2
2015;01057018;Fahren;1;-;1
2015;01057020;Fiefbergen;1;-;1
2015;01057021;Giekau;7;5;2
2015;01057022;Grebin;12;8;4
2015;01057023;Großbarkau;4;1;3
2015;01057024;Großharrie;4;3;1
2015;01057025;Heikendorf;99;50;49
2015;01057026;Helmstorf;1;1;-
2015;01057027;Högsdorf;2;2;-
2015;01057028;Höhndorf;4;3;1
2015;01057029;Hohenfelde;20;11;9
2015;01057030;Hohwacht (Ostsee);9;6;3
2015;01057031;Honigsee;3;2;1
2015;01057032;Kalübbe;5;2;3
2015;01057033;Kirchbarkau;3;1;2
2015;01057034;Kirchnüchel;3;2;1
2015;01057035;Klamp;8;6;2
2015;01057037;Klein Barkau;3;2;1
2015;01057038;Kletkamp;4;3;1
2015;01057039;Köhn;7;4;3
2015;01057040;Krokau;2;1;1
2015;01057041;Krummbek;2;1;1
2015;01057042;Kühren;8;6;2
2015;01057043;Laboe;85;42;43
2015;01057044;Lammershagen;5;4;1
2015;01057045;Lebrade;7;4;3
2015;01057046;Lehmkuhlen;10;5;5
2015;01057047;Löptin;-;-;-
2015;01057048;Lütjenburg;74;36;38
2015;01057049;Lutterbek;4;1;3
2015;01057050;Martensrade;8;4;4
2015;01057051;Mönkeberg;62;19;43
2015;01057052;Mucheln;7;2;5
2015;01057053;Nehmten;5;4;1
2015;01057054;Nettelsee;1;1;-
2015;01057055;Panker;9;7;2
2015;01057056;Passade;3;3;-
2015;01057057;Plön;148;71;77
2015;01057058;Pohnsdorf;9;7;2
2015;01057059;Postfeld;2;2;-
