GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0733705009;Birkweiler;92;66;269;243;-177
0733705012;Böchingen;93;77;304;288;-211
0733705022;Eschbach, Pfalz;53;37;243;227;-190
0733705026;Frankweiler;92;61;333;302;-241
0733705031;Göcklingen;72;47;321;296;-249
0733705040;Heuchelheim-Klingen;43;31;297;285;-254
0733705042;Ilbesheim bei Landau in der Pfalz;221;172;400;351;-179
0733705043;Impflingen;40;25;355;340;-315
0733705050;Knöringen;.;.;187;180;.
0733705051;Leinsweiler;87;72;125;110;-38
0733705065;Ranschbach;32;23;256;247;-224
0733705073;Siebeldingen;219;184;368;333;-149
0733705082;Walsheim;108;70;218;180;-110
0733706;Maikammer;-;-;-;-;-
0733706002;Altdorf, Pfalz;-;-;-;-;-
0733706011;Böbingen;-;-;-;-;-
0733706015;Burrweiler;-;-;-;-;-
0733706020;Edenkoben;-;-;-;-;-
0733706021;Edesheim;-;-;-;-;-
0733706025;Flemlingen;-;-;-;-;-
0733706027;Freimersheim, Pfalz;-;-;-;-;-
0733706028;Gleisweiler;-;-;-;-;-
0733706032;Gommersheim;-;-;-;-;-
0733706035;Großfischlingen;-;-;-;-;-
0733706036;Hainfeld;-;-;-;-;-
0733706047;Kirrweiler (Pfalz);-;-;-;-;-
0733706048;Kleinfischlingen;-;-;-;-;-
0733706052;Maikammer;-;-;-;-;-
0733706066;Rhodt unter Rietburg;-;-;-;-;-
0733706069;Roschbach;-;-;-;-;-
0733706070;Sankt Martin;-;-;-;-;-
0733706077;Venningen;-;-;-;-;-
0733706084;Weyher in der Pfalz;-;-;-;-;-
0733707;Offenbach an der Queich, Verbandsgem.;6123;-;5076;-;-
0733707014;Bornheim, Pfalz;2175;2098;574;499;1599
0733707023;Essingen, Pfalz;156;107;835;786;-679
0733707041;Hochstadt (Pfalz);406;294;980;868;-574
0733707061;Offenbach an der Queich;3386;2886;2687;2190;696
0733800001;Altrip, verbandsfr. Gemeinde;-;-;-;-;-
0733800004;Bobenheim-Roxheim, verbandsfr. Gemeinde;2044;1594;4022;3576;-1982
0733800005;Böhl-Iggelheim, verbandsfr. Gemeinde;1146;715;3946;3515;-2800
0733800016;Lambsheim, verbandsfr. Gemeinde;-;-;-;-;-
0733800017;Limburgerhof, verbandsfr. Gemeinde;3079;2562;4352;3836;-1274
0733800019;Mutterstadt, verbandsfr. Gemeinde;2284;1664;4913;4295;-2631
0733800020;Neuhofen, verbandsfr. Gemeinde;-;-;-;-;-
0733800023;Römerberg, verbandsfr. Gemeinde;-;-;-;-;-
0733800025;Schifferstadt, verbandsfr. Gemeinde;4004;2548;7493;6039;-3491
0733801;Dannstadt-Schauernheim, Verbandsgem.;2414;-;5531;-;-
0733801006;Dannstadt-Schauernheim;1606;1096;2933;2426;-1330
0733801014;Hochdorf-Assenheim;674;447;1420;1194;-747
0733801022;Rödersheim-Gronau;134;90;1178;1134;-1044
0733802;Dudenhofen, Verbandsgem.;-;-;-;-;-
0733802007;Dudenhofen;-;-;-;-;-
0733802010;Hanhofen;-;-;-;-;-
0733802011;Harthausen;-;-;-;-;-
0733803;Heßheim, Verbandsgem.;-;-;-;-;-
0733803002;Beindersheim;-;-;-;-;-
0733803009;Großniedesheim;-;-;-;-;-
0733803012;Heßheim;-;-;-;-;-
0733803013;Heuchelheim bei Frankthal;-;-;-;-;-
0733803015;Kleinniedesheim;-;-;-;-;-
0733804;Maxdorf, Verbandsgem.;2951;-;5019;-;-
0733804003;Birkenheide;309;226;1327;1244;-1018
0733804008;Fußgönheim;608;480;1011;883;-403
0733804018;Maxdorf;2034;1724;2681;2373;-649
0733805;Waldsee, Verbandsgem.;-;-;-;-;-
0733805021;Otterstadt;-;-;-;-;-
0733805026;Waldsee;-;-;-;-;-
0733806;Lambsheim-Heßheim;2261;-;6515;-;-
0733806002;Beindersheim;411;344;1259;1192;-848
0733806009;Großniedesheim;88;71;506;489;-418
0733806012;Heßheim;513;449;1152;1088;-639
0733806013;Heuchelheim bei Frankenthal;33;18;477;462;-444
0733806015;Kleinniedesheim;98;72;365;340;-268
0733806016;Lambsheim;1118;794;2756;2434;-1640
0733807;Römerberg-Dudenhofen;2954;-;8467;-;-
0733807007;Dudenhofen;753;544;2158;1950;-1406
0733807010;Hanhofen;236;163;1025;953;-790
0733807011;Harthausen;517;392;1321;1196;-804
0733807023;Römerberg;1448;1041;3963;3556;-2515
0733808;Rheinauen;3165;-;9398;-;-
0733808001;Altrip;680;415;2991;2727;-2312
0733808020;Neuhofen;1103;807;2723;2428;-1621
0733808021;Otterstadt;297;221;1228;1152;-931
0733808026;Waldsee;1085;854;2456;2226;-1372
0733900005;Bingen am Rhein, verbandsfr. Gemeinde;10344;7410;9464;6532;878
0733900009;Budenheim, verbandsfr. Gemeinde;2455;1972;3459;2978;-1006
0733900030;Ingelheim am Rhein, verbandsfr. Gemeinde;16052;12142;10018;6110;6032
0733901;Rhein-Nahe, Verbandsgem.;.;-;5599;-;-
0733901003;Bacharach;214;117;634;537;-420
0733901007;Breitscheid, Hunsrück;.;.;55;55;.
0733901036;Manubach;.;.;137;131;.
0733901038;Münster-Sarmsheim;300;239;1157;1096;-857
0733901040;Niederheimbach;.;.;274;268;.
0733901044;Oberdiebach;63;48;296;281;-233
0733901045;Oberheimbach;.;.;209;197;.
0733901058;Trechtingshausen;131;93;378;340;-247
0733901062;Waldalgesheim;322;233;1537;1448;-1215
0733901063;Weiler bei Bingen;181;139;922;880;-741
0733902;Bodenheim, Verbandsgem.;2926;-;7815;-;-
0733902006;Bodenheim;2064;1655;2915;2506;-851
0733902020;Gau-Bischofsheim;145;128;711;694;-566
0733902026;Harxheim;133;106;857;830;-724
0733902034;Lörzweiler;150;110;906;866;-756
0733902039;Nackenheim;434;307;2426;2300;-1993
0733903;Gau-Algesheim, Verbandsgem.;2512;-;6153;-;-
0733903001;Appenheim;95;64;545;514;-450
0733903008;Bubenheim, Rheinhessen;47;23;349;325;-302
0733903016;Engelstadt;62;42;300;280;-238
0733903019;Gau-Algesheim;1424;1115;2385;2077;-962
0733903041;Nieder-Hilbersheim;48;31;252;235;-204
0733903046;Ober-Hilbersheim;83;50;399;366;-316
0733903048;Ockenheim;278;196;956;874;-678
0733903051;Schwabenheim an der Selz;475;398;967;891;-493
0733904;Guntersblum, Verbandsgem.;-;-;-;-;-
0733904013;Dolgesheim;-;-;-;-;-
0733904015;Eimsheim;-;-;-;-;-
0733904024;Guntersblum;-;-;-;-;-
0733904028;Hillesheim;-;-;-;-;-
0733904035;Ludwigshöhe;-;-;-;-;-
0733904059;Uelversheim;-;-;-;-;-
0733904064;Weinolsheim;-;-;-;-;-
0733904066;Wintersheim;-;-;-;-;-
0733904201;Dorn-Dürkheim;-;-;-;-;-
0733905;Heidesheim am Rhein, Verbandsgem.;1310;-;4029;-;-
0733905027;Heidesheim am Rhein;1039;771;3058;2790;-2019
0733905061;Wackernheim;271;222;971;922;-700
0733906;Nieder-Olm, Verbandsgem.;5922;-;12369;-;-
0733906017;Essenheim;284;228;1358;1302;-1074
0733906031;Jugenheim in Rheinhessen;500;437;639;576;-139
0733906032;Klein-Winternheim;959;877;1310;1228;-351
0733906042;Nieder-Olm;3270;2778;3700;3210;-432
0733906047;Ober-Olm;260;197;1605;1542;-1345
0733906054;Sörgenloch;152;136;446;430;-294
0733906057;Stadecken-Elsheim;325;205;1894;1774;-1569
0733906067;Zornheim;172;122;1417;1367;-1245
0733907;Rhein-Selz;4992;-;15875;-;-
0733907010;Dalheim;48;35;401;388;-353
0733907011;Dexheim;105;71;595;561;-490
0733907012;Dienheim;116;77;845;806;-729
0733907013;Dolgesheim;38;17;350;329;-312
0733907015;Eimsheim;29;17;192;180;-163
0733907018;Friesenheim, Rheinhessen;45;34;327;316;-282
0733907024;Guntersblum;410;271;1467;1328;-1057
0733907025;Hahnheim;141;99;620;578;-479
0733907028;Hillesheim;108;80;239;211;-131
0733907033;Köngernheim;123;96;591;564;-468
0733907035;Ludwigshöhe;27;17;249;239;-222
0733907037;Mommenheim;351;245;1304;1198;-953
0733907043;Nierstein;1215;826;3049;2661;-1835
0733907049;Oppenheim;1662;1220;2787;2346;-1126
0733907053;Selzen;97;66;553;522;-456
0733907059;Uelversheim;128;63;474;409;-346
0733907060;Undenheim;203;135;1108;1040;-905
0733907064;Weinolsheim;56;33;262;239;-206
0733907066;Wintersheim;32;22;125;115;-93
0733907201;Dorn-Dürkheim;58;46;337;325;-279
0733908;Sprendlingen-Gensingen, Verbandsgem.;4431;-;5741;-;-
0733908002;Aspisheim;51;24;357;330;-306
0733908004;Badenheim;21;15;222;216;-201
0733908021;Gensingen;2028;1799;1569;1341;458
0733908022;Grolsheim;641;619;543;521;98
0733908029;Horrweiler;76;42;309;275;-233
0733908050;Sankt Johann, Rheinhessen;50;38;332;320;-282
0733908056;Sprendlingen;1348;1071;1621;1344;-273
0733908065;Welgesheim;40;33;221;214;-181
0733908068;Zotzenheim;99;83;265;249;-166
0733908202;Wolfsheim;77;56;302;282;-226
0734001;Dahner Felsenland, Verbandsgem.;.;-;5073;-;-
0734001001;Bobenthal;.;.;114;109;.
0734001002;Busenberg;57;38;463;444;-406
0734001004;Dahn;1935;1374;1505;945;429
0734001009;Erfweiler;101;70;455;424;-354
0734001010;Erlenbach bei Dahn;21;15;94;88;-73
0734001011;Fischbach bei Dahn;152;79;540;467;-388
0734001021;Hirschthal;.;.;32;31;.
0734001029;Ludwigswinkel;77;50;245;218;-168
0734001033;Niederschlettenbach;.;.;102;97;.
0734001034;Nothweiler;13;6;52;45;-39
0734001039;Rumbach;8;.;168;.;.
0734001043;Schindhard;44;29;212;197;-168
0734001045;Schönau (Pfalz);32;23;115;106;-83
0734001501;Bruchweiler-Bärenbach;203;145;561;503;-358
0734001502;Bundenthal;167;117;415;365;-248
0734002;Hauenstein, Verbandsgem.;.;-;3289;-;-
0734002005;Darstein;5;.;84;.;.
0734002006;Dimbach;.;0;75;75;-75
0734002014;Hauenstein;1188;735;1416;963;-228
0734002020;Hinterweidenthal;421;321;589;489;-168
0734002030;Lug, Pfalz;27;19;221;213;-194
0734002047;Schwanheim;128;103;228;203;-100
0734002049;Spirkelbach;.;.;293;286;.
0734002057;Wilgartswiesen;145;104;383;342;-238
0734003;Pirmasens-Land, Verbandsgem.;.;-;4515;-;-
0734003008;Eppenbrunn;75;51;479;455;-404
0734003019;Hilst;.;.;119;118;.
0734003026;Kröppen;36;22;278;264;-242
0734003028;Lemberg;302;184;1422;1304;-1120
0734003036;Obersimten;29;21;210;202;-181
0734003040;Ruppertsweiler;83;67;546;530;-463
0734003048;Schweix;.;.;112;100;.
0734003052;Trulben;63;37;429;403;-366
0734003053;Vinningen;309;249;654;594;-345
0734003205;Bottenbach;28;22;266;260;-238
0734004;Rodalben, Verbandsgem.;2518;-;5296;-;-
0734004003;Clausen;50;27;524;501;-474
0734004007;Donsieders;164;140;385;361;-221
0734004027;Leimen, Pfalz;80;43;356;319;-276
0734004031;Merzalben;234;209;411;386;-177
0734004032;Münchweiler an der Rodalb;517;406;1039;928;-522
0734004038;Rodalben;1473;951;2581;2060;-1109
0734005;Thaleischweiler-Fröschen, Verbandsgem.;-;-;-;-;-
0734005023;Höheischweiler;-;-;-;-;-
0734005024;Höhfröschen;-;-;-;-;-
0734005035;Nünschweiler;-;-;-;-;-
0734005037;Petersberg, Pfalz;-;-;-;-;-
0734005051;Thaleischweiler-Fröschen;-;-;-;-;-
0734005217;Maßweiler;-;-;-;-;-
0734005220;Reifenberg;-;-;-;-;-
0734005222;Rieschweiler-Mühlbach;-;-;-;-;-
0734006;Waldfischbach-Burgalben, Verbandsgem.;2842;-;4552;-;-
0734006012;Geiselberg;59;43;329;313;-270
0734006015;Heltersberg;719;562;757;600;-38
0734006016;Hermersberg;217;157;699;639;-482
0734006022;Höheinöd;56;41;439;424;-383
0734006025;Horbach, Pfalz;200;191;210;201;-10
0734006044;Schmalenberg;34;18;286;270;-252
0734006050;Steinalben;28;23;144;139;-116
0734006054;Waldfischbach-Burgalben;1529;1154;1688;1313;-159
0734007;Wallhalben, Verbandsgem.;-;-;-;-;-
0734007017;Herschberg;-;-;-;-;-
0734007018;Hettenhausen;-;-;-;-;-
0734007041;Saalstadt;-;-;-;-;-
0734007042;Schauerberg;-;-;-;-;-
0734007055;Weselberg;-;-;-;-;-
0734007204;Biedershausen;-;-;-;-;-
0734007215;Knopp-Labach;-;-;-;-;-
0734007216;Krähenberg;-;-;-;-;-
0734007219;Obernheim-Kirchenarnbach;-;-;-;-;-
0734007224;Schmitshausen;-;-;-;-;-
0734007225;Wallhalben;-;-;-;-;-
0734007228;Winterbach (Pfalz);-;-;-;-;-
0734008;Zweibrücken-Land, Verbandsgem.;.;-;6446;-;-
0734008201;Althornbach;20;12;280;272;-260
0734008202;Battweiler;70;65;257;252;-187
0734008203;Bechhofen, Pfalz;145;103;828;786;-683
0734008206;Contwig;428;302;1869;1743;-1441
0734008207;Dellfeld;109;80;562;533;-453
0734008208;Dietrichingen;21;17;139;135;-118
0734008209;Großbundenbach;.;.;116;111;.
0734008210;Großsteinhausen;22;16;241;235;-219
0734008211;Hornbach;192;129;575;512;-383
0734008212;Käshofen;16;8;291;283;-275
0734008213;Kleinbundenbach;12;9;182;179;-170
0734008214;Kleinsteinhausen;41;28;313;300;-272
0734008218;Mauschbach;.;.;135;135;.
0734008221;Riedelberg;16;12;183;179;-167
0734008223;Rosenkopf;.;.;141;137;.
0734008226;Walshausen;.;.;117;115;.
0734008227;Wiesbach;.;.;217;200;.
0734009;Thaleischweiler-Wallhalben;.;-;6947;-;-
0734009017;Herschberg;37;24;298;285;-261
0734009018;Hettenhausen;.;.;99;98;.
0734009023;Höheischweiler;185;168;317;300;-132
0734009024;Höhfröschen;120;101;378;359;-258
0734009035;Nünschweiler;48;37;288;277;-240
0734009037;Petersberg;78;68;345;335;-267
0734009041;Saalstadt;14;10;112;108;-98
0734009042;Schauerberg;.;.;63;61;.
0734009051;Thaleischweiler-Fröschen;911;684;1251;1025;-341
0734009055;Weselberg;404;343;563;502;-159
0734009204;Biedershausen;11;4;97;90;-86
0734009215;Knopp-Labach;.;.;164;163;.
0734009216;Krähenberg;.;.;64;60;.
0734009217;Maßweiler;183;156;416;389;-233
0734009219;Obernheim-Kirchen.;40;19;620;599;-580
0734009220;Reifenberg;35;24;309;298;-274
0734009222;Rieschweiler-Mühlbach;296;206;830;741;-535
0734009224;Schmitshausen;.;.;157;143;.
0734009225;Wallhalben;181;136;359;314;-178
0734009228;Winterbach (Pfalz);29;24;217;212;-188
08111000;Stuttgart, Landeshauptstadt, Stadtkreis;389562;235349;235949;81892;153457
08115001;Aidlingen;825;540;3523;3239;-2699
08115002;Altdorf;412;306;1861;1755;-1449
08115003;Böblingen, Stadt;31138;25534;20345;14749;10785
08115004;Bondorf;1495;1216;2460;2184;-968
08115010;Deckenpfronn;968;630;1457;1119;-489
08115013;Ehningen;5749;5275;3757;3287;1988
08115015;Gärtringen;2588;2035;4970;4418;-2383
08115016;Gäufelden;1239;834;3770;3366;-2532
08115021;Herrenberg, Stadt;10021;7133;12581;9697;-2564
08115022;Hildrizhausen;349;247;1508;1406;-1159
08115024;Holzgerlingen, Stadt;3550;2794;5309;4554;-1760
08115028;Leonberg, Stadt;16026;11242;18618;13834;-2592
08115029;Magstadt;2200;1634;3867;3302;-1668
08115034;Mötzingen;612;488;1467;1343;-855
08115037;Nufringen;2148;1899;2365;2116;-217
08115041;Renningen, Stadt;5714;4409;7059;5756;-1347
08115042;Rutesheim, Stadt;2828;2182;4408;3762;-1580
08115044;Schönaich;2661;1898;3994;3231;-1333
08115045;Sindelfingen, Stadt;59743;48978;24684;13942;35036
08115046;Steinenbronn;1507;1124;2730;2349;-1225
08115048;Waldenbuch, Stadt;2349;1634;3431;2717;-1083
08115050;Weil der Stadt, Stadt;3691;2345;7548;6202;-3857
08115051;Weil im Schönbuch;1792;1191;3987;3386;-2195
08115052;Weissach;6711;6033;3026;2348;3685
08115053;Jettingen;1199;826;3144;2773;-1947
08115054;Grafenau;679;498;2705;2525;-2027
08116004;Altbach;1555;1352;2443;2239;-887
08116005;Altdorf;200;167;685;652;-485
08116006;Altenriet;112;73;789;751;-678
08116007;Baltmannsweiler;511;291;2209;1990;-1699
08116008;Bempflingen;1186;1007;1422;1244;-237
08116011;Beuren;887;671;1457;1244;-573
08116012;Bissingen an der Teck;860;673;1320;1134;-461
08116014;Deizisau;2586;2262;2729;2405;-143
08116015;Denkendorf;2776;2196;4435;3856;-1660
08116016;Dettingen unter Teck;2318;1954;2263;1900;54
08116018;Erkenbrechtsweiler;318;217;940;839;-622
08116019;Esslingen am Neckar, Stadt;46538;33119;35687;22283;10836
08116020;Frickenhausen;2637;2022;3449;2834;-812
08116022;Großbettlingen;687;544;1782;1639;-1095
08116027;Hochdorf;844;684;1804;1645;-961
08116029;Holzmaden;517;447;899;829;-382
08116033;Kirchheim unter Teck, Stadt;17324;11876;15840;10403;1473
08116035;Köngen;3115;2515;4105;3508;-993
08116036;Kohlberg;781;690;940;849;-159
08116037;Lichtenwald;129;79;977;927;-848
08116041;Neckartailfingen;809;626;1536;1354;-728
08116042;Neckartenzlingen;2118;1678;2652;2214;-536
08116043;Neidlingen;173;102;767;697;-595
08116046;Neuffen, Stadt;1471;1018;2457;2005;-987
08116047;Neuhausen auf den Fildern;5402;4553;4999;4152;401
08116048;Notzingen;346;247;1404;1305;-1058
08116049;Nürtingen, Stadt;17198;12174;15250;10231;1943
08116050;Oberboihingen;1685;1397;2232;1944;-547
08116053;Ohmden;90;66;668;645;-579
08116054;Owen, Stadt;1239;1057;1390;1207;-150
08116056;Plochingen, Stadt;5212;4370;5585;4747;-377
08116058;Reichenbach an der Fils;2585;2074;3346;2839;-765
08116063;Schlaitdorf;72;54;774;756;-702
08116068;Unterensingen;1121;924;1967;1771;-847
08116070;Weilheim an der Teck, Stadt;3463;2373;4022;2933;-560
08116071;Wendlingen am Neckar, Stadt;5918;4841;6578;5504;-663
08116072;Wernau (Neckar), Stadt;3397;2576;5288;4469;-1893
08116073;Wolfschlugen;1275;992;2683;2400;-1408
08116076;Aichwald;1174;844;2725;2395;-1551
08116077;Filderstadt, Stadt;15683;10844;19608;14777;-3933
08116078;Leinfelden-Echterdingen, Stadt;27759;23443;16034;11731;11712
08116079;Lenningen;1694;1001;3253;2563;-1562
08116080;Ostfildern, Stadt;12276;9084;15802;12617;-3533
08116081;Aichtal, Stadt;2587;2044;4034;3493;-1449
08117001;Adelberg;839;707;703;571;136
08117002;Aichelberg;292;256;528;493;-237
08117003;Albershausen;827;688;1675;1537;-849
08117006;Bad Ditzenbach;932;715;1431;1214;-499
08117007;Bad Überkingen;1559;1292;1385;1119;173
08117009;Birenbach;159;124;745;710;-586
08117010;Böhmenkirch;2455;1860;2246;1653;207
08117011;Börtlingen;108;67;605;564;-497
08117012;Bad Boll;2421;1935;1850;1362;573
08117014;Deggingen;933;585;1997;1649;-1064
08117015;Donzdorf, Stadt;2124;1202;4099;3179;-1977
08117016;Drackenstein;47;31;195;179;-148
08117017;Dürnau;328;261;861;793;-532
08117018;Ebersbach an der Fils, Stadt;3391;2517;5982;5110;-2593
08117019;Eislingen/Fils, Stadt;6415;4777;8159;6522;-1745
08117020;Eschenbach;396;364;881;849;-485
08117023;Gammelshausen;67;52;572;557;-505
08117024;Geislingen an der Steige, Stadt;8266;4946;10258;6942;-1996
08117025;Gingen an der Fils;1094;880;1658;1444;-564
08117026;Göppingen, Stadt;30556;21373;21327;12158;9215
08117028;Gruibingen;417;319;920;822;-503
08117029;Hattenhofen;808;684;1146;1023;-339
08117030;Heiningen;1744;1474;1950;1681;-207
08117031;Hohenstadt;33;19;288;274;-255
08117033;Kuchen;706;510;2103;1907;-1397
08117035;Mühlhausen im Täle;757;715;420;379;336
08117037;Ottenbach;286;197;953;866;-669
08117038;Rechberghausen;857;667;2066;1877;-1210
08117042;Salach;4247;3688;3140;2582;1106
08117043;Schlat;119;79;620;580;-501
08117044;Schlierbach;1630;1411;1502;1283;128
08117049;Süßen, Stadt;3211;2442;3864;3096;-654
08117051;Uhingen, Stadt;4014;3044;5570;4602;-1558
08117053;Wäschenbeuren;342;231;1530;1419;-1188
08117055;Wangen;819;701;1165;1047;-346
08117058;Wiesensteig, Stadt;480;355;783;658;-303
08117060;Zell unter Aichelberg;839;673;1350;1184;-511
08117061;Lauterstein, Stadt;280;182;1012;914;-732
08118001;Affalterbach;2869;2582;1742;1456;1126
08118003;Asperg, Stadt;3438;2879;5348;4788;-1909
08118006;Benningen am Neckar;818;636;2501;2319;-1683
08118007;Besigheim, Stadt;5330;4349;5059;4082;267
08118010;Bönnigheim, Stadt;2014;1543;3088;2618;-1075
08118011;Ditzingen, Stadt;12606;10231;10229;7867;2364
08118012;Eberdingen;1177;788;2778;2388;-1600
08118014;Erdmannhausen;956;715;1990;1749;-1034
08118015;Erligheim;674;554;1193;1072;-518
08118016;Freudental;135;78;970;913;-835
08118018;Gemmrigheim;575;367;1723;1515;-1148
08118019;Gerlingen, Stadt;8757;7376;7528;6157;1219
08118021;Großbottwar, Stadt;1472;990;3252;2770;-1780
08118027;Hemmingen;1641;1190;3076;2625;-1435
08118028;Hessigheim;230;153;976;900;-747
08118040;Kirchheim am Neckar;1302;981;2338;2017;-1036
08118046;Kornwestheim, Stadt;9430;7159;13805;11536;-4377
08118047;Löchgau;1091;861;2305;2075;-1214
08118048;Ludwigsburg, Stadt;50472;37628;36544;23728;13900
08118049;Marbach am Neckar, Stadt;3493;2484;6354;5349;-2865
08118050;Markgröningen, Stadt;4794;3411;6295;4915;-1504
08118051;Möglingen;2415;1980;4592;4157;-2177
08118053;Mundelsheim;450;310;1374;1234;-924
08118054;Murr;2451;2079;2704;2332;-253
08118059;Oberriexingen, Stadt;367;264;1353;1249;-985
08118060;Oberstenfeld;1560;1075;3055;2570;-1495
08118063;Pleidelsheim;2465;2026;2643;2206;-180
08118067;Schwieberdingen;7774;7002;4917;4149;2853
08118068;Sersheim;974;705;2317;2052;-1347
08118070;Steinheim an der Murr, Stadt;1992;1413;5037;4461;-3048
08118071;Tamm;2646;2212;5435;5001;-2789
08118073;Vaihingen an der Enz, Stadt;8012;4580;11661;8234;-3654
08118074;Walheim;414;307;1307;1200;-893
08118076;Sachsenheim, Stadt;3440;2213;7394;6173;-3960
08118077;Ingersheim;914;663;2611;2361;-1698
08118078;Freiberg am Neckar, Stadt;5017;4063;6706;5754;-1691
08118079;Bietigheim-Bissingen, Stadt;24356;17973;17538;11162;6811
08118080;Korntal-Münchingen, Stadt;8424;7072;7636;6293;779
08118081;Remseck am Neckar, Stadt;3524;2433;10595;9506;-7073
08119001;Alfdorf;2956;2224;2849;2118;106
08119003;Allmersbach im Tal;1104;893;1784;1573;-680
08119004;Althütte;448;278;1527;1357;-1079
08119006;Auenwald;842;575;2770;2503;-1928
08119008;Backnang, Stadt;14040;9432;14025;9426;6
08119018;Burgstetten;362;242;1493;1373;-1131
08119020;Fellbach, Stadt;21538;16990;18576;14042;2948
08119024;Großerlach;816;664;881;731;-67
08119037;Kaisersbach;437;299;964;826;-527
08119038;Kirchberg an der Murr;916;696;1500;1280;-584
08119041;Korb;1365;942;4237;3815;-2873
08119042;Leutenbach;1840;1423;4773;4356;-2933
08119044;Murrhardt, Stadt;3421;1638;5180;3399;-1761
08119053;Oppenweiler;1974;1659;1621;1307;352
08119055;Plüderhausen;2262;1626;3686;3052;-1426
08119061;Rudersberg;2330;1408;4415;3500;-2092
08119067;Schorndorf, Stadt;12262;8040;15099;10881;-2841
08119068;Schwaikheim;1532;1122;3948;3538;-2416
08119069;Spiegelberg;157;96;860;799;-703
08119075;Sulzbach an der Murr;1929;1428;2020;1521;-93
08119076;Urbach;3148;2563;3536;2950;-387
08119079;Waiblingen, Stadt;24437;18486;21680;15743;2743
08119083;Weissach im Tal;942;658;2681;2398;-1740
08119084;Welzheim, Stadt;2860;1511;4323;2973;-1462
08119085;Winnenden, Stadt;12861;9747;11216;8106;1641
08119086;Winterbach;3324;2763;2975;2418;345
08119087;Aspach;2016;1372;3261;2619;-1247
08119089;Berglen;586;410;2464;2288;-1878
08119090;Remshalden;3325;2589;5547;4810;-2221
08119091;Weinstadt, Stadt;7082;5099;10245;8267;-3168
08119093;Kernen im Remstal;6191;4780;6315;4908;-128
08121000;Heilbronn, Stadtkreis;67186;42637;47844;23323;19314
08125001;Abstatt;4969;4633;1919;1583;3050
08125005;Bad Friedrichshall, Stadt;4888;3594;8434;7138;-3544
08125006;Bad Rappenau, Stadt;5274;3190;8717;6636;-3446
08125007;Bad Wimpfen, Stadt;1945;1445;2750;2251;-806
08125008;Beilstein, Stadt;977;663;2320;2009;-1346
08125013;Brackenheim, Stadt;4628;3026;6428;4826;-1800
08125017;Cleebronn;854;659;1202;1008;-349
08125021;Eberstadt;413;305;1343;1235;-930
08125024;Ellhofen;1374;1242;1459;1327;-85
08125026;Eppingen, Stadt;6296;3309;8860;5876;-2567
08125027;Erlenbach;1112;851;2236;1976;-1125
08125030;Flein;1100;875;2579;2355;-1480
08125034;Gemmingen;1320;999;2028;1708;-709
08125038;Güglingen, Stadt;3597;2653;2540;1598;1055
08125039;Gundelsheim, Stadt;1260;829;3022;2590;-1761
08125046;Ilsfeld;4122;3199;3969;3049;150
08125047;Ittlingen;503;357;958;812;-455
08125048;Jagsthausen;577;363;794;581;-218
08125049;Kirchardt;1478;1011;2283;1817;-806
08125056;Lauffen am Neckar, Stadt;3137;2231;4503;3597;-1366
08125057;Lehrensteinsfeld;260;199;886;826;-627
08125058;Leingarten;3893;2950;4738;3796;-846
08125059;Löwenstein, Stadt;1648;1314;1376;1042;272
08125061;Massenbachhausen;711;560;1502;1353;-793
08125063;Möckmühl, Stadt;2813;1898;3340;2427;-529
08125065;Neckarsulm, Stadt;37870;32965;11100;6213;26752
08125066;Neckarwestheim;1424;1157;1577;1310;-153
08125068;Neudenau, Stadt;719;401;2135;1817;-1416
08125069;Neuenstadt am Kocher, Stadt;4548;3658;4260;3366;292
08125074;Nordheim;1388;903;3349;2865;-1962
08125078;Oedheim;681;473;2798;2590;-2117
08125079;Offenau;981;831;1115;965;-134
08125081;Pfaffenhofen;458;348;963;853;-505
08125084;Roigheim;320;236;579;494;-258
08125086;Schwaigern, Stadt;4103;2859;4677;3434;-575
08125087;Siegelsbach;828;755;654;581;174
08125094;Talheim;1327;1151;1936;1761;-610
08125096;Untereisesheim;505;399;1732;1627;-1228
08125098;Untergruppenbach;1955;1645;3329;3020;-1375
08125102;Weinsberg, Stadt;4326;3504;4752;3930;-426
08125103;Widdern, Stadt;190;114;801;725;-611
08125107;Wüstenrot;1232;688;2627;2083;-1395
08125108;Zaberfeld;514;342;1665;1493;-1151
08125110;Obersulm;3319;2135;5604;4419;-2284
08125111;Hardthausen am Kocher;1039;826;1830;1615;-789
08125113;Langenbrettach;675;497;1692;1515;-1018
08126011;Bretzfeld;2340;1485;5375;4520;-3035
08126020;Dörzbach;569;394;1099;925;-531
08126028;Forchtenberg, Stadt;1886;1281;2221;1616;-335
08126039;Ingelfingen, Stadt;4332;3566;2445;1680;1886
