GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053041;Groß Grönau;547;478;1185;1116;-638
01053042;Groß Pampau;42;35;66;59;-24
01053043;Groß Sarau;85;74;309;298;-224
01053044;Groß Schenkenberg;60;46;221;207;-161
01053045;Grove;.;.;103;.;.
01053046;Gudow;221;155;595;529;-374
01053047;Gülzow;82;62;504;484;-422
01053048;Güster;164;120;446;402;-282
01053049;Hamfelde;20;15;185;180;-165
01053050;Hamwarde;53;34;382;363;-329
01053051;Harmsdorf;54;50;110;106;-56
01053052;Havekost;.;.;92;.;.
01053053;Hohenhorn;68;61;209;202;-141
01053054;Hollenbek;20;15;151;146;-131
01053056;Hornbek;.;.;73;.;.
01053057;Horst;16;13;80;77;-64
01053058;Juliusburg;.;.;58;.;.
01053059;Kankelau;.;.;82;.;.
01053060;Kasseburg;17;11;238;232;-221
01053061;Kastorf;413;352;519;458;-106
01053062;Kittlitz;15;9;97;91;-82
01053064;Klein Pampau;35;30;262;257;-227
01053066;Klein Zecher;13;5;85;77;-72
01053067;Klempau;40;29;247;236;-207
01053068;Klinkrade;11;8;270;267;-259
01053069;Koberg;66;50;310;294;-244
01053070;Köthel;77;65;129;117;-52
01053071;Kollow;52;45;227;220;-175
01053072;Kröppelshagen-Fahrendorf;83;61;465;443;-382
01053073;Krüzen;33;23;124;114;-91
01053074;Krukow;16;12;47;43;-31
01053075;Krummesse;310;240;927;857;-617
01053076;Kuddewörde;185;158;478;451;-293
01053077;Kühsen;15;10;144;139;-129
01053078;Kulpin;15;12;82;79;-67
01053079;Labenz;47;35;338;326;-291
01053080;Langenlehsten;.;.;60;60;.
01053081;Lankau;13;9;153;149;-140
01053082;Lanze;21;20;84;.;-63
01053083;Lauenburg/Elbe;2656;1776;3451;2572;-796
01053084;Lehmrade;66;57;185;176;-119
01053085;Linau;144;122;527;505;-383
01053086;Lüchow;20;16;138;134;-118
01053087;Lütau;100;78;205;183;-105
01053088;Mechow;.;.;48;.;.
01053089;Möhnsen;81;69;245;233;-164
01053090;Mölln;6193;3717;6076;3601;116
01053091;Mühlenrade;.;.;76;76;.
01053092;Müssen;85;69;414;398;-329
01053093;Mustin;67;60;256;249;-189
01053094;Niendorf bei Berkenthin;.;.;76;.;.
01053095;Niendorf/Stecknitz;10;.;254;.;-244
01053096;Nusse;245;197;374;327;-130
01053097;Panten;43;35;221;213;-178
01053098;Pogeez;84;70;140;126;-56
01053099;Poggensee;.;.;115;112;.
01053100;Ratzeburg;5078;3508;4597;3027;481
01053101;Ritzerau;.;.;122;.;.
01053102;Römnitz;.;.;23;19;.
01053103;Rondeshagen;70;53;282;265;-212
01053104;Roseburg;77;61;207;191;-130
01053105;Sachsenwald;-;-;-;-;-
01053106;Sahms;35;32;156;153;-121
01053107;Salem;49;39;206;196;-157
01053108;Sandesneben;471;380;685;594;-214
01053109;Schiphorst;14;10;246;242;-232
01053110;Schmilau;210;173;204;168;5
01053111;Schnakenbek;46;33;308;295;-262
01053112;Schönberg;153;107;587;541;-434
01053113;Schretstaken;39;29;191;181;-152
01053114;Schürensöhlen;.;.;60;.;.
01053115;Schulendorf;28;21;166;159;-138
01053116;Schwarzenbek;4803;3450;6036;4683;-1233
01053117;Seedorf;74;54;158;138;-84
01053118;Siebenbäumen;24;14;245;235;-221
01053119;Siebeneichen;52;49;92;89;-40
01053120;Sierksrade;.;.;164;.;.
01053121;Sirksfelde;.;.;124;.;.
01053122;Steinhorst;.;.;236;.;.
01053123;Sterley;184;130;367;313;-183
01053124;Stubben;46;40;149;143;-103
01053125;Talkau;28;24;206;202;-178
01053126;Tramm;33;26;133;126;-100
01053127;Walksfelde;.;.;75;.;.
01053128;Wangelau;.;.;56;52;.
01053129;Wentorf bei Hamburg;2330;1924;4446;4040;-2116
01053130;Wentorf (Amt Sandesneben);41;27;277;263;-236
01053131;Wiershop;.;.;82;75;.
01053132;Witzeeze;95;85;318;308;-223
01053133;Wohltorf;155;129;689;663;-534
01053134;Woltersdorf;65;62;119;116;-54
01053135;Worth;.;.;51;43;.
01053136;Ziethen;99;82;358;341;-259
