GENESIS-Tabelle: 14344-01-02-5
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.08.2014;14522020;Augustusburg, Stadt;3979;52,0;2047;905;229;84;73;385;371
31.08.2014;14522030;Bobritzsch;-;-;-;-;-;-;-;-;-
31.08.2014;14522040;Bockelwitz;-;-;-;-;-;-;-;-;-
31.08.2014;14522050;Brand-Erbisdorf, Stadt;8492;45,3;3810;1693;438;89;124;866;600
31.08.2014;14522060;Burgstädt, Stadt;9330;46,5;4287;1990;492;148;189;677;791
31.08.2014;14522070;Claußnitz;2618;53,1;1370;684;184;54;55;197;196
31.08.2014;14522080;Döbeln, Stadt;18397;44,6;8107;3325;1059;219;433;1670;1401
31.08.2014;14522090;Dorfchemnitz;1330;55,6;722;394;59;22;39;59;149
31.08.2014;14522100;Ebersbach;-;-;-;-;-;-;-;-;-
31.08.2014;14522110;Eppendorf;3642;52,1;1871;944;229;38;74;252;334
31.08.2014;14522120;Erlau;2796;54,0;1475;731;143;38;63;256;244
31.08.2014;14522130;Falkenau;-;-;-;-;-;-;-;-;-
31.08.2014;14522140;Flöha, Stadt;9477;49,4;4638;1904;499;123;174;974;964
31.08.2014;14522150;Frankenberg/Sa., Stadt;12434;46,3;5678;2479;606;170;223;1108;1092
31.08.2014;14522160;Frankenstein;-;-;-;-;-;-;-;-;-
31.08.2014;14522170;Frauenstein, Stadt;2473;55,7;1358;638;143;41;70;176;290
