GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
0723304226;Mosbruch;339;42;7;4;0;0;3;3;0;31;25;170;13;0;126;1;0;0;0
0723304228;Nitz;108;12;4;1;0;0;1;1;0;7;6;90;0;0;5;1;0;0;0
0723304230;Oberelz;555;48;7;3;0;0;2;2;0;38;34;252;0;0;252;4;0;0;0
0723304233;Reimerath;254;22;4;2;0;1;1;1;0;16;14;135;0;0;96;1;0;0;0
0723304234;Retterath;550;60;15;7;0;0;5;5;0;39;37;262;0;0;226;2;0;0;0
0723304236;Sassen, Eifel;333;49;13;2;0;1;10;10;0;25;23;155;4;0;128;1;0;0;0
0723304242;Uersfeld;426;60;23;13;1;2;7;6;0;28;23;149;0;0;215;2;0;0;0
0723304243;Ueß;149;15;3;2;0;0;2;2;0;10;7;89;0;0;44;0;0;0;0
0723304244;Welcherath;318;32;5;3;1;0;4;3;0;23;19;149;0;0;134;2;0;0;0
0723305;Obere Kyll, Verbandsgem.;13755;1414;401;161;35;35;211;176;8;759;616;6260;0;14;5926;85;32;39;36
0723305007;Birgel;652;66;22;10;1;1;12;10;0;31;26;350;0;0;222;6;0;8;8
0723305022;Esch b Gerolstein;1017;75;22;11;0;0;15;13;1;38;34;574;0;0;367;1;0;0;0
0723305023;Feusdorf;442;61;21;14;1;0;15;14;0;25;21;280;0;0;101;0;0;0;0
0723305028;Gönnersdorf b Gerolstein;517;69;19;10;0;0;15;14;0;33;26;216;0;14;229;3;0;0;0
0723305035;Jünkerath;1009;188;57;22;12;6;36;33;2;87;63;289;0;0;508;14;0;10;9
0723305041;Lissendorf;1037;117;47;19;5;1;17;16;1;51;38;401;0;0;514;5;0;0;0
0723305214;Hallschlag;1274;120;35;10;4;3;16;10;0;66;58;710;0;0;421;12;0;12;12
0723305219;Kerschenbach;692;41;13;4;0;0;3;3;0;24;21;170;0;0;480;1;0;0;0
0723305232;Ormont;1244;90;23;8;1;3;12;9;0;52;43;523;0;0;602;8;21;0;0
0723305235;Reuth, Eifel;715;61;15;4;0;1;3;3;0;42;34;459;0;0;194;1;0;0;0
0723305237;Scheid;549;36;11;4;0;0;3;3;1;21;18;342;0;0;162;6;0;3;3
0723305239;Schüller;436;41;11;9;0;0;8;6;0;22;17;170;0;0;224;2;0;0;0
0723305240;Stadtkyll;2078;305;73;25;9;16;40;30;2;174;140;789;0;0;963;17;0;2;2
0723305241;Steffeln;2092;144;31;13;0;3;15;10;0;94;77;988;0;0;939;9;10;1;1
0723501;Hermeskeil, Verbandsgem.;14548;1838;563;281;58;42;238;189;7;988;680;4166;0;0;8427;92;0;26;17
0723501005;Bescheid;760;94;16;8;0;1;9;8;0;68;48;242;0;0;419;4;0;1;1
0723501008;Beuren (Hochwald);1850;163;39;23;1;0;14;11;0;109;75;429;0;0;1252;5;0;2;2
0723501014;Damflos;531;46;18;14;0;0;12;11;0;17;13;63;0;0;419;1;0;1;1
0723501030;Geisfeld;887;81;17;12;0;0;10;9;0;53;45;311;0;0;489;5;0;1;1
0723501035;Grimburg;1018;76;19;12;0;1;10;9;0;45;37;283;0;0;653;4;0;2;1
0723501036;Gusenburg;736;114;38;24;1;0;21;19;0;54;35;304;0;0;314;3;0;1;0
0723501045;Hermeskeil;3085;597;249;89;47;27;70;58;3;248;155;781;0;0;1682;15;0;9;4
0723501047;Hinzert-Pölert;485;61;12;7;0;1;5;4;0;42;33;275;0;0;147;2;0;0;0
0723501092;Naurath (Wald);560;61;12;5;0;1;2;2;0;46;34;174;0;0;320;3;0;1;1
0723501093;Neuhütten, Hunsrück;1050;79;28;20;0;0;20;17;0;30;22;111;0;0;860;1;0;0;0
0723501112;Rascheid;805;116;18;11;1;1;7;6;0;90;54;223;0;0;463;2;0;1;0
0723501114;Reinsfeld;1977;281;72;43;6;8;43;24;1;156;106;714;0;0;969;8;0;6;5
0723501153;Züsch;804;68;24;13;0;0;13;11;1;30;23;256;0;0;440;38;0;2;1
0723502;Kell am See, Verbandsgem.;16017;1176;321;159;25;23;263;242;6;563;462;4898;0;0;9877;63;0;4;3
0723502003;Baldringen;176;29;7;5;0;0;6;6;0;16;13;124;0;0;23;1;0;0;0
0723502033;Greimerath b Trier;1212;88;22;15;0;1;30;29;1;34;28;372;0;0;750;2;0;0;0
0723502040;Heddert;490;35;7;5;2;0;9;9;0;18;15;132;0;0;319;3;0;0;0
0723502043;Hentern;615;55;10;6;0;1;12;10;0;32;27;245;0;0;312;3;0;0;0
0723502058;Kell am See;2826;280;87;28;11;11;58;53;1;123;90;571;0;0;1956;18;0;1;1
0723502072;Lampaden;816;70;20;9;0;1;17;16;1;31;29;451;0;0;291;4;0;0;0
0723502081;Mandern;2396;108;29;15;5;0;27;25;0;51;41;508;0;0;1771;8;0;0;0
0723502105;Paschel;430;31;9;5;0;0;7;7;0;14;11;247;0;0;147;5;0;1;0
0723502119;Schillingen;1959;132;36;20;1;2;32;29;1;60;58;469;0;0;1349;9;0;0;0
0723502123;Schömerich;246;19;5;3;0;0;4;4;0;11;9;134;0;0;91;1;0;0;0
0723502140;Vierherrenborn;857;67;19;4;0;0;12;12;0;35;34;716;0;0;72;2;0;0;0
0723502142;Waldweiler;1108;76;22;16;1;0;23;21;0;30;23;291;0;0;739;2;0;0;0
0723502152;Zerf;2887;186;48;29;4;4;27;22;1;107;83;639;0;0;2055;7;0;0;0
0723503;Konz, Verbandsgem.;13022;2138;705;412;74;40;441;412;12;941;692;5115;0;0;5497;213;21;37;25
0723503055;Kanzem;429;83;16;10;0;0;23;21;0;44;28;162;0;0;148;28;6;2;2
0723503068;Konz;4454;995;365;202;51;7;210;195;7;404;297;1573;0;0;1760;109;11;7;5
0723503095;Nittel;1668;182;59;32;0;0;27;26;1;94;70;884;0;0;594;3;0;6;6
0723503096;Oberbillig;536;70;17;14;0;0;14;14;0;38;24;246;0;0;210;6;0;5;0
0723503101;Onsdorf;343;27;7;2;0;0;3;3;0;17;12;231;0;0;84;1;0;0;0
0723503106;Pellingen;722;93;27;18;1;2;24;22;0;40;34;387;0;0;241;1;0;0;0
0723503132;Tawern;1012;130;53;41;3;2;40;39;1;34;29;431;0;0;446;3;0;1;0
0723503133;Temmels;662;62;17;12;1;0;10;10;0;34;20;361;0;0;236;1;0;2;1
0723503143;Wasserliesch;759;175;63;33;9;20;39;37;1;53;33;165;0;0;382;25;2;10;7
0723503144;Wawern, Saar;527;68;18;12;2;1;13;11;0;37;29;203;0;0;251;3;1;0;0
0723503146;Wellen, Mosel;309;71;27;14;4;7;9;8;0;27;16;123;0;0;111;1;1;1;1
0723503148;Wiltingen;1601;183;36;23;2;0;28;26;1;118;100;349;0;0;1035;31;0;3;2
0723504;Ruwer, Verbandsgem.;12659;1430;448;295;15;50;291;275;6;634;521;4193;0;0;6949;75;1;11;6
0723504010;Bonerath;425;27;9;7;0;0;3;3;0;15;13;174;0;0;224;1;0;0;0
0723504021;Farschweiler;745;71;18;12;0;1;14;13;0;37;34;236;0;0;438;1;0;0;0
0723504037;Gusterath;441;98;43;34;3;1;19;19;1;34;28;238;0;0;103;2;0;0;0
0723504038;Gutweiler;251;45;14;10;1;1;15;13;0;16;12;83;0;0;118;4;0;0;0
0723504044;Herl;283;37;8;5;0;0;9;9;0;21;20;129;0;0;116;1;0;0;0
0723504046;Hinzenburg;287;17;3;2;0;0;3;3;0;11;9;70;0;0;198;2;0;0;0
0723504050;Holzerath;679;36;10;7;0;0;14;14;0;12;11;105;0;0;536;1;0;0;0
0723504056;Kasel;453;79;25;20;0;1;16;14;0;37;34;167;0;0;204;3;0;1;0
0723504070;Korlingen;208;44;17;13;1;1;9;9;0;17;12;133;0;0;29;0;1;0;0
0723504080;Lorscheid;509;65;14;10;1;2;15;15;0;34;32;237;0;0;205;2;0;0;0
0723504085;Mertesdorf;647;177;68;25;0;40;22;20;1;46;34;193;0;0;272;2;0;2;1
0723504090;Morscheid;548;66;26;18;0;0;14;13;0;26;21;245;0;0;234;2;0;1;1
0723504100;Ollmuth;392;33;6;3;0;0;6;6;0;21;18;287;0;0;68;2;0;0;0
0723504103;Osburg;3292;185;62;38;7;1;31;29;1;90;69;474;0;0;2609;23;0;1;0
0723504107;Pluwig;487;103;33;24;1;1;33;32;1;36;27;301;0;0;79;3;0;0;0
0723504116;Riveris;210;28;9;7;0;0;7;7;0;12;12;36;0;0;136;9;0;1;1
0723504124;Schöndorf, Ruwer;1003;63;19;14;0;0;17;16;1;27;23;357;0;0;577;5;0;0;0
0723504129;Sommerau;104;7;2;1;0;0;2;2;0;3;3;43;0;0;50;4;0;0;0
0723504135;Thomm;449;80;25;19;0;0;11;10;0;43;33;213;0;0;154;1;0;1;0
0723504141;Waldrach;1246;168;37;26;1;2;32;30;0;96;77;471;0;0;600;5;0;1;1
0723505;Saarburg, Verbandsgem.;19912;2322;702;387;46;30;515;459;10;1065;779;9309;0;0;7955;262;39;25;18
0723505002;Ayl;758;144;37;24;3;4;32;30;1;71;59;357;0;0;235;23;0;0;0
0723505025;Fisch;687;58;21;8;0;0;9;8;0;29;22;475;0;0;151;2;0;0;0
0723505028;Freudenburg;1104;121;47;33;2;6;35;34;1;32;28;535;0;0;442;5;1;1;0
0723505052;Irsch;1522;126;33;25;0;1;30;28;0;61;57;488;0;0;904;4;0;0;0
0723505057;Kastel-Staadt;526;44;11;9;0;2;12;12;1;19;14;167;0;0;305;7;0;2;1
0723505062;Kirf;1914;174;34;16;1;2;23;22;1;114;99;1370;0;0;357;13;0;0;0
0723505082;Mannebach b Saarburg, Saar;603;40;12;6;0;0;8;8;0;20;12;288;0;0;272;2;0;1;1
0723505098;Ockfen;246;55;12;8;0;0;12;11;0;31;22;140;0;0;41;8;0;1;1
0723505104;Palzem;2129;204;54;29;3;0;41;31;1;108;71;1365;0;0;538;8;13;1;1
0723505118;Saarburg;2053;528;226;88;30;8;128;100;3;163;106;554;0;0;928;39;0;3;3
0723505122;Schoden;514;69;15;12;0;1;16;15;1;36;26;143;0;0;285;17;0;0;0
0723505126;Serrig;1763;189;43;30;2;0;44;42;0;102;56;387;0;0;1131;36;13;8;6
0723505131;Taben-Rodt;1622;131;25;14;4;4;27;26;0;75;44;225;0;0;1170;82;13;0;0
0723505136;Trassem;754;76;24;18;0;0;29;27;0;23;17;220;0;0;451;6;0;0;0
0723505149;Wincheringen;1873;233;71;48;1;1;47;46;0;113;87;1250;0;0;382;5;0;3;1
0723505154;Merzkirchen;1846;130;38;18;0;0;23;20;1;68;59;1345;0;0;363;7;0;2;2
0723506;Schweich an der Römischen Weinstraße, Verbandsgem.;16443;2711;743;352;81;125;509;377;8;1327;956;5403;0;0;7782;509;7;31;21
0723506004;Bekond;381;79;28;18;1;1;18;17;0;33;30;268;0;0;32;1;0;1;0
0723506015;Detzem;556;68;14;7;0;3;8;7;0;42;28;183;0;0;280;24;0;1;0
0723506019;Ensch;683;130;12;5;0;0;70;6;0;48;40;202;0;0;334;17;0;0;0
0723506022;Fell;1573;207;46;32;2;17;36;35;1;107;94;429;0;0;926;12;0;0;0
0723506026;Föhren;979;234;121;41;28;1;42;40;1;70;46;336;0;0;401;6;0;3;1
0723506060;Kenn;390;174;68;38;12;4;24;21;1;77;46;93;0;0;118;1;0;3;2
0723506063;Klüsserath;1171;138;26;9;2;4;26;12;0;82;72;499;0;0;495;34;3;3;3
0723506067;Köwerich;231;48;10;5;1;3;7;7;0;28;20;152;0;0;14;16;1;1;1
0723506074;Leiwen;1271;221;69;17;3;11;45;38;1;96;80;373;0;0;638;37;0;2;2
0723506077;Longen;97;10;2;1;0;0;1;1;0;7;6;51;0;0;26;11;0;0;0
0723506078;Longuich;882;204;43;15;8;34;26;25;1;100;60;267;0;0;370;41;0;0;0
0723506083;Mehring, Mosel;2230;287;46;21;1;31;34;29;0;176;111;716;0;0;1141;81;0;5;3
0723506091;Naurath (Eifel);518;35;8;7;0;0;9;9;0;16;14;122;0;0;361;0;0;0;0
0723506108;Pölich;321;47;9;4;0;1;12;6;0;25;20;111;0;0;111;50;0;1;1
0723506115;Riol;630;150;28;19;1;9;39;29;0;73;45;200;0;0;226;50;3;2;0
0723506120;Schleich;160;25;6;3;0;0;4;3;0;15;10;65;0;0;62;7;0;0;0
0723506125;Schweich;3109;513;169;100;21;5;94;83;1;243;167;825;0;0;1712;57;0;3;1
0723506134;Thörnich;249;40;9;2;0;0;5;5;0;27;19;166;0;0;20;19;0;3;3
0723506207;Trittenheim;1010;101;30;9;1;0;8;6;0;62;49;344;0;0;514;46;0;3;3
0723507;Trier-Land, Verbandsgem.;17548;2209;664;336;91;23;460;424;8;1053;809;9072;0;0;6053;133;46;36;29
0723507001;Aach b Trier;695;96;25;16;0;6;22;21;0;43;35;274;0;0;322;1;0;2;2
0723507027;Franzenheim;646;43;14;7;0;1;6;6;0;22;20;333;0;0;269;1;0;0;0
0723507048;Hockweiler;208;23;7;5;0;0;8;8;0;8;7;117;0;0;66;1;0;1;1
0723507051;Igel;730;120;41;31;0;0;29;25;1;49;32;370;0;0;215;24;0;2;2
0723507069;Kordel;1660;161;51;27;11;2;34;32;1;73;48;219;0;0;1251;26;3;1;1
0723507073;Langsur;1191;185;53;25;5;2;31;26;1;98;63;705;0;0;260;12;13;17;15
0723507094;Newel;1664;235;62;41;1;1;57;54;1;114;96;1082;0;0;342;4;0;1;0
0723507111;Ralingen;2764;331;83;40;14;2;70;63;1;175;143;1603;0;0;789;14;21;7;7
0723507137;Trierweiler;1842;372;152;53;44;3;67;60;1;148;101;1074;0;0;376;9;9;2;0
0723507151;Zemmer;2438;294;91;55;8;4;76;72;1;121;97;973;0;0;1152;17;0;2;2
0723507501;Welschbillig;3708;351;85;37;5;1;60;57;1;203;167;2321;0;0;1011;23;0;2;0
07311000;Frankenthal (Pfalz), krsfr. Stadt;4376;1597;877;412;127;20;202;152;22;477;372;2581;0;0;95;87;0;15;3
07312000;Kaiserslautern, krsfr. Stadt;13974;3935;2359;1065;376;60;336;264;64;1115;815;1233;0;0;8702;81;0;23;7
07313000;Landau in der Pfalz, krsfr. Stadt;8296;1968;988;471;146;40;210;181;14;716;566;3621;0;0;2633;41;0;33;24
07314000;Ludwigshafen am Rhein, krsfr. Stadt;7755;4745;2723;1006;978;122;692;560;54;1154;846;2266;0;0;307;405;7;25;9
07315000;Mainz, krsfr. Stadt;9774;4829;2736;1381;344;54;588;482;73;1379;1071;4112;0;0;357;342;73;61;27
07316000;Neustadt an der Weinstraße, krsfr. Stadt;11710;2295;1122;619;96;49;354;243;19;751;623;4168;0;0;5132;88;1;26;10
07317000;Pirmasens, krsfr. Stadt;6137;1962;949;476;139;48;366;333;39;558;477;1720;0;0;2411;28;1;15;5
07318000;Speyer, krsfr. Stadt;4260;1903;1115;416;278;53;233;172;18;485;352;824;0;0;986;375;96;75;38
07319000;Worms, krsfr. Stadt;10873;3247;1532;734;340;70;486;411;39;1120;884;6658;0;0;416;474;22;56;8
07320000;Zweibrücken, krsfr. Stadt;7064;1975;1097;541;168;89;192;157;19;577;461;3307;0;0;1694;66;3;20;11
0733100003;Alzey, verbandsfr. Gemeinde;3521;954;453;218;55;17;83;68;6;393;276;2448;0;0;87;16;0;16;7
0733100055;Osthofen, verbandsfr. Gemeinde;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733101;Alzey-Land, Verbandsgem.;17389;2251;705;370;40;40;253;209;16;1237;977;13654;0;0;1345;100;0;40;22
0733101001;Albig;1024;212;47;25;4;1;15;13;1;147;93;772;0;0;22;10;0;9;0
0733101005;Bechenheim;255;37;13;9;0;0;5;4;0;19;17;192;0;0;24;2;0;0;0
0733101007;Bechtolsheim;1066;122;49;27;2;0;14;11;1;58;51;916;0;0;17;10;0;0;0
0733101008;Bermersheim vor der Höhe;287;62;11;5;1;0;4;3;0;47;27;218;0;0;3;3;0;0;0
0733101010;Biebelnheim;620;71;22;9;2;0;6;5;0;42;34;540;0;0;3;5;0;0;0
0733101012;Bornheim, Rheinhessen;445;69;24;12;5;2;7;6;1;36;29;346;0;0;27;2;0;2;0
0733101014;Dintesheim;196;29;7;3;0;0;1;1;0;21;15;165;0;0;0;0;0;1;0
0733101020;Eppelsheim;557;105;30;22;0;1;21;20;1;51;38;439;0;0;9;3;0;2;1
0733101021;Erbes-Büdesheim;1016;133;55;22;6;2;10;8;1;65;60;797;0;0;78;4;0;4;2
0733101022;Esselborn;410;44;9;6;0;1;3;3;1;30;22;361;0;0;3;1;0;0;0
0733101024;Flomborn;794;99;31;20;1;0;10;10;1;57;42;684;0;0;6;3;0;1;1
0733101025;Flonheim;1495;192;70;35;4;3;34;29;2;83;75;1246;0;0;40;8;0;9;9
0733101026;Framersheim;931;132;40;19;1;20;18;15;1;53;48;780;0;0;12;7;0;1;0
0733101027;Freimersheim, Rheinhessen;641;86;20;11;1;0;6;6;1;59;39;537;0;0;12;4;0;2;1
0733101031;Gau-Heppenheim;553;52;15;7;0;2;5;4;0;30;27;494;0;0;4;2;0;0;0
0733101032;Gau-Odernheim;1827;224;91;48;6;2;30;27;2;100;88;1578;0;0;12;12;0;1;1
0733101042;Kettenheim;347;54;13;5;0;1;5;4;0;35;21;289;0;0;1;3;0;0;0
0733101043;Lonsheim;456;81;20;8;1;0;6;3;1;55;34;345;0;0;26;3;0;2;0
0733101044;Mauchenheim;687;86;30;16;1;0;5;4;1;51;43;589;0;0;8;3;0;1;1
0733101050;Nack;556;65;23;11;2;0;13;5;0;29;26;435;0;0;51;3;0;1;1
0733101051;Nieder-Wiesen;489;53;15;11;0;1;7;5;1;29;27;281;0;0;150;4;0;2;1
0733101052;Ober-Flörsheim;1024;106;36;19;1;1;12;11;1;56;51;911;0;0;5;3;0;1;0
0733101053;Offenheim;1388;88;20;10;1;0;7;4;0;60;53;463;0;0;833;4;0;0;0
0733101067;Wahlheim;327;49;15;10;0;2;8;7;0;23;18;276;0;0;1;1;0;0;0
0733102;Eich, Verbandsgem.;6847;955;381;196;43;10;178;122;6;381;328;5033;0;0;232;562;39;26;9
0733102002;Alsheim;1554;189;69;41;5;1;34;30;2;84;72;1323;0;0;24;12;0;6;5
0733102018;Eich;2102;272;124;55;4;5;30;25;1;112;102;1528;0;0;66;222;10;5;0
0733102034;Gimbsheim;1762;239;96;45;27;3;43;37;2;94;87;1219;0;0;90;188;18;8;0
0733102038;Hamm am Rhein;789;164;54;33;6;1;57;18;1;52;36;429;0;0;47;134;11;4;0
0733102045;Mettenheim, Rheinhessen;641;91;38;21;1;0;14;12;1;39;31;534;0;0;5;7;0;3;3
0733103;Monsheim, Verbandsgem.;4553;759;300;168;26;7;83;74;6;364;286;3662;0;0;85;28;12;7;5
0733103023;Flörsheim-Dalsheim;1271;205;82;45;9;3;20;18;2;98;77;1049;0;0;12;3;0;1;1
0733103041;Hohen-Sülzen;378;61;22;12;0;0;7;6;1;32;24;304;0;0;10;2;0;0;0
0733103046;Mölsheim;462;50;19;12;0;0;5;5;1;25;24;404;0;0;6;1;0;0;0
0733103047;Mörstadt;562;83;28;15;1;1;8;8;1;45;38;455;0;0;16;2;5;1;0
0733103048;Monsheim;961;201;81;42;8;1;18;15;1;100;70;716;0;0;23;11;7;4;3
0733103054;Offstein;564;97;47;28;7;0;14;12;1;35;31;456;0;0;7;4;0;1;0
0733103066;Wachenheim;355;63;20;13;0;2;12;10;0;29;23;277;0;0;10;5;0;0;0
0733104;Westhofen, Verbandsgem.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104006;Bechtheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104009;Bermersheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104011;Hochborn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104015;Dittelsheim-Heßloch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104028;Frettenheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104036;Gundersheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104037;Gundheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104039;Hangen-Weisheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104049;Monzernheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733104071;Westhofen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0733105;Wöllstein, Verbandsgem.;6144;912;377;182;55;13;83;71;5;433;385;4036;0;0;1079;43;17;57;55
0733105017;Eckelsheim;492;51;15;7;0;1;6;5;1;28;26;421;0;0;3;2;14;1;1
0733105030;Gau-Bickelheim;799;178;71;29;10;3;11;9;1;92;71;586;0;0;22;12;0;0;0
0733105035;Gumbsheim;334;40;15;10;0;0;4;4;0;21;21;290;0;0;1;2;0;2;1
0733105060;Siefersheim;628;81;31;19;0;0;5;4;0;45;42;471;0;0;43;3;0;30;29
0733105062;Stein-Bockenheim;555;59;20;12;1;0;7;6;1;32;30;329;0;0;164;2;0;0;0
0733105070;Wendelsheim;1256;144;47;26;4;1;12;11;1;82;72;571;0;0;530;9;0;3;3
0733105072;Wöllstein;1200;265;147;64;38;1;26;21;1;89;84;874;0;0;30;10;4;18;17
0733105075;Wonsheim;879;94;31;14;1;7;12;11;1;44;39;494;0;0;285;2;0;4;4
0733106;Wörrstadt, Verbandsgem.;11264;1796;720;398;37;15;191;168;13;856;717;9211;0;0;181;60;0;16;8
0733106004;Armsheim;1005;179;60;37;1;0;19;16;1;99;77;796;0;0;14;15;0;1;0
0733106019;Ensheim;393;48;16;8;0;1;4;4;1;26;23;331;0;0;10;3;0;1;0
0733106029;Gabsheim;810;69;19;11;0;1;6;5;1;42;39;728;0;0;9;3;0;1;1
0733106033;Gau-Weinheim;391;53;17;9;0;0;5;4;0;31;28;329;0;0;6;3;0;0;0
0733106056;Partenheim;842;105;34;23;0;0;15;14;1;56;51;723;0;0;10;3;0;0;0
0733106058;Saulheim;1894;374;165;98;4;1;41;35;3;163;131;1485;0;0;25;8;0;3;2
0733106059;Schornsheim;891;101;40;25;1;1;9;7;1;50;44;772;0;0;9;5;0;4;3
0733106061;Spiesheim;731;111;30;14;0;1;8;6;1;71;53;610;0;0;6;1;0;2;0
0733106063;Sulzheim, Rheinhessen;607;77;25;15;0;0;5;5;1;45;40;515;0;0;12;3;0;1;0
0733106064;Udenheim;797;84;29;18;0;1;4;3;1;48;45;699;0;0;11;3;0;0;0
0733106065;Vendersheim;417;47;16;8;0;0;6;6;0;24;22;362;0;0;7;1;0;0;0
0733106068;Wallertheim;810;120;43;25;2;1;18;17;1;58;48;666;0;0;16;6;0;2;0
0733106073;Wörrstadt;1675;427;225;108;26;6;51;46;2;143;117;1195;0;0;48;5;0;0;0
0733107;Wonnegau;9095;1290;494;287;33;11;152;139;11;623;509;7594;0;0;123;56;0;32;12
0733107006;Bechtheim;1334;154;45;24;2;0;17;16;1;91;76;1154;0;0;15;9;0;1;1
0733107009;Bermersheim;232;29;11;5;0;1;2;2;0;15;11;202;0;0;1;0;0;0;0
0733107011;Hochborn;356;36;13;7;0;1;6;6;0;15;13;319;0;0;1;0;0;0;0
0733107015;Dittelsheim-Heßloch;1384;143;56;31;1;3;23;21;1;61;55;1210;0;0;26;5;0;1;1
0733107028;Frettenheim;274;26;8;5;0;0;2;2;0;16;13;246;0;0;1;1;0;0;0
0733107036;Gundersheim;863;156;51;28;6;0;20;19;1;84;59;675;0;0;26;4;0;1;1
0733107037;Gundheim;461;73;30;16;3;0;6;4;0;37;29;383;0;0;2;1;0;2;0
0733107039;Hangen-Weisheim;460;51;13;7;0;1;6;5;0;31;26;396;0;0;9;3;0;0;0
0733107049;Monzernheim;395;47;18;9;0;0;7;6;1;21;20;343;0;0;4;2;0;0;0
0733107055;Osthofen;1863;356;166;104;15;3;44;39;3;139;116;1459;0;0;20;20;0;8;8
0733107071;Westhofen;1473;221;83;49;6;1;20;18;2;115;92;1206;0;0;18;9;0;19;1
0733200002;Bad Dürkheim, verbandsfr. Gemeinde;10267;969;505;244;35;18;103;87;5;338;288;1354;0;0;7882;44;1;16;8
0733200024;Grünstadt, verbandsfr. Gemeinde;1809;568;324;155;36;8;51;42;5;180;145;873;0;0;348;4;0;17;6
0733200025;Haßloch, verbandsfr. Gemeinde;3995;937;487;281;42;12;156;107;11;270;236;1473;0;0;1521;43;0;21;13
0733201;Deidesheim, Verbandsgem.;5703;624;268;156;8;2;54;39;3;297;260;2904;0;0;2117;47;0;11;4
0733201009;Deidesheim;2653;198;75;42;3;1;15;9;1;107;91;627;0;0;1810;15;0;3;0
0733201017;Forst an der Weinstraße;359;62;26;13;1;0;6;4;0;30;25;194;0;0;89;8;0;4;4
0733201035;Meckenheim, Pfalz;1506;184;83;51;1;0;17;15;1;83;76;1307;0;0;8;7;0;0;0
0733201039;Niederkirchen bei Deidesheim;378;90;52;29;2;0;11;7;1;26;25;282;0;0;1;5;0;0;0
0733201043;Ruppertsberg;807;89;32;21;2;0;6;4;1;49;42;495;0;0;208;12;0;3;0
0733202;Freinsheim, Verbandsgem.;6071;883;398;248;12;6;166;84;5;308;267;2802;0;0;2338;27;2;19;4
0733202005;Bobenheim am Berg;633;54;31;22;0;0;4;4;0;18;17;111;0;0;467;0;0;1;0
0733202008;Dackenheim;332;104;14;8;0;0;73;2;0;17;13;150;0;0;77;1;0;0;0
0733202015;Erpolzheim;360;67;35;23;2;1;11;10;0;20;15;280;0;0;8;4;0;0;0
0733202019;Freinsheim;1360;224;106;62;4;2;28;24;1;88;75;680;0;0;440;7;0;9;2
0733202026;Herxheim am Berg;435;47;20;9;1;0;2;2;0;25;21;206;0;0;180;2;0;0;0
0733202028;Kallstadt;658;84;34;18;1;0;7;6;0;42;39;252;0;0;312;4;2;5;1
0733202049;Weisenheim am Berg;920;101;54;37;1;2;11;9;1;34;31;305;0;0;510;1;0;3;0
0733202050;Weisenheim am Sand;1372;202;105;69;2;2;31;27;1;63;57;817;0;0;344;7;0;2;0
0733203;Grünstadt-Land, Verbandsgem.;10486;1583;626;354;80;90;167;137;10;690;575;7507;0;0;1302;53;24;17;11
0733203003;Battenberg (Pfalz);545;37;15;12;0;1;7;7;0;13;12;116;0;0;391;0;0;1;0
