GENESIS-Tabelle: 14338-01-02-5
Landtagswahlen: Baden-Württemberg - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Baden-Württemberg;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;08117018;Ebersbach an der Fils, Stadt;10697;69,5;6272;1429;1032;1946;530;98;1237
13.03.2016;08117019;Eislingen/Fils, Stadt;13397;61,7;7322;1740;1168;1799;515;197;1903
13.03.2016;08117020;Eschenbach;1690;72,5;1033;277;123;320;65;23;225
13.03.2016;08117023;Gammelshausen;1106;74,2;705;174;114;216;58;8;135
13.03.2016;08117024;Geislingen an der Steige, Stadt;16836;61,5;8889;1984;2056;2282;438;308;1821
13.03.2016;08117025;Gingen an der Fils;3153;71,9;1882;555;320;476;143;28;360
13.03.2016;08117026;Göppingen, Stadt;37958;59,7;19623;4202;2926;5780;1590;493;4632
13.03.2016;08117028;Gruibingen;1619;68,7;906;217;138;278;88;8;177
13.03.2016;08117029;Hattenhofen;2269;75,1;1417;384;182;400;113;21;317
13.03.2016;08117030;Heiningen;3880;68,5;2232;555;356;680;171;26;444
13.03.2016;08117031;Hohenstadt;587;75,6;383;131;34;113;24;9;72
13.03.2016;08117033;Kuchen;4082;67,5;2287;549;464;636;133;52;453
13.03.2016;08117035;Mühlhausen im Täle;758;70,1;446;125;44;129;29;6;113
13.03.2016;08117037;Ottenbach;1913;75,4;1215;446;142;281;96;13;237
13.03.2016;08117038;Rechberghausen;4211;66,7;2242;592;304;693;168;30;455
13.03.2016;08117042;Salach;5375;66,6;3068;915;543;687;234;101;588
13.03.2016;08117043;Schlat;1347;75,9;831;258;105;210;91;7;160
13.03.2016;08117044;Schlierbach;2821;71,6;1643;439;187;523;142;20;332
13.03.2016;08117049;Süßen, Stadt;6830;66,5;3873;935;670;1106;315;90;757
13.03.2016;08117051;Uhingen, Stadt;9907;66,6;5722;1268;857;1656;443;115;1383
13.03.2016;08117053;Wäschenbeuren;3043;72,5;1835;545;249;524;128;30;359
13.03.2016;08117055;Wangen;2437;75,6;1519;337;256;467;130;19;310
13.03.2016;08117058;Wiesensteig, Stadt;1490;64,2;759;228;96;214;54;11;156
13.03.2016;08117060;Zell unter Aichelberg;2418;76,0;1461;355;146;454;144;26;336
13.03.2016;08117061;Lauterstein, Stadt;1970;68,5;1100;376;122;284;88;16;214
13.03.2016;08118001;Affalterbach;3342;73,8;1998;593;255;597;177;30;346
13.03.2016;08118003;Asperg, Stadt;8943;69,8;5023;1190;614;1711;435;158;915
13.03.2016;08118006;Benningen am Neckar;4449;72,8;2711;654;391;902;226;77;461
13.03.2016;08118007;Besigheim, Stadt;8644;69,7;5122;1279;628;1885;400;134;796
13.03.2016;08118010;Bönnigheim, Stadt;5145;68,7;2908;678;381;1010;220;94;525
13.03.2016;08118011;Ditzingen, Stadt;16609;71,7;9665;2780;1062;3263;784;217;1559
13.03.2016;08118012;Eberdingen;4691;74,7;2936;784;298;919;272;64;599
13.03.2016;08118014;Erdmannhausen;3614;73,2;2197;540;289;747;173;61;387
13.03.2016;08118015;Erligheim;2001;72,0;1219;344;141;375;108;25;226
13.03.2016;08118016;Freudental;1803;73,4;1085;235;178;353;83;20;216
13.03.2016;08118018;Gemmrigheim;2648;67,0;1482;433;175;362;157;31;324
13.03.2016;08118019;Gerlingen, Stadt;13735;73,5;7888;2038;912;2817;793;153;1175
13.03.2016;08118021;Großbottwar, Stadt;5841;71,6;3469;1060;424;985;299;73;628
13.03.2016;08118027;Hemmingen;5290;70,6;3104;814;441;925;249;64;611
13.03.2016;08118028;Hessigheim;1654;72,0;1014;372;90;238;79;12;223
13.03.2016;08118040;Kirchheim am Neckar;3417;63,1;1784;389;233;606;167;51;338
13.03.2016;08118046;Kornwestheim, Stadt;21062;64,5;11316;2718;1679;3343;947;366;2263
13.03.2016;08118047;Löchgau;3941;74,9;2405;578;308;822;190;47;460
13.03.2016;08118048;Ludwigsburg, Stadt;59442;65,2;31972;6989;4217;11476;2542;1109;5639
13.03.2016;08118049;Marbach am Neckar, Stadt;10800;72,0;6505;1570;891;2270;523;209;1042
13.03.2016;08118050;Markgröningen, Stadt;9616;68,5;5415;1312;666;1940;379;120;998
13.03.2016;08118051;Möglingen;7577;66,7;4154;972;618;1254;303;109;898
13.03.2016;08118053;Mundelsheim;2400;74,1;1454;523;148;367;153;34;229
13.03.2016;08118054;Murr;4596;73,0;2724;772;346;786;207;67;546
13.03.2016;08118059;Oberriexingen, Stadt;2393;74,1;1444;373;160;486;132;25;268
13.03.2016;08118060;Oberstenfeld;5519;73,5;3414;1023;378;958;351;56;648
13.03.2016;08118063;Pleidelsheim;4165;67,8;2220;542;295;749;171;52;411
13.03.2016;08118067;Schwieberdingen;7782;70,5;4417;1126;528;1495;391;73;804
13.03.2016;08118068;Sersheim;3905;70,3;2349;626;303;748;222;44;406
13.03.2016;08118070;Steinheim an der Murr, Stadt;8765;72,4;5334;1456;684;1629;484;118;963
13.03.2016;08118071;Tamm;9270;72,7;5669;1333;700;1829;467;84;1256
13.03.2016;08118073;Vaihingen an der Enz, Stadt;20034;72,8;11906;3263;1278;3711;1207;324;2123
13.03.2016;08118074;Walheim;2298;67,7;1255;333;162;422;97;25;216
13.03.2016;08118076;Sachsenheim, Stadt;12648;69,8;7502;1896;868;2537;533;136;1532
13.03.2016;08118077;Ingersheim;4368;72,2;2618;654;365;861;221;41;476
13.03.2016;08118078;Freiberg am Neckar, Stadt;11537;72,0;6861;1697;896;2403;556;148;1161
13.03.2016;08118079;Bietigheim-Bissingen, Stadt;28872;66,7;16243;3596;2312;5318;1565;457;2995
13.03.2016;08118080;Korntal-Münchingen, Stadt;12704;74,2;7499;2155;980;2495;613;171;1085
13.03.2016;08118081;Remseck am Neckar, Stadt;17549;70,8;10352;2399;1266;3272;1131;258;2026
13.03.2016;08119001;Alfdorf;5391;71,4;3383;1036;372;731;280;65;899
13.03.2016;08119003;Allmersbach im Tal;3596;71,6;2195;593;393;450;160;30;569
13.03.2016;08119004;Althütte;3197;74,1;1963;571;273;396;140;57;526
13.03.2016;08119006;Auenwald;5337;72,6;3303;948;509;663;285;62;836
13.03.2016;08119008;Backnang, Stadt;24145;66,2;13625;3477;2553;3092;993;379;3131
13.03.2016;08119018;Burgstetten;2699;71,7;1611;406;236;451;111;31;376
13.03.2016;08119020;Fellbach, Stadt;29173;69,7;16676;4434;2354;4706;1892;503;2787
13.03.2016;08119024;Großerlach;1990;59,8;1017;264;122;210;78;27;316
13.03.2016;08119037;Kaisersbach;1976;70,6;1207;378;134;239;115;16;325
13.03.2016;08119038;Kirchberg an der Murr;2751;74,2;1688;505;201;372;128;22;460
13.03.2016;08119041;Korb;7634;72,9;4573;1406;554;1162;558;82;811
13.03.2016;08119042;Leutenbach;8295;70,8;4943;1224;657;1488;476;118;980
13.03.2016;08119044;Murrhardt, Stadt;9739;61,5;5059;1223;1024;1089;295;129;1299
13.03.2016;08119053;Oppenweiler;3066;74,2;1882;696;271;421;119;43;332
13.03.2016;08119055;Plüderhausen;6747;66,7;3825;1040;528;915;415;71;856
13.03.2016;08119061;Rudersberg;8415;69,7;5067;1272;487;1190;599;113;1406
13.03.2016;08119067;Schorndorf, Stadt;28213;67,6;16252;3953;2546;4230;1668;417;3438
