GENESIS-Tabelle: 46241-01-03-5-B
Straßenverkehrsunfälle, verunglückte Personen;;;;;;;
- Jahressumme - regionale Ebenen;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;
2015;;;;;;;
;;Unfälle (insgesamt);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i. e. S.;Sons.Sachschadensunf.unter d.Einfl.berausch.Mittel;Getötete Personen;Verletzte Personen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053078;Kulpin;0;0;0;0;0;0
01053079;Labenz;2;2;0;0;0;3
01053080;Langenlehsten;1;1;0;0;0;1
01053081;Lankau;5;4;1;0;0;8
01053082;Lanze;0;0;0;0;0;0
01053083;Lauenburg/Elbe;48;39;7;2;0;46
01053084;Lehmrade;2;2;0;0;0;2
01053085;Linau;5;5;0;0;0;7
01053086;Lüchow;3;3;0;0;0;4
01053087;Lütau;1;1;0;0;0;1
01053088;Mechow;1;1;0;0;0;1
01053089;Möhnsen;7;4;3;0;1;5
01053090;Mölln;80;62;13;5;0;70
01053091;Mühlenrade;1;0;1;0;0;0
01053092;Müssen;3;3;0;0;0;3
01053093;Mustin;2;2;0;0;0;2
01053094;Niendorf bei Berkenthin;0;0;0;0;0;0
01053095;Niendorf/Stecknitz;2;2;0;0;0;3
01053096;Nusse;1;1;0;0;0;1
01053097;Panten;4;4;0;0;0;4
01053098;Pogeez;6;3;3;0;0;5
01053099;Poggensee;0;0;0;0;0;0
01053100;Ratzeburg;70;56;12;2;1;60
01053101;Ritzerau;0;0;0;0;0;0
01053102;Römnitz;2;2;0;0;0;2
01053103;Rondeshagen;0;0;0;0;0;0
01053104;Roseburg;1;0;1;0;0;0
01053105;Sachsenwald;0;0;0;0;0;0
01053106;Sahms;2;1;1;0;0;2
01053107;Salem;1;1;0;0;0;1
01053108;Sandesneben;6;5;1;0;0;5
01053109;Schiphorst;1;1;0;0;0;1
01053110;Schmilau;9;8;1;0;0;12
01053111;Schnakenbek;5;4;1;0;0;6
01053112;Schönberg;5;3;2;0;0;5
01053113;Schretstaken;2;1;0;1;0;1
01053114;Schürensöhlen;0;0;0;0;0;0
01053115;Schulendorf;1;1;0;0;0;1
01053116;Schwarzenbek;74;59;12;3;2;61
01053117;Seedorf;4;3;1;0;0;4
01053118;Siebenbäumen;2;2;0;0;0;2
01053119;Siebeneichen;3;2;1;0;0;3
01053120;Sierksrade;0;0;0;0;0;0
01053121;Sirksfelde;0;0;0;0;0;0
01053122;Steinhorst;2;2;0;0;0;4
01053123;Sterley;3;3;0;0;0;4
01053124;Stubben;1;1;0;0;0;1
01053125;Talkau;4;2;2;0;0;2
01053126;Tramm;3;1;2;0;0;1
01053127;Walksfelde;0;0;0;0;0;0
01053128;Wangelau;2;2;0;0;0;4
01053129;Wentorf bei Hamburg;43;39;4;0;0;43
01053130;Wentorf (Amt Sandesneben);1;1;0;0;0;2
01053131;Wiershop;4;3;1;0;0;4
01053132;Witzeeze;2;1;1;0;0;1
01053133;Wohltorf;6;6;0;0;0;12
01053134;Woltersdorf;1;1;0;0;0;2
01053135;Worth;1;1;0;0;0;1
01053136;Ziethen;2;1;1;0;0;2
01054001;Achtrup;1;1;0;0;0;1
01054002;Ahrenshöft;1;0;1;0;0;0
01054003;Ahrenviöl;0;0;0;0;0;0
01054004;Ahrenviölfeld;1;1;0;0;0;1
01054005;Alkersum;2;2;0;0;0;3
01054006;Almdorf;2;2;0;0;0;3
01054007;Arlewatt;1;0;1;0;0;0
01054009;Aventoft;1;1;0;0;0;1
01054010;Bargum;2;2;0;0;0;3
01054011;Behrendorf;3;3;0;0;0;3
01054012;Bohmstedt;2;2;0;0;0;2
01054013;Bondelum;1;1;0;0;0;1
01054014;Bordelum;6;3;2;1;1;3
01054015;Borgsum;1;1;0;0;0;1
01054016;Bosbüll;0;0;0;0;0;0
01054017;Braderup;4;4;0;0;0;4
01054018;Bramstedtlund;2;2;0;0;0;2
01054019;Bredstedt;22;17;4;1;1;21
01054020;Breklum;9;9;0;0;0;10
01054022;Dagebüll;2;2;0;0;0;2
01054023;Drage;2;1;1;0;0;2
01054024;Drelsdorf;6;5;1;0;0;6
01054025;Dunsum;0;0;0;0;0;0
01054026;Elisabeth-Sophien-Koog;1;1;0;0;0;3
01054027;Ellhöft;5;4;1;0;0;7
01054032;Fresendelf;0;0;0;0;0;0
01054033;Friedrichstadt;8;6;1;1;0;7
01054034;Friedrich-Wilhelm-Lübke-Koog;0;0;0;0;0;0
01054035;Garding, Kirchspiel;8;5;3;0;1;10
01054036;Garding;7;6;0;1;0;6
01054037;Goldebek;2;2;0;0;0;3
01054038;Goldelund;4;4;0;0;0;5
01054039;Gröde;0;0;0;0;0;0
01054040;Grothusenkoog;0;0;0;0;0;0
01054041;Haselund;3;3;0;0;0;4
01054042;Hattstedt;14;10;3;1;0;11
01054043;Hattstedtermarsch;4;3;1;0;0;6
01054045;Högel;4;4;0;0;0;9
01054046;Hörnum (Sylt);1;0;0;1;0;0
01054048;Holm;1;1;0;0;0;1
01054050;Hallig Hooge;0;0;0;0;0;0
01054052;Horstedt;7;7;0;0;0;13
01054054;Hude;0;0;0;0;0;0
01054055;Humptrup;1;0;1;0;0;0
01054056;Husum;168;139;27;2;0;165
01054057;Immenstedt;10;8;2;0;0;12
01054059;Joldelund;4;4;0;0;0;5
01054061;Kampen (Sylt);10;9;1;0;0;13
01054062;Karlum;0;0;0;0;0;0
01054063;Katharinenheerd;3;2;1;0;0;2
01054065;Klanxbüll;1;1;0;0;0;1
01054068;Klixbüll;9;8;1;0;2;9
01054070;Koldenbüttel;6;5;1;0;0;7
01054071;Kolkerheide;1;1;0;0;0;1
01054072;Kotzenbüll;3;2;1;0;0;2
01054073;Ladelund;3;3;0;0;0;6
01054074;Langeneß;1;1;0;0;0;1
01054075;Langenhorn;15;15;0;0;0;22
01054076;Leck;34;29;4;1;1;35
01054077;Lexgaard;1;1;0;0;0;2
01054078;List;13;12;0;1;0;15
01054079;Löwenstedt;1;0;1;0;0;0
01054080;Lütjenholm;2;2;0;0;0;2
01054083;Midlum;0;0;0;0;0;0
01054084;Mildstedt;12;9;3;0;0;9
01054085;Nebel;9;8;0;1;0;8
01054086;Neukirchen;8;7;1;0;0;9
01054087;Nieblum;5;5;0;0;0;5
01054088;Niebüll;48;41;5;2;0;49
01054089;Norddorf auf Amrum;5;5;0;0;0;5
01054090;Norderfriedrichskoog;0;0;0;0;0;0
01054091;Nordstrand;10;7;3;0;0;8
01054092;Norstedt;5;4;1;0;0;4
01054093;Ockholm;2;2;0;0;0;4
01054094;Oevenum;0;0;0;0;0;0
01054095;Oldenswort;11;10;1;0;0;22
01054096;Oldersbek;3;3;0;0;0;5
01054097;Olderup;1;1;0;0;0;1
01054098;Oldsum;3;2;1;0;0;2
01054099;Ostenfeld (Husum);8;6;1;1;0;8
01054100;Osterhever;1;0;1;0;0;0
01054101;Oster-Ohrstedt;3;3;0;0;0;4
01054103;Pellworm;5;5;0;0;0;6
01054104;Poppenbüll;0;0;0;0;0;0
01054105;Ramstedt;1;1;0;0;0;1
01054106;Rantrum;9;5;4;0;0;8
01054107;Rantum (Sylt);-;-;-;-;-;-
01054108;Reußenköge;8;7;1;0;0;15
01054109;Risum-Lindholm;25;22;3;0;0;34
01054110;Rodenäs;0;0;0;0;0;0
01054113;Sankt Peter-Ording;28;24;4;0;0;38
01054116;Schwabstedt;4;3;1;0;1;2
01054118;Schwesing;15;13;2;0;0;22
01054119;Seeth;3;1;2;0;0;2
01054120;Simonsberg;7;5;1;1;0;9
01054121;Sönnebüll;1;1;0;0;0;2
01054123;Sollwitt;3;2;0;1;0;7
01054124;Sprakebüll;2;1;0;1;0;1
01054125;Stadum;8;6;2;0;0;7
01054126;Stedesand;2;1;1;0;0;1
01054128;Struckum;7;7;0;0;0;10
01054129;Süderende;0;0;0;0;0;0
01054130;Süderhöft;0;0;0;0;0;0
01054131;Süderlügum;11;7;4;0;0;10
01054132;Südermarsch;10;7;3;0;0;8
01054133;Sylt-Ost;-;-;-;-;-;-
01054134;Tating;8;6;2;0;0;9
01054135;Tetenbüll;2;1;1;0;0;1
01054136;Tinningstedt;2;2;0;0;0;2
01054138;Tönning;14;13;1;0;0;21
01054140;Tümlauer Koog;1;1;0;0;0;1
01054141;Uelvesbüll;1;1;0;0;0;2
01054142;Uphusum;0;0;0;0;0;0
01054143;Utersum;2;2;0;0;0;2
01054144;Viöl;17;14;2;1;0;18
01054145;Vollerwiek;2;2;0;0;0;2
01054146;Vollstedt;1;0;1;0;0;0
01054148;Welt;5;4;1;0;0;9
01054149;Wenningstedt-Braderup (Sylt);12;10;2;0;0;11
01054150;Westerhever;2;2;0;0;0;2
01054151;Westerland;-;-;-;-;-;-
01054152;Wester-Ohrstedt;3;3;0;0;0;5
01054154;Westre;4;3;1;0;0;3
01054156;Winnert;1;1;0;0;0;1
01054157;Wisch;0;0;0;0;0;0
01054158;Witsum;0;0;0;0;0;0
01054159;Wittbek;4;3;1;0;0;4
01054160;Wittdün auf Amrum;4;3;1;0;0;3
01054161;Witzwort;17;16;1;0;1;33
01054162;Wobbenbüll;0;0;0;0;0;0
01054163;Wrixum;3;3;0;0;0;3
01054164;Wyk auf Föhr;22;18;3;1;0;19
01054165;Galmsbüll;3;3;0;0;0;3
01054166;Emmelsbüll-Horsbüll;3;2;1;0;0;2
01054167;Enge-Sande;4;3;1;0;0;3
01054168;Sylt;108;95;11;2;0;101
01055001;Ahrensbök;51;43;8;0;2;58
01055002;Altenkrempe;8;8;0;0;0;13
01055004;Bad Schwartau;119;93;21;5;0;106
01055006;Beschendorf;3;1;2;0;0;1
01055007;Bosau;11;9;2;0;2;13
01055010;Dahme;3;3;0;0;0;3
01055011;Damlos;4;3;1;0;0;5
01055012;Eutin;109;97;8;4;1;114
01055014;Göhl;1;1;0;0;0;2
01055015;Gremersdorf;10;7;3;0;0;10
01055016;Grömitz;50;41;6;3;0;51
01055017;Großenbrode;13;12;1;0;1;13
01055018;Grube;11;10;1;0;0;15
01055020;Harmsdorf;0;0;0;0;0;0
01055021;Heiligenhafen;50;37;11;2;0;56
01055022;Heringsdorf (Holstein);9;8;1;0;2;8
01055023;Kabelhorst;0;0;0;0;0;0
01055024;Kasseedorf;11;9;2;0;1;13
01055025;Kellenhusen (Ostsee);3;3;0;0;0;5
01055027;Lensahn;20;17;3;0;0;19
01055028;Malente;45;40;4;1;1;47
