GENESIS-Tabelle: 14211-01-02-5-B
Europawahl: Wahlberechtigte und -beteiligung,;;;;;;;;;;;
Gültige Stimmen nach Parteien;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Allgemeine Europawahlstatistik;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
25.05.2014;01053034;Göldenitz;181;58,0;105;61;20;4;10;1;9
25.05.2014;01053035;Göttin;52;73,1;37;18;9;1;9;0;0
25.05.2014;01053036;Grabau;248;46,8;114;51;24;5;11;7;16
25.05.2014;01053037;Grambek;346;53,2;183;67;66;3;23;10;14
25.05.2014;01053038;Grinau;271;37,6;101;33;32;6;13;0;17
25.05.2014;01053039;Groß Boden;166;44,6;74;20;27;3;3;12;9
25.05.2014;01053040;Groß Disnack;73;63,0;44;25;10;0;4;0;5
25.05.2014;01053041;Groß Grönau;2987;45,8;1357;476;452;54;169;48;158
25.05.2014;01053042;Groß Pampau;126;57,9;73;39;16;1;3;5;9
25.05.2014;01053043;Groß Sarau;713;40,1;282;111;87;9;38;10;27
25.05.2014;01053044;Groß Schenkenberg;435;41,1;177;51;57;6;35;8;20
25.05.2014;01053045;Grove;203;55,2;108;45;31;2;7;0;23
25.05.2014;01053046;Gudow;1300;39,8;517;225;144;12;51;15;70
25.05.2014;01053047;Gülzow;1015;45,1;446;169;166;10;32;14;55
25.05.2014;01053048;Güster;1031;40,1;410;157;130;24;31;15;53
25.05.2014;01053049;Hamfelde;387;45,5;173;61;51;8;27;4;22
25.05.2014;01053050;Hamwarde;675;43,1;289;104;108;10;27;4;36
25.05.2014;01053051;Harmsdorf;252;50,0;126;60;30;6;6;4;20
25.05.2014;01053052;Havekost;152;50,0;76;40;16;2;8;3;7
25.05.2014;01053053;Hohenhorn;421;41,6;175;80;46;5;20;9;15
25.05.2014;01053054;Hollenbek;342;43,9;150;64;46;5;15;7;13
25.05.2014;01053056;Hornbek;159;35,2;56;15;16;0;6;3;16
25.05.2014;01053057;Horst;188;47,9;90;52;21;5;4;2;6
25.05.2014;01053058;Juliusburg;138;60,1;83;34;26;4;7;3;9
25.05.2014;01053059;Kankelau;169;60,4;102;40;31;1;15;1;14
25.05.2014;01053060;Kasseburg;493;41,8;203;98;40;6;16;11;32
25.05.2014;01053061;Kastorf;894;32,2;286;86;102;15;36;11;36
25.05.2014;01053062;Kittlitz;206;47,6;96;49;22;7;5;3;10
25.05.2014;01053064;Klein Pampau;511;40,3;204;69;69;4;20;11;31
25.05.2014;01053066;Klein Zecher;203;43,8;87;33;30;1;14;3;6
25.05.2014;01053067;Klempau;468;42,3;197;77;66;7;27;7;13
25.05.2014;01053068;Klinkrade;479;43,2;205;75;65;1;20;13;31
25.05.2014;01053069;Koberg;613;40,5;243;102;64;8;32;7;30
25.05.2014;01053070;Köthel;226;50,0;112;26;37;3;27;5;14
25.05.2014;01053071;Kollow;468;46,2;213;72;60;7;26;5;43
25.05.2014;01053072;Kröppelshagen-Fahrendorf;991;44,2;431;158;140;20;48;16;49
25.05.2014;01053073;Krüzen;279;49,1;136;66;36;4;9;2;19
25.05.2014;01053074;Krukow;132;59,1;77;35;15;2;10;5;10
25.05.2014;01053075;Krummesse;1284;44,5;567;200;207;8;79;22;51
25.05.2014;01053076;Kuddewörde;1088;44,1;478;192;118;33;58;11;66
25.05.2014;01053077;Kühsen;286;48,6;137;59;36;5;13;8;16
25.05.2014;01053078;Kulpin;172;45,3;78;24;19;5;9;5;16
25.05.2014;01053079;Labenz;656;44,2;290;106;91;12;32;11;38
25.05.2014;01053080;Langenlehsten;138;48,6;67;29;14;2;7;2;13
25.05.2014;01053081;Lankau;375;45,9;170;70;43;11;17;6;23
25.05.2014;01053082;Lanze;225;50,2;112;49;35;2;6;1;19
25.05.2014;01053083;Lauenburg/Elbe;8659;32,1;2751;811;1072;78;264;151;375
25.05.2014;01053084;Lehmrade;404;37,6;151;60;44;4;20;2;21
25.05.2014;01053085;Linau;957;40,0;376;182;90;15;40;11;38
25.05.2014;01053086;Lüchow;232;41,4;96;32;25;3;5;6;25
25.05.2014;01053087;Lütau;567;42,7;242;112;67;2;19;10;32
25.05.2014;01053088;Mechow;91;68,1;62;28;16;2;6;3;7
25.05.2014;01053089;Möhnsen;433;43,0;184;73;47;2;15;12;35
25.05.2014;01053090;Mölln;15001;33,5;4970;1627;1690;162;579;226;686
25.05.2014;01053091;Mühlenrade;148;36,5;53;26;14;2;3;3;5
25.05.2014;01053092;Müssen;781;45,1;350;156;84;11;46;16;37
25.05.2014;01053093;Mustin;601;34,1;205;81;54;5;23;4;38
25.05.2014;01053094;Niendorf bei Berkenthin;153;45,1;69;32;15;0;10;1;11
25.05.2014;01053095;Niendorf/Stecknitz;524;44,7;232;72;71;9;34;10;36
25.05.2014;01053096;Nusse;807;36,3;292;111;70;18;36;15;42
25.05.2014;01053097;Panten;518;39,6;203;70;54;9;32;8;30
25.05.2014;01053098;Pogeez;304;50,0;151;68;50;8;9;2;14
25.05.2014;01053099;Poggensee;282;46,1;129;41;49;2;17;5;15
25.05.2014;01053100;Ratzeburg;11404;34,7;3927;1378;1213;151;414;217;554
25.05.2014;01053101;Ritzerau;225;49,8;110;40;35;7;18;1;9
25.05.2014;01053102;Römnitz;63;61,9;39;20;6;1;2;0;10
25.05.2014;01053103;Rondeshagen;647;43,0;273;92;83;7;51;14;26
25.05.2014;01053104;Roseburg;444;36,9;163;57;72;5;13;1;15
25.05.2014;01053105;Sachsenwald;0;0,0;0;0;0;0;0;0;0
25.05.2014;01053106;Sahms;313;46,0;142;55;33;3;23;3;25
