GENESIS-Tabelle: 42111-01-04-5-B
Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen;;;;;
und Erden: Betriebe, Beschäftigte - Stichtag: 30.09. -;;;;;
regionale Ebenen;;;;;
Verarbeitendes Gewerbe - Jahre ab 2009 mit WZ2008;;;;;
;;;Betriebe;Beschäftigte;Bruttoentgelte
;;;Anzahl;Anzahl;Tsd. EUR
30.09.2015;01053036;Grabau;0;0;0
30.09.2015;01053037;Grambek;0;0;0
30.09.2015;01053038;Grinau;0;0;0
30.09.2015;01053039;Groß Boden;0;0;0
30.09.2015;01053040;Groß Disnack;0;0;0
30.09.2015;01053041;Groß Grönau;1;.;.
30.09.2015;01053042;Groß Pampau;0;0;0
30.09.2015;01053043;Groß Sarau;0;0;0
30.09.2015;01053044;Groß Schenkenberg;1;.;.
30.09.2015;01053045;Grove;0;0;0
30.09.2015;01053046;Gudow;0;0;0
30.09.2015;01053047;Gülzow;0;0;0
30.09.2015;01053048;Güster;0;0;0
30.09.2015;01053049;Hamfelde;0;0;0
30.09.2015;01053050;Hamwarde;0;0;0
30.09.2015;01053051;Harmsdorf;0;0;0
30.09.2015;01053052;Havekost;0;0;0
30.09.2015;01053053;Hohenhorn;0;0;0
30.09.2015;01053054;Hollenbek;0;0;0
30.09.2015;01053056;Hornbek;0;0;0
30.09.2015;01053057;Horst;0;0;0
30.09.2015;01053058;Juliusburg;0;0;0
30.09.2015;01053059;Kankelau;0;0;0
30.09.2015;01053060;Kasseburg;0;0;0
30.09.2015;01053061;Kastorf;1;.;.
30.09.2015;01053062;Kittlitz;0;0;0
30.09.2015;01053064;Klein Pampau;0;0;0
30.09.2015;01053066;Klein Zecher;0;0;0
30.09.2015;01053067;Klempau;0;0;0
30.09.2015;01053068;Klinkrade;0;0;0
30.09.2015;01053069;Koberg;1;.;.
30.09.2015;01053070;Köthel;0;0;0
30.09.2015;01053071;Kollow;0;0;0
30.09.2015;01053072;Kröppelshagen-Fahrendorf;0;0;0
30.09.2015;01053073;Krüzen;0;0;0
30.09.2015;01053074;Krukow;0;0;0
30.09.2015;01053075;Krummesse;0;0;0
30.09.2015;01053076;Kuddewörde;0;0;0
30.09.2015;01053077;Kühsen;0;0;0
30.09.2015;01053078;Kulpin;0;0;0
30.09.2015;01053079;Labenz;0;0;0
30.09.2015;01053080;Langenlehsten;0;0;0
30.09.2015;01053081;Lankau;0;0;0
30.09.2015;01053082;Lanze;0;0;0
30.09.2015;01053083;Lauenburg/Elbe;9;679;23771
30.09.2015;01053084;Lehmrade;0;0;0
30.09.2015;01053085;Linau;0;0;0
30.09.2015;01053086;Lüchow;0;0;0
30.09.2015;01053087;Lütau;0;0;0
30.09.2015;01053088;Mechow;0;0;0
30.09.2015;01053089;Möhnsen;1;.;.
30.09.2015;01053090;Mölln;8;883;33967
30.09.2015;01053091;Mühlenrade;0;0;0
30.09.2015;01053092;Müssen;1;.;.
30.09.2015;01053093;Mustin;0;0;0
30.09.2015;01053094;Niendorf bei Berkenthin;0;0;0
30.09.2015;01053095;Niendorf/Stecknitz;0;0;0
30.09.2015;01053096;Nusse;0;0;0
30.09.2015;01053097;Panten;1;.;.
30.09.2015;01053098;Pogeez;0;0;0
30.09.2015;01053099;Poggensee;0;0;0
30.09.2015;01053100;Ratzeburg;3;154;4991
30.09.2015;01053101;Ritzerau;0;0;0
30.09.2015;01053102;Römnitz;0;0;0
30.09.2015;01053103;Rondeshagen;0;0;0
30.09.2015;01053104;Roseburg;0;0;0
30.09.2015;01053105;Sachsenwald;0;0;0
30.09.2015;01053106;Sahms;0;0;0
30.09.2015;01053107;Salem;0;0;0
30.09.2015;01053108;Sandesneben;0;0;0
30.09.2015;01053109;Schiphorst;0;0;0
30.09.2015;01053110;Schmilau;0;0;0
30.09.2015;01053111;Schnakenbek;0;0;0
30.09.2015;01053112;Schönberg;1;.;.
30.09.2015;01053113;Schretstaken;0;0;0
30.09.2015;01053114;Schürensöhlen;0;0;0
30.09.2015;01053115;Schulendorf;0;0;0
30.09.2015;01053116;Schwarzenbek;7;1443;93391
30.09.2015;01053117;Seedorf;0;0;0
30.09.2015;01053118;Siebenbäumen;0;0;0
30.09.2015;01053119;Siebeneichen;0;0;0
30.09.2015;01053120;Sierksrade;0;0;0
30.09.2015;01053121;Sirksfelde;0;0;0
30.09.2015;01053122;Steinhorst;0;0;0
30.09.2015;01053123;Sterley;0;0;0
30.09.2015;01053124;Stubben;0;0;0
30.09.2015;01053125;Talkau;0;0;0
30.09.2015;01053126;Tramm;0;0;0
30.09.2015;01053127;Walksfelde;0;0;0
30.09.2015;01053128;Wangelau;0;0;0
30.09.2015;01053129;Wentorf bei Hamburg;9;318;9587
30.09.2015;01053130;Wentorf (Amt Sandesneben);0;0;0
30.09.2015;01053131;Wiershop;1;.;.
30.09.2015;01053132;Witzeeze;0;0;0
30.09.2015;01053133;Wohltorf;0;0;0
30.09.2015;01053134;Woltersdorf;1;.;.
30.09.2015;01053135;Worth;0;0;0
30.09.2015;01053136;Ziethen;0;0;0
30.09.2015;01054001;Achtrup;0;0;0
30.09.2015;01054002;Ahrenshöft;0;0;0
30.09.2015;01054003;Ahrenviöl;1;.;.
30.09.2015;01054004;Ahrenviölfeld;0;0;0
30.09.2015;01054005;Alkersum;2;.;.
30.09.2015;01054006;Almdorf;0;0;0
30.09.2015;01054007;Arlewatt;0;0;0
30.09.2015;01054009;Aventoft;0;0;0
30.09.2015;01054010;Bargum;0;0;0
30.09.2015;01054011;Behrendorf;0;0;0
30.09.2015;01054012;Bohmstedt;1;.;.
30.09.2015;01054013;Bondelum;0;0;0
30.09.2015;01054014;Bordelum;0;0;0
30.09.2015;01054015;Borgsum;0;0;0
30.09.2015;01054016;Bosbüll;0;0;0
30.09.2015;01054017;Braderup;0;0;0
30.09.2015;01054018;Bramstedtlund;0;0;0
30.09.2015;01054019;Bredstedt;3;170;2685
30.09.2015;01054020;Breklum;0;0;0
30.09.2015;01054022;Dagebüll;0;0;0
30.09.2015;01054023;Drage;0;0;0
30.09.2015;01054024;Drelsdorf;0;0;0
30.09.2015;01054025;Dunsum;0;0;0
30.09.2015;01054026;Elisabeth-Sophien-Koog;0;0;0
30.09.2015;01054027;Ellhöft;0;0;0
30.09.2015;01054032;Fresendelf;0;0;0
30.09.2015;01054033;Friedrichstadt;0;0;0
30.09.2015;01054034;Friedrich-Wilhelm-Lübke-Koog;0;0;0
30.09.2015;01054035;Garding, Kirchspiel;0;0;0
30.09.2015;01054036;Garding;0;0;0
30.09.2015;01054037;Goldebek;0;0;0
30.09.2015;01054038;Goldelund;0;0;0
30.09.2015;01054039;Gröde;0;0;0
30.09.2015;01054040;Grothusenkoog;0;0;0
30.09.2015;01054041;Haselund;2;.;.
30.09.2015;01054042;Hattstedt;1;.;.
30.09.2015;01054043;Hattstedtermarsch;0;0;0
30.09.2015;01054045;Högel;0;0;0
30.09.2015;01054046;Hörnum (Sylt);0;0;0
30.09.2015;01054048;Holm;0;0;0
30.09.2015;01054050;Hallig Hooge;0;0;0
30.09.2015;01054052;Horstedt;0;0;0
30.09.2015;01054054;Hude;0;0;0
30.09.2015;01054055;Humptrup;0;0;0
30.09.2015;01054056;Husum;11;2606;113311
30.09.2015;01054057;Immenstedt;0;0;0
30.09.2015;01054059;Joldelund;1;.;.
30.09.2015;01054061;Kampen (Sylt);0;0;0
30.09.2015;01054062;Karlum;0;0;0
30.09.2015;01054063;Katharinenheerd;0;0;0
30.09.2015;01054065;Klanxbüll;0;0;0
30.09.2015;01054068;Klixbüll;0;0;0
30.09.2015;01054070;Koldenbüttel;0;0;0
30.09.2015;01054071;Kolkerheide;0;0;0
30.09.2015;01054072;Kotzenbüll;0;0;0
30.09.2015;01054073;Ladelund;1;.;.
30.09.2015;01054074;Langeneß;0;0;0
30.09.2015;01054075;Langenhorn;2;.;.
30.09.2015;01054076;Leck;1;.;.
30.09.2015;01054077;Lexgaard;0;0;0
30.09.2015;01054078;List;0;0;0
30.09.2015;01054079;Löwenstedt;0;0;0
30.09.2015;01054080;Lütjenholm;0;0;0
30.09.2015;01054083;Midlum;0;0;0
30.09.2015;01054084;Mildstedt;1;.;.
30.09.2015;01054085;Nebel;0;0;0
30.09.2015;01054086;Neukirchen;0;0;0
30.09.2015;01054087;Nieblum;0;0;0
30.09.2015;01054088;Niebüll;5;426;16570
30.09.2015;01054089;Norddorf auf Amrum;0;0;0
30.09.2015;01054090;Norderfriedrichskoog;0;0;0
30.09.2015;01054091;Nordstrand;0;0;0
30.09.2015;01054092;Norstedt;0;0;0
30.09.2015;01054093;Ockholm;0;0;0
30.09.2015;01054094;Oevenum;0;0;0
30.09.2015;01054095;Oldenswort;1;.;.
30.09.2015;01054096;Oldersbek;0;0;0
30.09.2015;01054097;Olderup;0;0;0
30.09.2015;01054098;Oldsum;0;0;0
30.09.2015;01054099;Ostenfeld (Husum);2;.;.
30.09.2015;01054100;Osterhever;0;0;0
30.09.2015;01054101;Oster-Ohrstedt;0;0;0
30.09.2015;01054103;Pellworm;0;0;0
30.09.2015;01054104;Poppenbüll;0;0;0
30.09.2015;01054105;Ramstedt;0;0;0
30.09.2015;01054106;Rantrum;1;.;.
30.09.2015;01054107;Rantum (Sylt);-;-;-
30.09.2015;01054108;Reußenköge;0;0;0
30.09.2015;01054109;Risum-Lindholm;1;.;.
30.09.2015;01054110;Rodenäs;0;0;0
30.09.2015;01054113;Sankt Peter-Ording;0;0;0
30.09.2015;01054116;Schwabstedt;0;0;0
30.09.2015;01054118;Schwesing;0;0;0
30.09.2015;01054119;Seeth;0;0;0
30.09.2015;01054120;Simonsberg;0;0;0
30.09.2015;01054121;Sönnebüll;0;0;0
30.09.2015;01054123;Sollwitt;0;0;0
30.09.2015;01054124;Sprakebüll;0;0;0
30.09.2015;01054125;Stadum;0;0;0
30.09.2015;01054126;Stedesand;0;0;0
30.09.2015;01054128;Struckum;2;.;.
30.09.2015;01054129;Süderende;0;0;0
30.09.2015;01054130;Süderhöft;0;0;0
30.09.2015;01054131;Süderlügum;0;0;0
30.09.2015;01054132;Südermarsch;0;0;0
30.09.2015;01054133;Sylt-Ost;-;-;-
30.09.2015;01054134;Tating;0;0;0
30.09.2015;01054135;Tetenbüll;0;0;0
30.09.2015;01054136;Tinningstedt;0;0;0
30.09.2015;01054138;Tönning;3;.;.
30.09.2015;01054140;Tümlauer Koog;0;0;0
30.09.2015;01054141;Uelvesbüll;0;0;0
30.09.2015;01054142;Uphusum;0;0;0
30.09.2015;01054143;Utersum;0;0;0
30.09.2015;01054144;Viöl;1;.;.
30.09.2015;01054145;Vollerwiek;0;0;0
30.09.2015;01054146;Vollstedt;0;0;0
30.09.2015;01054148;Welt;0;0;0
30.09.2015;01054149;Wenningstedt-Braderup (Sylt);0;0;0
30.09.2015;01054150;Westerhever;0;0;0
30.09.2015;01054151;Westerland;-;-;-
30.09.2015;01054152;Wester-Ohrstedt;0;0;0
30.09.2015;01054154;Westre;0;0;0
30.09.2015;01054156;Winnert;0;0;0
30.09.2015;01054157;Wisch;0;0;0
30.09.2015;01054158;Witsum;0;0;0
30.09.2015;01054159;Wittbek;0;0;0
30.09.2015;01054160;Wittdün auf Amrum;0;0;0
30.09.2015;01054161;Witzwort;1;.;.
30.09.2015;01054162;Wobbenbüll;0;0;0
30.09.2015;01054163;Wrixum;1;.;.
30.09.2015;01054164;Wyk auf Föhr;0;0;0
30.09.2015;01054165;Galmsbüll;0;0;0
30.09.2015;01054166;Emmelsbüll-Horsbüll;0;0;0
30.09.2015;01054167;Enge-Sande;0;0;0
30.09.2015;01054168;Sylt;7;153;3133
30.09.2015;01055001;Ahrensbök;1;.;.
30.09.2015;01055002;Altenkrempe;0;0;0
30.09.2015;01055004;Bad Schwartau;5;972;39523
30.09.2015;01055006;Beschendorf;0;0;0
30.09.2015;01055007;Bosau;0;0;0
30.09.2015;01055010;Dahme;0;0;0
30.09.2015;01055011;Damlos;0;0;0
30.09.2015;01055012;Eutin;5;215;4743
30.09.2015;01055014;Göhl;0;0;0
30.09.2015;01055015;Gremersdorf;0;0;0
30.09.2015;01055016;Grömitz;0;0;0
30.09.2015;01055017;Großenbrode;1;.;.
30.09.2015;01055018;Grube;1;.;.
30.09.2015;01055020;Harmsdorf;0;0;0
30.09.2015;01055021;Heiligenhafen;3;56;1868
30.09.2015;01055022;Heringsdorf (Holstein);0;0;0
30.09.2015;01055023;Kabelhorst;0;0;0
30.09.2015;01055024;Kasseedorf;0;0;0
30.09.2015;01055025;Kellenhusen (Ostsee);0;0;0
30.09.2015;01055027;Lensahn;1;.;.
30.09.2015;01055028;Malente;7;600;28177
30.09.2015;01055029;Manhagen;0;0;0
30.09.2015;01055031;Neukirchen;0;0;0
30.09.2015;01055032;Neustadt in Holstein;6;329;7405
30.09.2015;01055033;Oldenburg in Holstein;7;797;30689
30.09.2015;01055035;Ratekau;8;486;16116
30.09.2015;01055036;Riepsdorf;0;0;0
30.09.2015;01055037;Schashagen;0;0;0
30.09.2015;01055038;Schönwalde am Bungsberg;0;0;0
30.09.2015;01055039;Sierksdorf;0;0;0
30.09.2015;01055040;Stockelsdorf;5;439;14169
30.09.2015;01055041;Süsel;1;.;.
30.09.2015;01055042;Timmendorfer Strand;2;.;.
30.09.2015;01055043;Wangels;1;.;.
30.09.2015;01055044;Scharbeutz;1;.;.
30.09.2015;01055046;Fehmarn;2;.;.
30.09.2015;01056001;Appen;0;0;0
30.09.2015;01056002;Barmstedt;6;363;12265
30.09.2015;01056003;Bevern;0;0;0
30.09.2015;01056004;Bilsen;0;0;0
30.09.2015;01056005;Bönningstedt;4;312;9265
30.09.2015;01056006;Bokel;0;0;0
30.09.2015;01056008;Bokholt-Hanredder;0;0;0
30.09.2015;01056009;Borstel-Hohenraden;0;0;0
30.09.2015;01056010;Brande-Hörnerkirchen;0;0;0
30.09.2015;01056011;Bullenkuhlen;0;0;0
30.09.2015;01056013;Ellerbek;3;.;.
30.09.2015;01056014;Ellerhoop;0;0;0
30.09.2015;01056015;Elmshorn;31;2979;123744
30.09.2015;01056016;Groß Nordende;0;0;0
30.09.2015;01056017;Groß Offenseth-Aspern;0;0;0
30.09.2015;01056018;Halstenbek;4;188;7106
30.09.2015;01056019;Haselau;0;0;0
30.09.2015;01056020;Haseldorf;0;0;0
30.09.2015;01056021;Hasloh;0;0;0
30.09.2015;01056022;Heede;1;.;.
30.09.2015;01056023;Heidgraben;0;0;0
30.09.2015;01056024;Heist;0;0;0
30.09.2015;01056025;Helgoland;0;0;0
30.09.2015;01056026;Hemdingen;1;.;.
30.09.2015;01056027;Hetlingen;0;0;0
30.09.2015;01056028;Holm;1;.;.
30.09.2015;01056029;Klein Nordende;0;0;0
30.09.2015;01056030;Klein Offenseth-Sparrieshoop;2;.;.
30.09.2015;01056031;Kölln-Reisiek;1;.;.
30.09.2015;01056032;Kummerfeld;2;.;.
30.09.2015;01056033;Seester;0;0;0
30.09.2015;01056034;Langeln;0;0;0
