GENESIS-Tabelle: 31111-02-02-5-B
Baugenehmigungen: Errichtung neuer Nichtwohngebäude;;;;
- Jahressumme - regionale Ebenen;;;;
Statistik der Baugenehmigungen;;;;
Nichtwohngebäude;;;;
2015;;;;
;;Nichtwohngebäude;Nutzfläche;Wohnungen
;;Anzahl;1000 qm;Anzahl
01057012;Brodersdorf;0;0,0;0
01057013;Dannau;2;0,2;0
01057015;Dersau;0;0,0;0
01057016;Dobersdorf;1;0,3;0
01057017;Dörnick;0;0,0;0
01057018;Fahren;0;0,0;0
01057020;Fiefbergen;0;0,0;0
01057021;Giekau;0;0,0;0
01057022;Grebin;1;0,6;0
01057023;Großbarkau;0;0,0;0
01057024;Großharrie;0;0,0;0
01057025;Heikendorf;2;2,1;0
01057026;Helmstorf;0;0,0;0
01057027;Högsdorf;0;0,0;0
01057028;Höhndorf;0;0,0;0
01057029;Hohenfelde;1;1,5;0
01057030;Hohwacht (Ostsee);0;0,0;0
01057031;Honigsee;0;0,0;0
01057032;Kalübbe;1;0,2;0
01057033;Kirchbarkau;0;0,0;0
01057034;Kirchnüchel;0;0,0;0
01057035;Klamp;0;0,0;0
01057037;Klein Barkau;1;0,5;0
01057038;Kletkamp;0;0,0;0
01057039;Köhn;0;0,0;0
01057040;Krokau;1;0,1;0
01057041;Krummbek;1;1,1;0
01057042;Kühren;0;0,0;0
01057043;Laboe;3;0,3;0
01057044;Lammershagen;0;0,0;0
01057045;Lebrade;0;0,0;0
01057046;Lehmkuhlen;2;0,6;0
01057047;Löptin;0;0,0;0
01057048;Lütjenburg;1;0,8;0
01057049;Lutterbek;0;0,0;0
01057050;Martensrade;1;1,0;0
01057051;Mönkeberg;2;2,1;0
01057052;Mucheln;0;0,0;0
01057053;Nehmten;0;0,0;0
01057054;Nettelsee;0;0,0;0
01057055;Panker;0;0,0;0
01057056;Passade;0;0,0;0
01057057;Plön;1;0,1;0
01057058;Pohnsdorf;0;0,0;0
01057059;Postfeld;0;0,0;0
01057060;Prasdorf;0;0,0;0
01057062;Preetz;6;4,8;0
01057063;Probsteierhagen;2;0,7;0
01057065;Rantzau;0;0,0;0
01057066;Rastorf;2;0,8;0
01057067;Rathjensdorf;0;0,0;0
01057068;Rendswühren;0;0,0;0
01057069;Ruhwinkel;0;0,0;0
01057070;Schellhorn;0;0,0;0
01057071;Schillsdorf;0;0,0;0
01057072;Schlesen;0;0,0;0
01057073;Schönberg (Holstein);2;5,3;0
01057074;Schönkirchen;3;0,6;0
01057076;Schwartbuck;0;0,0;0
01057077;Selent;1;0,4;0
01057078;Stakendorf;0;0,0;0
01057079;Stein;1;1,0;0
01057080;Stolpe;0;0,0;0
01057081;Stoltenberg;0;0,0;0
01057082;Tröndel;0;0,0;0
01057083;Tasdorf;1;0,1;0
01057084;Wahlstorf;0;0,0;0
01057085;Wankendorf;1;0,1;0
01057086;Warnau;0;0,0;0
01057087;Wendtorf;0;0,0;0
01057088;Wisch;2;1,0;0
01057089;Wittmoldt;0;0,0;0
01057090;Fargau-Pratjau;0;0,0;0
01057091;Schwentinental;2;1,1;0
01058001;Achterwehr;0;0,0;0
01058003;Alt Duvenstedt;0;0,0;0
01058004;Altenhof;0;0,0;0
01058005;Altenholz;2;1,2;0
01058007;Arpsdorf;0;0,0;0
01058008;Ascheffel;2;0,5;1
01058009;Aukrug;2;0,3;0
01058010;Bargstall;0;0,0;0
01058011;Bargstedt;2;1,3;0
01058012;Barkelsby;1;0,1;0
01058013;Beldorf;0;0,0;0
01058014;Bendorf;0;0,0;0
01058015;Beringstedt;0;0,0;0
01058016;Bissee;0;0,0;0
01058018;Blumenthal;0;0,0;0
01058019;Böhnhusen;0;0,0;0
01058021;Bokel;0;0,0;0
01058022;Bordesholm;2;0,5;1
01058023;Borgdorf-Seedorf;0;0,0;0
01058024;Borgstedt;1;0,5;0
01058025;Bornholt;0;0,0;0
01058026;Bovenau;2;2,8;0
01058027;Brammer;0;0,0;0
01058028;Bredenbek;0;0,0;0
01058029;Breiholz;0;0,0;0
01058030;Brekendorf;0;0,0;0
01058031;Brinjahe;1;0,5;0
01058032;Brodersby;1;0,3;0
01058033;Brügge;1;0,1;0
01058034;Büdelsdorf;10;16,2;0
01058035;Bünsdorf;2;1,8;0
01058036;Christiansholm;0;0,0;0
01058037;Dänischenhagen;3;2,6;0
01058038;Dätgen;0;0,0;0
01058039;Damendorf;0;0,0;0
01058040;Damp;1;0,1;0
01058042;Dörphof;0;0,0;0
01058043;Eckernförde;5;1,4;4
01058044;Ehndorf;1;0,4;0
01058045;Eisendorf;0;0,0;0
01058046;Ellerdorf;0;0,0;0
01058047;Elsdorf-Westermühlen;1;0,3;0
01058048;Embühren;0;0,0;0
01058049;Emkendorf;0;0,0;0
01058050;Felde;0;0,0;0
01058051;Felm;1;0,2;0
01058052;Fleckeby;1;0,1;0
01058053;Flintbek;1;0,2;0
01058054;Fockbek;3;1,4;0
01058055;Friedrichsgraben;0;0,0;0
01058056;Friedrichsholm;0;0,0;0
01058057;Gammelby;0;0,0;0
01058058;Gettorf;2;0,7;1
01058059;Gnutz;1;0,2;0
01058061;Gokels;0;0,0;0
01058062;Grauel;1;2,8;0
01058063;Grevenkrug;0;0,0;0
01058064;Groß Buchwald;1;0,3;0
01058065;Groß Vollstedt;0;0,0;0
01058066;Groß Wittensee;2;2,6;0
01058067;Güby;1;0,1;0
01058068;Haale;0;0,0;0
01058069;Haby;0;0,0;0
01058070;Hamdorf;0;0,0;0
01058071;Hamweddel;0;0,0;0
01058072;Hanerau-Hademarschen;0;0,0;0
01058073;Haßmoor;0;0,0;0
01058074;Heinkenborstel;0;0,0;0
01058075;Hörsten;0;0,0;0
01058076;Hoffeld;0;0,0;0
01058077;Hohenwestedt;3;0,9;0
01058078;Hohn;1;0,2;0
01058080;Holtsee;1;0,5;0
01058081;Holzbunge;0;0,0;0
01058082;Holzdorf;0;0,0;0
01058083;Hütten;0;0,0;0
01058084;Hummelfeld;2;0,4;0
01058085;Jahrsdorf;0;0,0;0
01058086;Jevenstedt;5;1,2;0
01058087;Karby;0;0,0;0
01058088;Klein Wittensee;0;0,0;0
01058089;Königshügel;0;0,0;0
01058090;Kosel;0;0,0;0
01058091;Krogaspe;2;1,7;0
01058092;Kronshagen;2;0,8;0
01058093;Krummwisch;1;0,1;0
01058094;Langwedel;0;0,0;0
01058096;Lindau;3;1,3;0
01058097;Lohe-Föhrden;0;0,0;0
