GENESIS-Tabelle: 14346-01-02-5
Landtagswahlen: Thüringen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Thüringen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.09.2014;16062004;Buchholz;187;54,5;101;35;8;11;1;31;15
14.09.2014;16062005;Ellrich, Stadt;4695;48,7;2249;643;363;95;74;741;333
14.09.2014;16062006;Etzelsrode;72;79,2;56;16;7;5;5;15;8
14.09.2014;16062007;Friedrichsthal;213;62,0;130;20;7;4;34;42;23
14.09.2014;16062008;Görsbach;888;45,9;396;140;68;27;9;91;61
14.09.2014;16062009;Großlohra;805;46,6;373;135;41;12;17;106;62
14.09.2014;16062014;Hainrode/Hainleite;299;52,5;153;48;8;3;8;63;23
14.09.2014;16062015;Hamma;-;-;-;-;-;-;-;-;-
14.09.2014;16062016;Harzungen;174;54,6;95;24;12;5;2;37;15
14.09.2014;16062017;Heringen/Helme, Stadt;-;-;-;-;-;-;-;-;-
14.09.2014;16062018;Herrmannsacker;310;48,1;147;61;25;6;4;36;15
14.09.2014;16062022;Ilfeld;-;-;-;-;-;-;-;-;-
14.09.2014;16062024;Kehmstedt;410;55,9;219;42;39;4;19;90;25
14.09.2014;16062025;Kleinbodungen;301;58,1;169;43;18;8;8;61;31
14.09.2014;16062026;Kleinfurra;940;50,1;460;123;38;16;18;165;100
14.09.2014;16062029;Kraja;254;52,8;133;48;20;2;2;49;12
14.09.2014;16062033;Lipprechterode;461;42,1;192;70;31;3;4;53;31
14.09.2014;16062036;Neustadt/Harz;929;50,1;463;167;49;30;11;136;70
14.09.2014;16062037;Niedergebra;577;51,0;286;85;37;7;5;96;56
14.09.2014;16062038;Niedersachswerfen;-;-;-;-;-;-;-;-;-
14.09.2014;16062039;Nohra;733;45,0;318;94;39;10;9;90;76
14.09.2014;16062041;Nordhausen, Stadt;35063;45,6;15815;4239;2303;964;407;5524;2378
14.09.2014;16062046;Rehungen;-;-;-;-;-;-;-;-;-
14.09.2014;16062049;Sollstedt;2560;50,5;1273;394;209;32;23;418;197
14.09.2014;16062054;Urbach;795;45,8;357;91;49;22;9;138;48
