GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051131;Westerborstel;55;-;-;3;12;13;7;20
01051132;Westerdeichstrich;664;23;91;151;152;115;57;75
01051133;Wiemerstedt;64;-;3;3;12;9;13;24
01051134;Windbergen;369;4;3;37;60;88;91;86
01051135;Wolmersdorf;151;-;6;9;20;29;45;42
01051136;Wrohm;345;-;12;65;68;70;35;95
01051137;Nordermeldorf;315;-;14;33;73;98;36;61
01051138;Tensbüttel-Röst;282;3;3;25;64;78;46;63
01051139;Süderdorf;160;-;12;9;27;31;37;44
01051140;Oesterwurth;118;-;-;18;19;31;21;29
01051141;Süderheistedt;250;-;15;23;28;66;55;63
01053001;Albsfelde;38;4;-;6;6;3;6;13
01053002;Alt Mölln;363;3;27;40;73;99;57;64
01053003;Aumühle;1573;6;60;203;508;323;226;247
01053004;Bäk;388;-;19;39;83;92;51;104
01053005;Bälau;94;-;7;3;21;9;23;31
01053006;Basedow;334;3;22;59;95;74;53;28
01053007;Basthorst;191;-;19;27;37;41;31;36
01053008;Behlendorf;174;-;8;20;47;19;43;37
01053009;Berkenthin;828;3;31;94;182;208;157;153
01053010;Besenthal;32;-;3;-;7;7;9;6
01053011;Bliestorf;279;-;6;49;66;65;45;48
01053012;Börnsen;1847;14;60;214;429;472;378;280
01053013;Borstorf;127;-;-;10;6;25;46;40
01053014;Breitenfelde;812;9;39;99;222;202;108;133
01053015;Bröthen;130;-;-;25;15;41;15;34
01053016;Brunsmark;97;-;9;25;37;13;3;10
01053017;Brunstorf;267;-;9;37;55;66;53;47
01053018;Buchholz;110;-;-;-;21;29;35;25
01053019;Buchhorst;70;-;4;7;12;23;4;20
01053020;Büchen;2644;15;274;409;609;592;357;388
01053021;Dahmker;63;-;3;10;-;20;14;16
01053022;Dalldorf;161;-;-;15;36;37;36;37
01053023;Dassendorf;1315;3;62;169;268;318;212;283
01053024;Düchelsdorf;69;-;4;3;22;23;9;8
01053025;Duvensee;227;-;14;32;58;36;39;48
01053026;Einhaus;169;-;9;18;27;46;40;29
01053027;Elmenhorst;373;-;10;57;83;58;74;91
01053028;Escheburg;1495;16;89;237;337;423;225;168
01053029;Fitzen;196;3;38;61;22;19;25;28
01053030;Fredeburg;10;-;-;-;3;7;-;-
01053031;Fuhlenhagen;122;-;3;9;29;26;27;28
01053032;Geesthacht;14605;341;2216;3189;3823;2453;1442;1141
01053033;Giesensdorf;74;3;6;-;12;15;16;22
01053034;Göldenitz;94;-;6;7;12;19;18;32
01053035;Göttin;35;-;-;6;10;13;3;3
01053036;Grabau;143;-;16;13;30;39;23;22
01053037;Grambek;208;-;9;27;45;45;42;40
01053038;Grinau;89;-;3;10;9;32;7;28
01053039;Groß Boden;100;3;-;6;21;40;9;21
01053040;Groß Disnack;43;-;-;10;7;9;10;7
01053041;Groß Grönau;1657;13;61;158;321;477;394;233
01053042;Groß Pampau;64;4;-;6;22;13;7;12
01053043;Groß Sarau;404;7;19;27;68;106;93;84
01053044;Groß Schenkenberg;232;-;9;27;31;55;50;60
01053045;Grove;113;-;3;12;22;33;24;19
01053046;Gudow;779;13;43;102;172;167;141;141
01053047;Gülzow;532;-;34;63;118;145;88;84
01053048;Güster;699;9;45;111;169;168;108;89
01053049;Hamfelde;243;-;13;52;35;54;32;57
01053050;Hamwarde;335;-;9;53;74;85;58;56
01053051;Harmsdorf;116;-;7;6;28;18;19;38
01053052;Havekost;83;3;0;24;19;15;9;13
01053053;Hohenhorn;232;-;3;28;61;25;56;59
01053054;Hollenbek;212;3;15;45;38;54;28;29
01053056;Hornbek;104;-;3;15;28;28;18;12
01053057;Horst;111;-;-;18;18;22;10;43
01053058;Juliusburg;89;-;6;9;41;11;6;16
01053059;Kankelau;84;-;4;11;16;29;12;12
01053060;Kasseburg;247;7;13;45;33;66;49;34
01053061;Kastorf;484;3;12;65;89;143;102;70
01053062;Kittlitz;148;-;13;36;31;36;29;3
01053064;Klein Pampau;273;6;16;37;53;79;31;51
01053066;Klein Zecher;116;-;3;9;26;25;30;23
01053067;Klempau;251;-;-;23;43;45;73;67
01053068;Klinkrade;270;3;10;22;74;81;35;45
01053069;Koberg;334;3;23;46;79;67;63;53
01053070;Köthel;111;3;6;10;19;23;17;33
01053071;Kollow;265;3;6;39;44;57;48;68
01053072;Kröppelshagen-Fahrendorf;497;-;9;44;128;139;93;84
01053073;Krüzen;139;-;6;18;25;31;31;28
01053074;Krukow;74;3;3;9;15;13;13;18
01053075;Krummesse;738;-;19;71;162;218;130;138
01053076;Kuddewörde;560;-;33;43;97;134;133;120
01053077;Kühsen;179;-;3;32;45;40;27;32
01053078;Kulpin;95;-;-;13;21;25;11;25
01053079;Labenz;362;6;12;21;65;109;69;80
01053080;Langenlehsten;84;-;-;9;21;19;13;22
01053081;Lankau;219;3;15;30;30;68;38;35
01053082;Lanze;148;-;10;30;39;33;18;18
01053083;Lauenburg/Elbe;5608;79;532;1264;1329;1189;592;623
01053084;Lehmrade;197;-;-;25;43;57;40;32
01053085;Linau;520;3;27;34;112;149;85;110
01053086;Lüchow;139;-;9;12;37;24;24;33
01053087;Lütau;304;-;17;49;57;55;53;73
01053088;Mechow;46;3;-;3;13;3;12;12
01053089;Möhnsen;245;-;11;21;63;79;31;40
01053090;Mölln;9603;180;846;2381;2621;1961;921;693
01053091;Mühlenrade;93;6;12;3;6;36;12;18
01053092;Müssen;440;-;12;33;81;138;87;89
01053093;Mustin;342;3;18;51;87;70;66;47
01053094;Niendorf bei Berkenthin;86;-;9;7;13;8;22;27
01053095;Niendorf/Stecknitz;291;-;6;33;63;51;49;89
01053096;Nusse;445;-;20;71;77;102;78;97
01053097;Panten;338;-;18;93;79;62;35;51
01053098;Pogeez;194;-;7;29;42;39;33;44
01053099;Poggensee;137;3;3;14;38;19;31;29
01053100;Ratzeburg;6934;179;827;1609;1578;1210;781;746
01053101;Ritzerau;119;-;3;24;23;18;31;20
01053102;Römnitz;29;-;3;9;-;7;3;7
01053103;Rondeshagen;353;3;9;47;54;84;65;91
01053104;Roseburg;245;-;4;25;54;54;57;51
01053105;Sachsenwald;-;-;-;-;-;-;-;-
01053106;Sahms;168;-;6;16;43;44;40;19
01053107;Salem;349;-;35;53;71;50;85;55
01053108;Sandesneben;686;6;37;89;104;165;156;129
01053109;Schiphorst;243;-;15;26;40;51;53;58
01053110;Schmilau;267;-;12;40;35;63;49;68
01053111;Schnakenbek;367;-;12;38;90;115;59;53
01053112;Schönberg;587;12;33;77;112;142;123;88
01053113;Schretstaken;231;-;-;49;51;63;35;33
01053114;Schürensöhlen;70;-;9;7;12;15;14;13
01053115;Schulendorf;194;3;9;16;58;36;35;37
01053116;Schwarzenbek;6914;76;440;1273;1742;1802;955;626
01053117;Seedorf;356;3;23;88;102;71;36;33
01053118;Siebenbäumen;275;-;25;25;49;78;51;47
01053119;Siebeneichen;108;-;10;11;21;18;29;19
01053120;Sierksrade;153;-;6;27;44;43;23;10
01053121;Sirksfelde;157;3;19;21;29;41;31;13
01053122;Steinhorst;235;-;-;33;39;60;61;42
01053123;Sterley;403;3;12;61;53;117;74;83
01053124;Stubben;173;3;10;18;30;26;43;43
01053125;Talkau;229;-;3;23;49;72;34;48
01053126;Tramm;146;-;12;13;43;30;20;28
01053127;Walksfelde;82;-;9;18;6;18;16;15
01053128;Wangelau;90;-;-;12;21;25;18;14
01053129;Wentorf bei Hamburg;5563;92;439;990;1566;1231;619;626
01053130;Wentorf (Amt Sandesneben);298;-;24;28;61;78;43;64
01053131;Wiershop;80;-;-;3;16;19;16;26
01053132;Witzeeze;383;-;27;50;95;90;50;71
01053133;Wohltorf;1159;46;65;142;180;235;210;281
01053134;Woltersdorf;134;-;12;9;42;31;17;23
01053135;Worth;81;-;-;19;12;12;9;29
01053136;Ziethen;383;6;13;50;31;98;83;102
01054001;Achtrup;677;6;24;81;101;173;136;156
01054002;Ahrenshöft;241;-;6;27;57;47;45;59
01054003;Ahrenviöl;212;-;3;14;38;43;55;59
01054004;Ahrenviölfeld;99;-;-;9;21;16;20;33
01054005;Alkersum;264;3;16;58;65;73;9;40
01054006;Almdorf;259;3;3;22;45;40;51;95
01054007;Arlewatt;145;-;-;18;22;45;16;44
01054009;Aventoft;280;-;28;29;62;72;35;54
01054010;Bargum;278;-;6;40;55;47;76;54
01054011;Behrendorf;253;-;3;17;61;56;49;67
01054012;Bohmstedt;335;-;18;24;70;76;61;86
01054013;Bondelum;77;-;-;8;13;13;13;30
01054014;Bordelum;1016;15;52;131;159;247;182;230
01054015;Borgsum;197;-;19;28;40;43;33;34
01054016;Bosbüll;102;-;7;13;18;23;13;28
01054017;Braderup;354;3;28;37;66;65;61;94
01054018;Bramstedtlund;88;-;4;22;3;19;19;21
01054019;Bredstedt;2625;25;178;438;598;563;394;429
01054020;Breklum;1002;6;25;99;198;240;176;258
01054022;Dagebüll;501;10;24;63;92;119;74;119
01054023;Drage;286;-;4;52;40;64;43;83
01054024;Drelsdorf;556;-;12;53;162;94;98;137
01054025;Dunsum;70;-;3;22;12;12;18;3
01054026;Elisabeth-Sophien-Koog;25;-;-;6;-;7;6;6
01054027;Ellhöft;48;-;-;7;15;7;7;12
01054032;Fresendelf;56;-;6;11;16;10;3;10
01054033;Friedrichstadt;1480;12;136;285;351;361;159;176
