GENESIS-Tabelle: 71517-01-03-5-B
Bruttoeinnahmen der Gemeinden - Jahressumme -;;;;;;;;;;
regionale Ebenen;;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;;
2014;;;;;;;;;;
;;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden
;;;Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden)
;;;Einnahmen des Verwaltungshaushalts, insgesamt;Steuern und steuerähnliche Einnahmen;allgem. Zuweisung,Umlagen v.Bund,Land,Gemeinden/GV;Gebühren und zweckgebundene Abgaben;Einnahmen des Vermögenshaushalts, insgesamt;Beiträge und ähnliche Entgelte;Zuweisungen, Zuschüsse f.Investitionsförderungen..;Kredite und innere Darlehen
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01053085;Linau;1874822;1386202;787453;272856;175639;488620;0;48000;202000
01053086;Lüchow;357482;274786;148837;74388;32574;82696;1953;39600;5000
01053087;Lütau;806808;713100;437223;109908;91504;93708;0;93708;0
01053088;Mechow;185258;110391;49264;49272;4688;74867;26640;0;0
01053089;Möhnsen;1219923;700055;402985;73632;119484;519868;4102;391544;0
01053090;Mölln;31232889;28569224;12609827;7048200;1724648;2663665;129253;50133;2157100
01053091;Mühlenrade;342589;229494;106297;51528;21026;113095;0;0;0
01053092;Müssen;1315270;1196838;690447;210648;241897;118432;10332;4520;0
01053093;Mustin;951198;862399;407606;242280;136943;88799;26058;0;0
01053094;Niendorf bei Berkenthin;400481;235127;114191;71544;32351;165354;0;0;0
01053095;Niendorf/Stecknitz;586812;584682;343532;206724;9409;2130;2130;0;0
01053096;Nusse;1148735;1071497;650177;292104;6728;77238;51207;8669;0
01053097;Panten;849534;740119;349378;235056;107044;109415;0;0;0
01053098;Pogeez;958213;538891;473476;43044;3289;419322;84051;0;0
01053099;Poggensee;441065;402594;190668;134520;60261;38471;0;0;0
01053100;Ratzeburg;22345216;19813911;9440778;4621447;578886;2531305;31271;1412601;522750
01053101;Ritzerau;291818;292225;136756;119064;11094;-407;0;0;0
01053102;Römnitz;90842;64142;31085;19416;2795;26700;0;0;0
01053103;Rondeshagen;833016;802516;436631;276924;10577;30500;0;0;0
01053104;Roseburg;718012;700548;350488;131064;153575;17464;7363;0;0
01053105;Sachsenwald;0;0;0;0;0;0;0;0;0
01053106;Sahms;641824;443047;253959;97116;65103;198777;1661;0;0
01053107;Salem;986629;850261;474910;149508;140141;136368;4092;72276;10000
01053108;Sandesneben;2548938;2266789;1128765;746340;191041;282149;7423;73165;10000
01053109;Schiphorst;1171160;678151;318398;187116;94717;493009;0;0;312000
01053110;Schmilau;959039;688021;492731;92376;58325;271018;9022;43975;0
01053111;Schnakenbek;1009565;949565;518705;247824;120067;60000;0;60000;0
01053112;Schönberg;2145790;1571453;874830;444708;138319;574337;0;119637;364000
01053113;Schretstaken;669511;565222;347653;121860;69125;104289;13887;0;0
01053114;Schürensöhlen;367734;167734;99298;32496;25395;200000;0;0;0
01053115;Schulendorf;715126;582422;288596;139896;125700;132704;13169;45000;0
01053116;Schwarzenbek;23914604;22504102;15091431;2829181;519231;1410502;12331;491828;0
01053117;Seedorf;1012256;725956;352419;174228;110778;286300;0;0;200000
01053118;Siebenbäumen;1034498;830462;397910;261792;83711;204036;0;0;168379
01053119;Siebeneichen;335698;329198;150830;101712;67975;6500;0;0;0
01053120;Sierksrade;504864;376544;139916;128532;6069;128320;0;0;0
01053121;Sirksfelde;379268;348216;169634;108924;41078;31052;3943;1191;0
01053122;Steinhorst;1127564;690954;313850;190248;111610;436610;0;50651;0
01053123;Sterley;1130340;1105340;558564;327624;140148;25000;0;0;0
01053124;Stubben;565413;496470;292838;74352;77773;68943;0;0;52513
01053125;Talkau;619944;588453;347535;117408;65399;31491;31491;0;0
01053126;Tramm;522479;340417;221822;70836;32098;182062;3174;1342;0
01053127;Walksfelde;187725;206372;117826;48840;28752;-18647;0;0;0
01053128;Wangelau;271875;271875;135098;55188;51437;0;0;0;0
01053129;Wentorf bei Hamburg;20658706;19648702;13018071;872220;654851;1010004;12941;901619;0
01053130;Wentorf (Amt Sandesneben);1739898;820918;412305;191172;105928;918980;2065;249225;0
01053131;Wiershop;602557;599233;441007;5964;115900;3324;3324;0;0
01053132;Witzeeze;1188944;992732;417672;345768;158819;196212;0;0;0
01053133;Wohltorf;3851369;3001331;2325622;296292;0;850038;0;40424;0
01053134;Woltersdorf;417861;371743;207379;48312;51017;46118;0;0;0
01053135;Worth;298227;197227;103115;34932;38752;101000;0;0;0
01053136;Ziethen;1530712;1328142;534463;373944;163757;202570;94512;20000;0
01054001;Achtrup;2019593;1721148;863800;519540;121297;298445;55353;40935;156872
01054002;Ahrenshöft;579201;550936;387053;41483;36728;28265;11751;16014;0
01054003;Ahrenviöl;756399;739519;545806;14196;71639;16880;3451;12429;0
01054004;Ahrenviölfeld;284567;279549;223255;26268;180;5018;0;5018;0
01054005;Alkersum;992661;603830;439982;23671;52766;388831;0;388831;0
01054006;Almdorf;619480;591666;317452;186931;63991;27814;10592;150;0
01054007;Arlewatt;435706;368013;235175;99784;12199;67693;2060;65602;0
01054009;Aventoft;782598;768956;557135;95964;62021;13642;0;13642;0
01054010;Bargum;1443326;681996;276920;270761;42818;761330;139138;0;521600
01054011;Behrendorf;1240406;1137067;926572;68604;54789;103339;0;5803;0
01054012;Bohmstedt;829702;829456;508364;206565;60769;246;0;0;0
01054013;Bondelum;178301;178301;89137;75564;0;0;0;0;0
01054014;Bordelum;3450533;3283431;1625707;414817;160680;167102;126589;15842;0
01054015;Borgsum;628974;581227;221395;136450;169253;47747;30272;17475;0
01054016;Bosbüll;392448;371821;328456;7764;0;20627;6870;0;0
01054017;Braderup;828782;828062;650287;57780;52994;720;720;0;0
01054018;Bramstedtlund;223711;223711;114571;91848;634;0;0;0;0
01054019;Bredstedt;9380220;6757680;3390005;2332063;142549;2622540;375841;717105;840565
01054020;Breklum;3341572;3068051;1646622;792629;193020;273521;127469;38190;0
01054022;Dagebüll;1763196;1530237;1287085;81324;32873;232959;259;43128;189000
01054023;Drage;301175;285047;231098;19460;0;16128;0;16128;0
01054024;Drelsdorf;1657484;1617260;911206;467365;90062;40224;22770;8197;0
01054025;Dunsum;136233;136233;51438;28008;35553;0;0;0;0
01054026;Elisabeth-Sophien-Koog;212725;212725;154518;31868;13487;0;0;0;0
01054027;Ellhöft;289825;289825;274373;2832;0;0;0;0;0
01054032;Fresendelf;95280;95280;37431;52835;0;0;0;0;0
01054033;Friedrichstadt;5307259;4536971;1715989;2402020;155572;770288;123370;268424;230000
01054034;Friedrich-Wilhelm-Lübke-Koog;1425553;1425553;1192616;11304;10408;0;0;0;0
01054035;Garding, Kirchspiel;467938;425678;214802;156876;17904;42260;23753;0;0
01054036;Garding;5092986;4046298;1718079;1523688;475092;1046688;21790;272396;511616
01054037;Goldebek;377233;370206;142120;189331;2625;7027;0;0;6937
01054038;Goldelund;466599;423706;229087;154341;9309;42893;17676;0;14900
01054039;Gröde;38172;26915;16728;576;8170;11257;0;0;11257
01054040;Grothusenkoog;41131;41131;37812;1152;0;0;0;0;0
01054041;Haselund;1213759;1025185;587822;286800;64170;188574;2555;83364;0
01054042;Hattstedt;3846598;3213488;1515878;1101315;217577;633110;268;217662;413500
01054043;Hattstedtermarsch;366922;366922;203100;142801;0;0;0;0;0
01054045;Högel;542178;513678;258460;203201;12661;28500;0;0;28500
01054046;Hörnum (Sylt);1817835;1681728;1147493;113052;101094;136107;499;0;0
01054048;Holm;90846;90846;42491;39696;0;0;0;0;0
01054050;Hallig Hooge;1310255;859957;93882;370592;200125;450298;0;304066;146232
01054052;Horstedt;821605;819345;482783;208670;56376;2260;0;0;0
01054054;Hude;247929;247529;86052;139711;8514;400;0;0;0
01054055;Humptrup;819405;814683;409013;344532;4922;4722;0;4722;0
01054056;Husum;41527288;39309388;21244130;4917228;1649954;2217900;1255349;265048;0
01054057;Immenstedt;788476;764251;310723;304128;74302;24225;9778;14447;0
01054059;Joldelund;858446;820540;359418;340273;58542;37906;28465;0;0
01054061;Kampen (Sylt);4264952;3554752;3216509;31644;33448;710200;78108;0;600000
01054062;Karlum;232343;229510;105568;96444;103;2833;0;2833;0
01054063;Katharinenheerd;188190;163190;90498;58524;0;25000;0;0;0
01054065;Klanxbüll;2087286;1705489;1053305;118428;269320;381797;218842;48732;0
01054068;Klixbüll;1524470;1426037;855662;326580;89446;98433;2189;96244;0
01054070;Koldenbüttel;917393;913831;516071;355573;3164;3562;0;0;0
01054071;Kolkerheide;52331;52331;14118;34711;0;0;0;0;0
01054072;Kotzenbüll;223277;223277;112090;94584;2203;0;0;0;0
01054073;Ladelund;1896052;1834751;707797;582548;232727;61301;9036;52265;0
01054074;Langeneß;697812;646998;82148;307588;142903;50814;0;800;50014
01054075;Langenhorn;4940130;4553510;2851448;891726;258338;386620;237976;56029;0
01054076;Leck;13926522;9624906;4286881;2591436;113123;4301616;377144;1139625;2400216
01054077;Lexgaard;52614;52614;23534;23844;0;0;0;0;0
01054078;List;3261209;3218450;2613602;258264;7672;42759;-14177;0;0
