GENESIS-Tabelle: 71517-01-03-5-B
Bruttoeinnahmen der Gemeinden - Jahressumme -;;;;;;;;;;
regionale Ebenen;;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;;
2014;;;;;;;;;;
;;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden
;;;Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden)
;;;Einnahmen des Verwaltungshaushalts, insgesamt;Steuern und steuerähnliche Einnahmen;allgem. Zuweisung,Umlagen v.Bund,Land,Gemeinden/GV;Gebühren und zweckgebundene Abgaben;Einnahmen des Vermögenshaushalts, insgesamt;Beiträge und ähnliche Entgelte;Zuweisungen, Zuschüsse f.Investitionsförderungen..;Kredite und innere Darlehen
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
08426135;Gutenzell-Hürbel;3965246;3158877;1155060;1012668;458774;806369;66369;310000;430000
08435005;Bermatingen;6676557;5581261;2857395;1398196;690579;1095296;307014;80600;0
08435010;Daisendorf;2707101;2672872;1272208;762655;321619;34229;15;0;0
08435013;Eriskirch;8242254;7698288;4314367;2143272;587647;543966;130584;412361;0
08435015;Frickingen;5504685;4706979;2419165;1079514;400964;797706;50005;487104;0
08435016;Friedrichshafen, Stadt;152111866;145537810;90465869;20210022;6594808;6574056;210978;2117721;671027
08435018;Hagnau am Bodensee;3344331;3149069;1556235;404475;553932;195262;0;178042;0
08435020;Heiligenberg;4834587;4434726;1798687;1790541;97530;399861;6486;85035;0
08435024;Immenstaad am Bodensee;15550414;15188465;9653730;1215901;2296652;361949;21774;134811;0
08435029;Kressbronn am Bodensee;21407195;16892445;8896471;3376272;1199628;4514750;390;4200777;0
08435030;Langenargen;15254584;14953737;9210360;3093569;812611;300847;0;194759;100000
08435034;Markdorf, Stadt;32520564;31342212;21666192;3954169;1394198;1178352;79130;851672;0
08435035;Meckenbeuren;30079052;25805585;17742398;4008510;900547;4273467;137545;120263;1383339
08435036;Meersburg, Stadt;12705691;12530615;5750841;2221602;2812419;175076;0;171639;0
08435042;Neukirch;6423041;4339798;2020997;1319198;390432;2083243;432259;153009;0
08435045;Oberteuringen;7869712;7444767;4607645;1405776;251515;424945;0;46130;0
08435047;Owingen;9462157;7174180;3274806;1770426;1028226;2287977;22547;538792;0
08435052;Salem;22558452;20059891;10160365;4783627;2062799;2498561;321053;538922;0
08435053;Sipplingen;4622367;4413419;1751805;1028504;574540;208948;125048;74800;0
08435054;Stetten;1756795;1511925;651932;462972;243564;244870;0;4870;240000
08435057;Tettnang, Stadt;50605111;40225959;25377536;6044978;3301441;10379152;834998;1411407;900000
08435059;Überlingen, Stadt;57760166;54506186;26262522;9056010;8066787;3253980;1045117;378175;0
08435066;Uhldingen-Mühlhofen;18479774;13933246;6980231;4184120;928363;4546528;7872;247142;0
08435067;Deggenhausertal;9576710;7863742;3631066;1769420;1331256;1712968;96833;730997;700000
08436001;Achberg;2672618;2654641;1332334;716847;317829;17977;8838;1000;0
08436003;Aichstetten;6343974;4768725;2549306;1029198;505194;1575249;679842;255358;0
08436004;Aitrach;4838237;4656172;2813341;690336;551623;182065;56715;1900;0
08436005;Altshausen;9454901;8936753;4394610;1744611;1208006;518148;2733;349526;143000
08436006;Amtzell;7323867;6506041;3087165;970757;795996;817826;93814;198500;101400
08436008;Aulendorf, Stadt;30972170;18631221;9580243;5799743;780430;12340949;29766;1185417;10471369
08436009;Bad Waldsee, Stadt;41045785;38197782;17794792;11551877;2239208;2848003;68285;1475495;0
08436010;Bad Wurzach, Stadt;28855661;27195391;13120425;7380893;1600864;1660270;0;343123;0
08436011;Baienfurt;17970159;12418705;6772986;2529542;991864;5551454;880737;332410;0
08436012;Baindt;11554163;8012947;3999552;2318817;435727;3541216;249907;47942;0
08436013;Berg;7857496;6302317;4151065;464839;948139;1555179;9558;-56239;0
08436014;Bergatreute;5365343;4581923;2071338;1562403;339115;783420;162424;254597;0
08436018;Bodnegg;7440876;5969574;2621547;1203611;798867;1471302;395530;205771;50000
08436019;Boms;1947953;1248086;400894;426124;185219;699867;4811;49896;496000
08436024;Ebenweiler;2475778;1967872;797022;700530;220103;507906;260232;0;100000
08436027;Eichstegen;917901;900483;403917;285000;144752;17418;5238;10000;0
08436032;Fleischwangen;1331253;1033692;341289;326167;186076;297561;113154;0;0
08436039;Grünkraut;9122848;5808265;4126525;568551;333973;3314583;598656;253209;0
08436040;Guggenhausen;289898;260817;115176;92716;31950;29081;21581;7500;0
08436047;Hoßkirch;1876555;1258008;559249;335394;241727;618547;6906;0;0
08436049;Isny im Allgäu, Stadt;32976205;30046669;15094763;5899267;3822447;2929536;402631;505494;900000
08436052;Kißlegg;17882946;16719210;7457484;4297853;2406031;1163736;71788;578754;0
08436053;Königseggwald;1401320;1090145;438059;341676;196994;311175;109017;5700;0
08436055;Leutkirch im Allgäu, Stadt;48155713;39949462;20121909;10535533;1903902;8206251;2402336;617621;0
08436064;Ravensburg, Stadt;116195994;104686347;64095068;17504051;8172713;11509647;1555685;3521176;0
08436067;Riedhausen;1898362;1162499;415483;430985;129341;735863;7192;428671;300000
08436069;Schlier;6390270;6202313;2993595;1496665;931656;187957;11148;9600;0
08436077;Unterwaldhausen;664634;459414;176464;159699;60749;205220;10149;195071;0
08436078;Vogt;8578778;7320368;4113652;1656516;969197;1258410;140382;497332;0
08436079;Waldburg;8573480;5914189;2911962;1235808;892908;2659291;430539;459000;700000
08436081;Wangen im Allgäu, Stadt;56305246;54072745;26894194;12809997;4309593;2232501;202359;478961;0
08436082;Weingarten, Stadt;52110866;45357371;25081197;11003307;2500215;6753495;1091241;35617;447764
08436083;Wilhelmsdorf;9342852;8138655;2945060;2904577;431420;1204197;182400;550917;200000
08436085;Wolfegg;7317720;5774840;2592308;1817045;591260;1542880;207276;393419;0
08436087;Wolpertswende;6313882;6213310;2975417;1931745;607797;100572;22689;28124;0
08436093;Ebersbach-Musbach;4771393;2956863;1068989;1015072;502094;1814530;25230;489300;1300000
08436094;Argenbühl;13023560;10439887;4085377;3458204;1064526;2583673;551009;284217;0
08436095;Horgenzell;12205155;8686809;3484963;3099533;881501;3518346;394782;187757;0
08436096;Fronreute;8248313;7214704;3440182;2121546;908907;1033609;48179;319496;0
08437005;Beuron;1762404;1465697;486720;431295;345043;296707;7285;275547;0
08437008;Bingen;5930579;5432878;2252741;1173877;599144;497701;25229;303892;0
08437031;Gammertingen, Stadt;15398130;14213018;5139663;2973226;2126511;1185112;91765;874048;0
08437044;Herbertingen;10745441;9070683;5898256;1596838;220049;1674758;875336;328598;0
08437047;Hettingen, Stadt;6067816;4401390;2497944;261818;693425;1666426;225893;1303002;0
08437053;Hohentengen;9369728;7333682;3791163;1729112;1105726;2036046;395431;665938;500000
08437056;Illmensee;3418013;2659237;1166859;682819;406625;758776;73637;108821;0
08437059;Inzigkofen;4136377;3695322;2020165;1428095;575852;441055;94161;57500;0
08437065;Krauchenwies;10052700;8533561;5170761;1696094;209826;1519139;278793;603129;0
08437072;Leibertingen;5459936;4467484;1572855;1180594;726056;992452;19905;474617;350000
08437076;Mengen, Stadt;22721772;20555736;10465820;4267548;675426;2166036;187541;1090642;0
08437078;Meßkirch, Stadt;18456549;15265738;6553844;4055237;503636;3190811;6000;754546;0
08437082;Neufra;4166921;3640984;1623568;744689;517297;525937;3890;481500;0
08437086;Ostrach;11852451;10070915;5318403;2782924;313413;1781536;57508;467466;0
08437088;Pfullendorf, Stadt;30078814;27164701;17677992;2380005;998554;2914113;801958;355035;0
08437100;Bad Saulgau, Stadt;36592042;32166246;19058640;6720361;1290367;4425796;581866;1313748;0
08437101;Scheer, Stadt;3861125;3788401;2008005;978314;116643;72724;0;70044;0
08437102;Schwenningen;2916813;2321194;938638;797747;72537;595619;47649;440789;0
08437104;Sigmaringen, Stadt;34342412;32404837;13861228;8434248;1464078;1937575;320610;670128;0
08437105;Sigmaringendorf;10303701;9650861;7004484;958922;668998;652840;161928;256611;0
08437107;Stetten am kalten Markt;9216457;8321120;3574011;2539886;571153;895337;0;402900;0
08437114;Veringenstadt, Stadt;5110425;4328205;1516043;1209239;556157;782220;-27470;674603;130000
08437118;Wald;4995222;4666529;1895705;1391235;858905;328693;13538;75000;0
08437123;Sauldorf;4887221;4688698;2058595;1163522;466006;198523;94613;60000;0
08437124;Herdwangen-Schönach;5704196;5330893;2387494;1299205;851585;373303;108406;31176;0
09161000;Ingolstadt;446483390;414470459;264186888;17303343;23470085;32012931;1503963;9817935;0
09162000;München, Landeshauptstadt;6348750564;5814809906;3423381395;375837069;240599608;533940658;20771056;74920673;0
09163000;Rosenheim;189692739;148215452;75484950;20090009;11971507;41477287;1440024;7981943;30670949
09171111;Altötting, St;25980063;22341663;11496712;2611652;2704809;3638400;115220;950416;1789000
09171112;Burghausen, St;83706216;74921719;66053990;1705019;799894;8784497;579378;1629243;865000
09171113;Burgkirchen a.d.Alz;28415843;19864141;14608797;854013;519290;8551702;280822;716285;4389659
09171114;Emmerting;8272093;6592525;3107821;1468308;529300;1679568;167353;182686;765000
09171115;Erlbach;3044416;1795876;690274;587163;78675;1248540;152136;608700;0
09171116;Feichten a.d.Alz;2516297;2237525;1001039;397430;195578;278771;6777;275413;0
09171117;Garching a.d.Alz;13184724;11257528;5462724;3026805;1187552;1927196;110727;222973;0
09171118;Haiming;6391825;4342886;3402520;203714;223634;2048939;39743;161500;0
09171119;Halsbach;2026373;1784514;740758;289620;56698;241859;23753;159800;0
09171121;Kastl;5885940;4150996;2684196;500436;389127;1734944;255763;123073;400000
09171122;Kirchweidach;6093652;3579500;2090869;478994;114093;2514152;382840;137544;500000
09171123;Marktl, M;6274186;4466230;2719066;811837;333659;1807957;375698;147129;550000
09171124;Mehring;5565966;5179026;3487232;462598;295194;386940;81536;304299;0
09171125;Neuötting, St;15198657;12612094;6832099;2104873;1798425;2586563;285335;343588;600000
09171126;Perach;2939560;2116686;769280;775137;133663;822874;118357;580350;0
09171127;Pleiskirchen;4723249;3319699;2271196;411099;250384;1403550;158524;160691;0
09171129;Reischach;5277032;4067068;1970387;976431;285576;1209965;91524;224750;0
09171130;Stammham;1551255;1428365;624950;451122;144058;122889;1;120750;0
09171131;Teising;2830070;2439327;1522804;386925;225896;390743;89410;120750;0
09171132;Töging a.Inn, St;17674407;14488861;8563821;1883685;2453150;3185546;138850;337446;0
09171133;Tüßling, M;5437914;4813911;2497698;908371;496504;624003;149098;412289;0
09171134;Tyrlaching;2427005;1442968;539574;405533;43119;984038;139599;475050;0
09171135;Unterneukirchen;6783845;4477120;2757565;697751;321034;2306725;742797;1181660;200000
09171137;Winhöring;9881532;7250208;4049716;1179869;1009604;2631324;601448;1063511;0
09172111;Ainring;14893713;14465363;10314334;642259;1660401;428350;92879;193528;0
09172112;Anger;7317849;5850293;2823939;1516940;789875;1467556;213292;558533;0
09172114;Bad Reichenhall, GKSt;41191660;32667258;14893528;5319977;8180461;8524402;88973;1788787;4192000
09172115;Bayerisch Gmain;5974843;5306251;2020106;1104718;983757;668592;175113;383599;0
09172116;Berchtesgaden, M;24981760;17523558;6987741;1844332;5298989;7458202;113487;2682425;1700000
09172117;Bischofswiesen;13099872;11794818;5650550;2098894;2490965;1305054;349481;382340;0
09172118;Freilassing, St;25809270;23451518;13932688;2751807;3405835;2357752;462898;763340;641000
09172122;Laufen, St;19020579;10082111;3979015;2098939;2382919;8938468;403086;1715701;4350000
09172124;Marktschellenberg, M;6213551;3183664;1083259;855073;710317;3029887;139105;2222187;576500
09172128;Piding;8620724;8196454;3504092;1534471;2241051;424270;65585;291892;0
09172129;Ramsau b.Berchtesgaden;4743596;4195483;1198859;728083;1888994;548113;15119;183136;193000
09172130;Saaldorf-Surheim;12580993;7783997;5092920;909814;849295;4796996;334830;550706;0
09172131;Schneizlreuth;3162000;2601864;1208853;664465;489993;560136;0;114893;0
09172132;Schönau a.Königssee;13298926;11987943;4878568;1442480;3942979;1310983;221453;426815;0
09172134;Teisendorf, M;18404537;12980300;5935985;3363418;1496130;5424237;642552;1401261;1000000
09172444;Gem.fr. Geb. Berchtesgadener Land;0;0;0;0;0;0;0;0;0
09173111;Bad Heilbrunn;6569696;5720135;3333207;1043395;240487;849561;0;125750;0
09173112;Bad Tölz, St;41783298;38140874;18976803;3451122;6362437;3642424;207877;1374821;0
09173113;Benediktbeuern;9841825;6445266;2629826;1205707;861904;3396559;96846;243568;2197359
09173115;Bichl;5234391;3593417;1589296;874567;449999;1640974;85509;824467;377252
09173118;Dietramszell;10413644;8573899;4715438;1158163;1403886;1839745;-174605;295433;0
09173120;Egling;7560468;7119758;5232876;749998;263505;440710;0;424827;0
09173123;Eurasburg;9577436;7185114;5116934;432399;769125;2392322;124636;1107050;0
09173124;Gaißach;5427280;4619573;2334621;802980;484497;807707;43494;229146;0
09173126;Geretsried, St;40752839;36960961;25237452;4088142;1075202;3791878;150799;878576;1400000
09173127;Greiling;2557805;2328099;1291053;440714;232331;229706;28418;189788;0
09173130;Icking;6696376;6531554;4162088;385750;1001841;164822;34948;123737;0
09173131;Jachenau;1547356;1130958;437188;330941;156645;416398;3862;158750;0
09173133;Kochel a.See;7793248;7498744;3443867;2007190;922015;294504;72274;134774;0
09173134;Königsdorf;5375183;4789401;3152843;296496;599164;585782;114727;416455;0
09173135;Lenggries;16637257;14361677;7802849;3100247;1616772;2275580;131676;736371;0
09173137;Münsing;11014571;8200447;4954245;727105;1357218;2814124;191100;389608;0
09173140;Reichersbeuern;3702800;3505302;1867663;636867;366405;197498;67991;129507;0
09173141;Sachsenkam;2529591;2138852;1338412;259371;190887;390739;49635;208704;0
09173142;Schlehdorf;2031280;1854452;804017;570295;182795;176828;35078;120750;0
09173145;Wackersberg;11229129;5418011;2268305;1253492;678334;5811118;156224;173936;0
09173147;Wolfratshausen, St;32312834;31415553;23260274;1755933;1620129;897281;21000;778679;0
09173444;Gem.fr. Geb. Bad Tölz-Wolfratshausen;0;0;0;0;0;0;0;0;0
09174111;Altomünster, M;15549168;10856304;6228562;1843710;1377316;4692864;590387;448655;2980000
09174113;Bergkirchen;22392162;14062937;9621402;688987;1590080;8329225;767974;1648720;1290000
09174115;Dachau, GKSt;92773345;80048256;54493066;7368177;2872925;12725089;449113;2913213;0
09174118;Erdweg;8709160;7348896;4430078;962033;733085;1360264;84796;355512;500000
09174121;Haimhausen;14628381;8058287;5440586;536815;1030825;6570094;194130;252181;0
09174122;Hebertshausen;11404488;8435338;4972544;920603;1246669;2969150;230850;311750;510624
09174126;Karlsfeld;33892499;30670299;21269744;2561202;1465654;3222200;51000;885927;0
09174131;Markt Indersdorf, M;14681631;14040057;8903265;1290432;1533347;641574;136428;438090;48419
09174135;Odelzhausen;14045849;9190678;5763466;993580;1048552;4855171;222206;627889;0
09174136;Petershausen;11016483;8654506;6499749;846402;122332;2361977;311500;454525;0
09174137;Pfaffenhofen a.d.Glonn;7461168;3499414;1984432;391725;560795;3961754;236073;230198;0
09174141;Röhrmoos;11443477;8416333;5072369;1295505;864056;3027144;35117;284750;0
09174143;Schwabhausen;10005726;8588190;5603537;1129488;1110765;1417536;626330;617205;0
09174146;Sulzemoos;7386266;5516114;3351673;518737;545913;1870152;419739;323136;0
09174147;Hilgertshausen-Tandern;6145593;4283195;2701089;654871;251224;1862398;669713;145443;298235
09174150;Vierkirchen;8856211;6568017;4478742;352172;578668;2288194;214250;339850;1370000
09174151;Weichs;6282231;4336779;2790157;659145;341822;1945452;130659;129270;0
09175111;Anzing;12884581;6199614;4267088;393751;362265;6684967;600946;112140;3000000
09175112;Aßling;7113598;6909338;3966208;1405322;33974;204260;0;200066;0
09175113;Baiern;5103396;2174938;1027338;336349;279653;2928458;112495;533160;0
09175114;Bruck;3783788;1780661;808686;433813;215920;2003127;54025;348750;0
09175115;Ebersberg, St;36107416;25650907;15912527;1239967;3995036;10456509;517911;2481556;3500000
09175116;Egmating;4787084;3659993;2171531;507646;315234;1127091;2004;230250;0
09175118;Forstinning;9944806;6038954;4557038;368909;291916;3905852;3827;104108;0
09175119;Frauenneuharting;3312477;3290695;1017640;873628;464071;21782;11831;5267;0
09175121;Glonn, M;11516832;8692534;4243966;1371193;1269836;2824297;222334;886647;600000
09175122;Grafing b.München, St;22548926;19057440;13058677;1554799;1307285;3491486;42636;1478222;0
09175123;Hohenlinden;12213617;5180849;3113804;225868;687660;7032768;217526;99850;0
09175124;Kirchseeon, M;17132346;13763192;8306795;1907576;1015507;3369154;1110100;269250;0
09175127;Markt Schwaben, M;30294920;23965937;14332868;1661652;3691167;6328983;139359;1012388;4319827
09175128;Moosach;3577316;2789689;1495113;383209;316407;787627;6847;307313;0
09175131;Oberpframmern;7470848;5937283;4191564;437461;356731;1533565;6655;81250;0
09175132;Vaterstetten;45281961;40567503;27445238;3421886;2499227;4714458;135973;669753;1000000
09175133;Pliening;13495299;9617379;7240963;614599;503223;3877920;0;94250;0
09175135;Poing;42619278;31334225;22500595;2169077;1275645;11285053;3027075;814502;0
09175136;Emmering;2518745;2381024;893605;859453;316374;137721;43868;93624;0
09175137;Steinhöring;8513945;6110412;3310215;748421;1030181;2403533;89346;540250;330000
09175139;Zorneding;19177418;13815558;9401112;1017394;897090;5361860;0;130913;0
09175444;Gem.fr. Geb. Ebersberg;0;0;0;0;0;0;0;0;0
09176111;Adelschlag;4890187;4314727;2055217;1018904;571414;575460;62235;199269;0
09176112;Altmannstein, M;16000541;9299962;5002938;1923177;816368;6700579;456867;906880;650000
09176114;Beilngries, St;24059721;14054020;8592380;1655819;1959674;10005701;1740866;3824295;0
09176116;Böhmfeld;4280371;2314327;1315280;431583;265359;1966044;32602;354524;0
09176118;Buxheim;11463674;5149300;2731402;791373;750945;6314374;111303;285569;0
09176120;Denkendorf;10680288;6592136;4051363;460600;876394;4088152;333610;121800;0
09176121;Dollnstein, M;4431256;4136891;2008851;802611;674495;294365;35062;166838;0
09176122;Egweil;1757350;1545470;804099;383993;162365;211880;81139;130741;0
09176123;Eichstätt, GKSt;27668109;21134731;12746570;3153302;1504593;6533378;97484;799595;3719000
09176124;Eitensheim;8874003;4504766;2307031;813616;546972;4369237;93333;134874;0
09176126;Gaimersheim, M;30586714;29731027;23070786;1055097;1932513;855687;71781;600805;0
09176129;Großmehring;17207356;12182761;6846624;2253980;1643532;5024595;1870883;450516;0
09176131;Hepberg;3595506;3199607;2128630;364469;177671;395899;32398;326937;0
09176132;Hitzhofen;7985868;3718519;2198490;723669;302525;4267349;204704;126541;1000000
09176137;Kinding, M;4813989;3841749;2232894;533825;352705;972240;177169;138289;0
09176138;Kipfenberg, M;15273757;11028335;5623950;931006;2220454;4245422;320974;385676;0
09176139;Kösching, M;21991119;16213272;9027037;1328989;2104755;5777847;113624;1635412;257000
09176143;Lenting;11138546;8288625;5887166;356673;423266;2849921;86269;1084085;1000000
09176147;Mindelstetten;3627296;2772940;1765758;305749;160112;854356;9335;411523;0
09176148;Mörnsheim, M;3147594;2609471;961672;577339;354101;538123;39156;168081;0
09176149;Nassenfels, M;4672400;3050709;1477571;671572;360572;1621691;64433;173466;1000000
09176150;Oberdolling;2704882;2073652;1233453;274143;219329;631230;99534;524168;0
09176153;Pförring, M;9836795;5760378;3478927;730975;499838;4076417;246834;1023763;0
09176155;Pollenfeld;6577277;3602425;1922566;813235;245868;2974853;174734;287987;0
09176160;Schernfeld;5850881;3883709;2142203;788812;287602;1967173;8343;693114;0
09176161;Stammham;6985495;5363522;3262936;701758;622566;1621973;21855;814250;0
09176164;Titting, M;6771077;3787011;2442860;152000;272544;2984066;85824;112671;0
09176165;Walting;4716805;2820486;1456265;819306;108214;1896319;0;160476;0
09176166;Wellheim, M;4390777;3620607;1694439;906932;392784;770170;143357;137619;0
09176167;Wettstetten;8648034;7209732;4977603;651592;642052;1438302;24052;107750;0
09176444;Gem.fr. Geb. Eichstätt;0;0;0;0;0;0;0;0;0
09177112;Berglern;5869666;4418271;2218082;734440;295460;1451395;197847;385750;0
09177113;Bockhorn;7607573;5066871;2997715;842022;380036;2540702;81302;236555;0
09177114;Buch a.Buchrain;2579384;2400236;1144795;561783;300067;179148;52098;126092;0
09177115;Dorfen, St;25021181;21308893;11634799;3560803;1886245;3712288;286290;3210118;0
09177116;Eitting;5094815;3656733;2349618;682734;22900;1438082;101778;155050;0
09177117;Erding, Große Kreisstadt;78384151;72882977;47351461;9101928;6078728;5501174;250357;3118945;0
09177118;Finsing;14281554;7271778;4624421;607275;239055;7009776;160256;921242;2670000
09177119;Forstern;8198590;5280975;3351862;378270;559619;2917615;4548;225750;1000000
09177120;Fraunberg;7606325;4856465;3019936;770555;400216;2749860;207796;460151;800000
09177121;Hohenpolding;5952104;2186444;1094611;613665;140789;3765661;77454;385950;2800000
09177122;Inning a.Holz;3496026;2385223;1116382;607340;308903;1110804;24354;166300;200000
09177123;Isen, M;10681292;7651733;5319143;729547;141199;3029559;47535;163102;610000
09177124;Kirchberg;2627367;1843799;1138461;333912;132767;783568;29444;145629;0
09177126;Langenpreising;10990637;7745174;2144425;910116;3759138;3245463;822825;163654;150000
09177127;Lengdorf;5037489;3837190;2091836;631616;672877;1200299;46030;120750;0
09177130;Moosinning;8270209;7981918;5889074;738613;147727;288291;10233;117688;0
09177131;Neuching;5376940;3988864;2454239;682976;239008;1388076;378027;246300;750000
09177133;Oberding;41771586;36474148;31747386;1307885;261035;5297438;3025;45410;0
09177134;Ottenhofen;3523243;2970814;1741885;635273;135111;552429;24991;224958;300000
09177135;Pastetten;7696694;4598347;2436894;860582;419292;3098347;17048;216788;1899619
09177137;Sankt Wolfgang;8040459;6398910;4419293;652426;488714;1641549;190769;719300;0
09177138;Steinkirchen;2876482;1932787;1201469;411484;118001;943695;45174;560511;102000
09177139;Taufkirchen (Vils);17865151;17004500;9668954;2298549;2301368;860651;117321;321566;0
09177142;Walpertskirchen;4728265;3304523;1770576;618255;255849;1423742;233514;307625;0
09177143;Wartenberg, M;11622473;8844217;4579803;1302140;904259;2778256;814566;332772;700000
09177144;Wörth;13049076;10490352;5765597;777064;672243;2558724;69806;393225;0
09178113;Allershausen;12133832;10205585;6702304;1052792;956837;1928247;96870;122441;0
09178115;Attenkirchen;5815292;4382568;2255491;999145;459187;1432724;345807;413397;0
09178116;Au i.d.Hallertau, M;12033153;8507171;5368754;886387;1009567;3525982;867491;822306;400000
09178120;Eching;32386355;28817707;21473751;1292351;1220647;3568648;25492;2667556;0
09178122;Rudelzhausen;5085690;4658698;2791354;740752;459870;426992;36474;306355;0
09178123;Fahrenzhausen;17103890;8265308;5962135;451385;711852;8838582;75505;134250;0
09178124;Freising, GKSt;128888137;103856074;72508667;6311698;5649071;25032063;3460965;6949163;0
09178125;Gammelsdorf;2920940;2048330;1130529;514237;133856;872610;276396;325188;0
09178129;Haag a.d.Amper;4914859;4221885;2236944;815023;467080;692975;163453;165101;0
09178130;Hallbergmoos;43294940;38870014;32635043;919450;1175380;4424926;80197;961750;0
09178132;Hörgertshausen;3811862;2906654;1638957;667258;242125;905208;226470;317352;0
09178133;Hohenkammer;13119625;5765921;2360872;322705;679548;7353704;1846114;408850;0
09178136;Kirchdorf a.d.Amper;5521078;4194858;2511101;539115;544686;1326220;213087;220750;0
09178137;Kranzberg;9296242;6089484;3875635;564977;794966;3206758;2569;308455;0
09178138;Langenbach;11761001;7185632;4965202;352475;1034554;4575369;1032286;516926;0
09178140;Marzling;7699415;4738653;2859451;390223;828855;2960762;308395;412280;0
09178142;Mauern;5699875;4411964;2333239;965433;459893;1287911;137403;761091;0
09178143;Moosburg a.d.Isar, St;40251558;32412676;21025649;2731431;3734991;7838882;1254916;686861;772229
09178144;Nandlstadt, M;12576585;6342040;3476282;1368770;725320;6234545;95780;965744;0
09178145;Neufahrn b.Freising;34905017;28263107;20801278;2717635;726209;6641910;779696;509436;600000
09178150;Paunzhausen;3233037;2246854;1173750;513088;203621;986183;0;125750;0
09178155;Wang;5269070;4264188;2698631;423015;417126;1004882;270441;274214;0
09178156;Wolfersdorf;4069659;3651680;1824074;869467;407042;417979;72580;159365;0
09178157;Zolling;11454562;8250795;4873202;875731;988084;3203767;52078;284573;0
09179111;Adelshofen;2626637;2492516;1413524;535685;74993;134121;0;128634;0
09179113;Alling;8787643;6114922;4688346;333402;383350;2672721;96582;480606;0
09179114;Althegnenberg;4810757;2688433;1368717;733786;347120;2122324;38773;192530;0
09179117;Egenhofen;8283689;4143913;2682729;571614;237658;4139776;670022;1013877;0
09179118;Eichenau;18943333;16659615;12579926;1548586;715451;2283718;837829;137803;0
09179119;Emmering;11321749;9120016;5788543;1265481;646980;2201733;440743;366237;0
09179121;Fürstenfeldbruck, GKSt;74981532;64704186;43168842;5656304;6093564;10277346;403404;2237948;7547900
09179123;Germering, GKSt;76993442;70372644;41298029;14699040;2697701;6620798;1529167;1326695;2958571
09179125;Grafrath;6864317;6505113;3900321;1054848;484971;359204;105312;119726;0
09179126;Gröbenzell;32981993;29938956;21740496;2220769;1104781;3043037;398089;2309375;333325
09179128;Hattenhofen;2671984;2237960;1111585;503119;198160;434024;59479;312752;0
09179130;Jesenwang;2453002;1834028;1189775;514980;18675;618974;35638;212076;0
09179131;Kottgeisering;2365594;2205646;1218157;583774;105442;159949;32833;126783;0
09179132;Landsberied;3327570;2162235;1275121;401959;66606;1165335;0;146612;0
09179134;Maisach;28299168;21785832;15436488;1201888;982829;6513336;795613;962184;0
09179136;Mammendorf;9417857;8745018;5041930;913350;1231712;672840;98770;172343;0
09179137;Mittelstetten;3107700;2525542;1289891;605968;240778;582158;105362;458804;0
09179138;Moorenweis;5659985;5309333;3299162;648522;690134;350652;96750;134833;0
09179140;Oberschweinbach;2354301;1993205;1251745;535419;49266;361095;7064;321126;0
09179142;Olching, St;45845236;38210252;25739091;5606076;2285835;7634984;1097039;1100777;3064105
09179145;Puchheim, St;37113925;35914094;27185395;1852688;0;1199831;0;722321;471800
09179147;Schöngeising;3376124;3132810;1483717;731453;457953;243314;5824;235073;0
09179149;Türkenfeld;8143527;6176801;3395000;590626;770012;1966726;68456;748150;150000
09180112;Bad Kohlgrub;5288488;4856815;1759596;1031140;1205308;431673;53784;204361;0
09180113;Bad Bayersoien;2791345;2201647;848377;494658;550927;589698;105178;220846;0
09180114;Eschenlohe;3138497;2715186;1577210;411918;287581;423311;85260;306159;0
09180115;Ettal;1631121;1432231;542566;413028;342176;198890;9922;120750;0
09180116;Farchant;9716297;6068023;3244899;969265;1148922;3648274;151771;334150;2000000
09180117;Garmisch-Partenkirchen, M;64229951;57519453;28412666;10798114;9017807;6710498;540228;827667;650000
09180118;Grainau;8273605;7798731;3222577;1222363;2509812;474874;98074;248720;128080
09180119;Großweil;3377496;2121935;972296;595161;285177;1255561;174047;293348;170000
09180122;Krün;5627026;5032923;2260940;457651;1512407;594103;38879;128013;0
09180123;Mittenwald, M;14520457;12792668;5715619;2685920;2060814;1727789;303385;403924;127000
09180124;Murnau a.Staffelsee, M;29129883;22260136;14571263;1122255;2212166;6869747;26;1768677;666000
09180125;Oberammergau;12051691;8892399;3180552;1175874;2437694;3159292;918976;160500;2000000
