GENESIS-Tabelle: 14339-01-02-5
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.09.2013;09177116;Eitting;1844;61,7;1124;611;118;118;24;14;241
15.09.2013;09177117;Erding, Große Kreisstadt;24940;64,6;15783;7571;2945;1563;460;359;2886
15.09.2013;09177118;Finsing;3239;68,0;2176;1158;329;136;72;28;454
15.09.2013;09177119;Forstern;2339;72,1;1666;930;230;103;43;14;347
15.09.2013;09177120;Fraunberg;2639;71,8;1877;1113;188;132;34;17;395
15.09.2013;09177121;Hohenpolding;1083;71,2;763;473;66;31;15;8;170
15.09.2013;09177122;Inning a.Holz;1132;72,3;809;489;84;50;12;14;161
15.09.2013;09177123;Isen, M;4155;71,7;2932;1477;399;260;73;57;667
15.09.2013;09177124;Kirchberg;759;69,8;523;303;56;49;8;3;104
15.09.2013;09177126;Langenpreising;2027;67,4;1347;671;179;139;18;25;317
15.09.2013;09177127;Lengdorf;2107;69,2;1436;691;144;141;35;19;407
15.09.2013;09177130;Moosinning;4114;68,7;2783;1554;403;179;85;25;539
15.09.2013;09177131;Neuching;1908;66,6;1253;677;207;87;30;17;236
15.09.2013;09177133;Oberding;4048;68,3;2736;1558;311;211;72;42;543
15.09.2013;09177134;Ottenhofen;1420;77,0;1078;525;188;108;27;14;217
15.09.2013;09177135;Pastetten;1839;70,0;1267;667;180;100;25;24;272
15.09.2013;09177137;Sankt Wolfgang;3234;70,8;2250;1357;212;163;39;20;460
15.09.2013;09177138;Steinkirchen;951;71,7;671;397;68;30;14;4;159
15.09.2013;09177139;Taufkirchen (Vils);6976;67,6;4650;2532;518;242;64;66;1229
15.09.2013;09177142;Walpertskirchen;1525;71,7;1079;576;136;99;43;12;214
15.09.2013;09177143;Wartenberg, M;3715;68,1;2482;1191;395;239;49;38;571
15.09.2013;09177144;Wörth;3308;74,1;2418;1086;448;321;72;38;454
15.09.2013;09178113;Allershausen;3667;67,5;2458;1208;296;308;75;31;542
15.09.2013;09178115;Attenkirchen;1896;65,9;1228;515;153;222;25;27;287
15.09.2013;09178116;Au i.d.Hallertau, M;4259;66,3;2789;1563;284;251;55;33;604
15.09.2013;09178120;Eching;9427;68,5;6377;2875;1359;868;226;109;941
15.09.2013;09178122;Rudelzhausen;2468;70,1;1705;1017;164;119;34;21;351
15.09.2013;09178123;Fahrenzhausen;3404;68,6;2309;937;294;397;46;32;604
15.09.2013;09178124;Freising, GKSt;31530;67,5;20939;5895;3220;6591;512;421;4302
15.09.2013;09178125;Gammelsdorf;1100;70,0;754;492;56;66;6;20;115
15.09.2013;09178129;Haag a.d.Amper;2110;69,2;1441;613;159;283;30;20;337
15.09.2013;09178130;Hallbergmoos;6666;61,6;4052;1871;572;435;84;68;1023
15.09.2013;09178132;Hörgertshausen;1473;66,4;953;544;96;106;19;14;175
15.09.2013;09178133;Hohenkammer;1768;71,9;1258;673;169;141;39;21;216
15.09.2013;09178136;Kirchdorf a.d.Amper;2136;72,0;1522;764;130;234;32;21;342
15.09.2013;09178137;Kranzberg;3126;72,4;2235;849;236;502;55;24;570
15.09.2013;09178138;Langenbach;2914;70,1;2019;857;314;347;41;31;431
15.09.2013;09178140;Marzling;2269;73,6;1653;543;212;505;39;20;335
15.09.2013;09178142;Mauern;2140;71,3;1506;767;175;161;38;26;341
15.09.2013;09178143;Moosburg a.d.Isar, St;12269;66,1;8006;3533;1351;1200;158;210;1556
15.09.2013;09178144;Nandlstadt, M;3704;65,7;2395;1296;281;251;54;64;450
15.09.2013;09178145;Neufahrn b.Freising;12359;64,5;7852;3312;1439;1180;283;164;1476
15.09.2013;09178150;Paunzhausen;1209;67,2;801;353;105;78;23;22;221
15.09.2013;09178155;Wang;1789;71,0;1250;677;133;157;29;13;242
15.09.2013;09178156;Wolfersdorf;1826;71,3;1288;717;110;159;40;20;243
15.09.2013;09178157;Zolling;3358;70,4;2321;1119;276;346;51;43;488
15.09.2013;09179111;Adelshofen;1244;74,2;913;484;166;84;23;14;143
15.09.2013;09179113;Alling;2734;75,3;2030;1040;378;179;70;20;344
15.09.2013;09179114;Althegnenberg;1414;69,7;973;518;187;82;19;17;151
15.09.2013;09179117;Egenhofen;2494;68,1;1681;911;252;118;49;21;332
15.09.2013;09179118;Eichenau;9082;75,1;6739;2843;1688;850;298;99;962
15.09.2013;09179119;Emmering;4805;70,2;3326;1567;659;291;116;48;647
15.09.2013;09179121;Fürstenfeldbruck, GKSt;24695;63,3;15427;7087;3951;1479;488;284;2140
15.09.2013;09179123;Germering, GKSt;27513;68,6;18588;8384;4793;1971;740;326;2376
15.09.2013;09179125;Grafrath;2784;73,2;2011;877;468;294;83;32;259
15.09.2013;09179126;Gröbenzell;14917;75,0;11041;4969;2340;1938;508;138;1150
15.09.2013;09179128;Hattenhofen;1116;70,6;780;469;135;42;16;23;97
15.09.2013;09179130;Jesenwang;1144;72,6;814;408;199;44;21;16;128
15.09.2013;09179131;Kottgeisering;1244;76,3;941;439;187;101;49;7;159
15.09.2013;09179132;Landsberied;1114;77,9;852;465;181;75;18;7;108
15.09.2013;09179134;Maisach;9979;72,3;7127;3046;1362;671;169;95;1784
15.09.2013;09179136;Mammendorf;3470;68,8;2363;1215;436;225;52;23;414
15.09.2013;09179137;Mittelstetten;1312;72,0;935;568;149;53;25;10;132
15.09.2013;09179138;Moorenweis;3002;73,7;2193;1329;314;122;50;23;356
15.09.2013;09179140;Oberschweinbach;1261;66,2;823;447;152;58;29;6;133
15.09.2013;09179142;Olching, St;19280;68,5;13033;6092;3136;1344;432;207;1823
15.09.2013;09179145;Puchheim, St;14499;71,5;10218;4529;2892;1005;345;167;1282
15.09.2013;09179147;Schöngeising;1508;76,0;1136;484;310;122;40;17;164
15.09.2013;09179149;Türkenfeld;2807;73,6;2042;955;444;219;54;35;336
