GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051107;Stelle-Wittenwurth;162;43;25;35;16;6;10;12;15;-;-
01051108;Strübbel;58;24;9;19;-;-;-;3;-;3;-
01051109;Süderdeich;185;48;35;64;9;6;10;10;-;3;-
01051110;Süderhastedt;296;81;26;93;22;10;19;29;10;6;0
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;519;89;72;184;58;-;50;38;13;12;3
01051114;Tellingstedt;941;126;87;394;67;6;60;138;27;27;9
01051117;Tielenhemme;99;19;7;22;13;7;9;16;6;-;-
01051118;Trennewurth;126;45;15;54;6;3;-;-;-;3;-
01051119;Volsemenhusen;139;55;31;24;6;-;7;6;6;-;4
01051120;Wallen;20;3;7;3;-;-;-;3;4;-;-
01051121;Warwerort;180;6;3;84;40;9;13;7;15;3;-
01051122;Weddingstedt;850;84;68;338;109;25;62;94;37;33;-
01051125;Welmbüttel;154;21;15;46;21;-;7;21;20;3;-
01051126;Wennbüttel;36;9;3;15;3;-;-;3;-;3;-
01051127;Wesselburen;1171;216;153;598;60;10;39;65;20;10;-
01051128;Wesselburener Deichhausen;68;9;19;25;-;3;3;3;-;6;-
01051129;Wesselburenerkoog;119;14;12;58;3;-;-;6;19;7;-
01051130;Wesseln;534;28;10;272;31;38;43;31;36;42;3
01051131;Westerborstel;46;12;-;9;4;3;-;-;15;3;-
01051132;Westerdeichstrich;421;39;36;128;91;9;41;39;29;6;3
01051133;Wiemerstedt;58;16;3;21;9;-;3;6;-;-;-
01051134;Windbergen;291;62;34;93;12;9;16;23;33;3;6
01051135;Wolmersdorf;128;10;23;58;15;3;3;7;3;6;-
01051136;Wrohm;295;73;43;101;25;3;6;19;12;9;4
01051137;Nordermeldorf;235;67;20;72;16;16;15;17;6;6;-
01051138;Tensbüttel-Röst;226;53;18;62;24;6;27;30;6;-;-
01051139;Süderdorf;119;43;27;12;3;-;9;16;3;6;-
01051140;Oesterwurth;99;34;16;40;-;3;3;3;-;-;-
01051141;Süderheistedt;198;28;35;47;27;9;13;16;17;6;-
01053001;Albsfelde;32;3;3;13;3;3;3;-;-;4;-
01053002;Alt Mölln;265;21;17;114;39;12;19;11;9;10;13
01053003;Aumühle;949;174;99;412;131;18;25;28;31;15;16
01053004;Bäk;319;38;15;164;19;10;22;26;9;13;3
01053005;Bälau;69;7;6;35;4;-;13;4;-;-;-
01053006;Basedow;255;24;3;91;43;24;18;23;6;10;13
01053007;Basthorst;158;24;19;69;15;3;12;6;-;7;3
01053008;Behlendorf;127;29;14;23;22;11;0;7;18;3;-
01053009;Berkenthin;605;52;53;172;59;15;63;71;66;48;6
01053010;Besenthal;23;0;10;4;-;-;-;-;6;3;-
01053011;Bliestorf;217;38;6;72;25;10;32;25;6;3;-
01053012;Börnsen;1295;47;98;485;140;59;68;156;60;140;42
01053013;Borstorf;98;22;6;38;10;3;7;6;-;3;3
01053014;Breitenfelde;569;65;47;187;119;13;4;42;48;26;18
01053015;Bröthen;98;28;3;21;7;7;6;6;16;4;-
01053016;Brunsmark;84;6;7;55;7;-;3;3;-;3;-
01053017;Brunstorf;198;24;11;64;7;3;4;35;32;18;-
01053018;Buchholz;82;16;17;25;9;-;3;6;3;-;3
01053019;Buchhorst;57;13;7;17;6;-;3;4;-;4;3
01053020;Büchen;1658;111;125;705;214;79;159;115;44;74;32
01053021;Dahmker;60;-;6;15;4;14;3;15;3;-;-
01053022;Dalldorf;142;19;15;59;6;6;6;4;18;9;-
01053023;Dassendorf;1080;15;55;488;157;76;117;79;42;41;10
01053024;Düchelsdorf;49;19;-;20;-;-;3;3;-;4;-
01053025;Duvensee;150;25;33;36;16;3;3;15;13;-;6
01053026;Einhaus;135;3;3;53;29;3;9;10;22;3;-
01053027;Elmenhorst;251;18;30;85;28;12;22;40;13;3;-
01053028;Escheburg;1012;41;33;232;103;29;136;179;171;69;19
01053029;Fitzen;158;16;3;40;65;3;12;16;3;-;-
01053030;Fredeburg;10;4;-;3;3;-;-;-;-;-;-
01053031;Fuhlenhagen;75;18;3;35;6;-;6;3;4;-;-
01053032;Geesthacht;6879;585;940;2612;723;469;573;541;168;169;99
01053033;Giesensdorf;43;12;-;9;-;6;10;3;-;-;3
01053034;Göldenitz;71;12;11;21;4;-;8;-;12;-;3
01053035;Göttin;29;3;3;13;3;-;-;3;4;-;-
01053036;Grabau;102;21;9;30;17;6;7;9;-;3;-
01053037;Grambek;166;11;10;79;18;9;13;3;-;9;14
01053038;Grinau;80;19;10;16;9;3;6;4;10;3;-
01053039;Groß Boden;76;9;4;18;18;3;3;6;15;-;-
01053040;Groß Disnack;27;7;7;3;3;3;4;-;-;-;-
01053041;Groß Grönau;1338;36;38;900;128;49;36;48;35;59;9
01053042;Groß Pampau;49;4;9;10;9;-;7;7;3;-;-
