GENESIS-Tabelle: 14343-01-02-5
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2016;13072104;Tarnow;914;48,2;428;93;137;18;13;56;111
04.09.2016;13072105;Tessin, Stadt;3207;52,6;1642;380;561;36;48;143;474
04.09.2016;13072106;Teterow, Stadt;7142;43,7;3056;591;1094;62;65;370;874
04.09.2016;13072107;Thelkow;383;53,0;200;42;64;14;9;14;57
04.09.2016;13072108;Thulendorf;493;61,1;297;64;87;11;15;32;88
04.09.2016;13072109;Thürkow;317;54,6;167;48;48;1;5;13;52
04.09.2016;13072110;Vorbeck;265;65,3;170;31;57;3;6;34;39
04.09.2016;13072111;Walkendorf;342;49,4;163;31;74;4;3;16;35
04.09.2016;13072112;Wardow;1085;51,8;556;116;168;31;12;58;171
04.09.2016;13072113;Warnkenhagen;289;64,0;180;38;63;11;3;3;62
04.09.2016;13072114;Warnow;769;57,3;433;95;163;21;13;29;112
04.09.2016;13072115;Wasdow;-;-;-;-;-;-;-;-;-
04.09.2016;13072116;Wiendorf;624;63,1;388;61;117;18;4;43;145
04.09.2016;13072117;Wittenbeck;697;56,5;387;82;109;23;18;35;120
04.09.2016;13072118;Zarnewanz;330;53,9;172;36;70;7;3;16;40
04.09.2016;13072119;Zehna;518;56,4;287;67;87;8;7;18;100
04.09.2016;13072120;Zepelin;381;61,9;230;47;83;4;6;19;71
04.09.2016;13072121;Ziesendorf;1131;57,3;644;138;208;45;16;69;168
04.09.2016;13073001;Ahrenshagen-Daskow;1738;53,2;897;203;249;33;22;103;287
04.09.2016;13073002;Ahrenshoop;566;58,0;323;67;141;21;12;27;55
04.09.2016;13073003;Altefähr;1042;53,5;547;132;152;30;13;69;151
04.09.2016;13073004;Altenkirchen;785;43,8;343;69;76;14;9;46;129
04.09.2016;13073005;Altenpleen;756;48,3;356;58;86;12;7;31;162
04.09.2016;13073006;Baabe;717;48,4;339;74;106;7;21;22;109
04.09.2016;13073007;Bad Sülze, Stadt;1476;45,2;654;142;195;16;14;81;206
04.09.2016;13073008;Bartelshagen II b. Barth;-;-;-;-;-;-;-;-;-
04.09.2016;13073009;Barth, Stadt;7240;43,5;3067;532;981;78;82;356;1038
04.09.2016;13073010;Bergen auf Rügen, Stadt;11468;40,4;4528;860;1160;134;179;643;1552
04.09.2016;13073011;Binz;4313;49,4;2069;421;545;59;84;293;667
