GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
09374129;Kirchenthumbach, M;1312;746;566;9;3;6
09374131;Kohlberg, M;468;260;208;7;4;3
09374132;Leuchtenberg, M;507;277;230;6;.;.
09374133;Luhe-Wildenau, M;1378;733;645;25;16;9
09374134;Mantel, M;1134;636;498;18;11;7
09374137;Moosbach, M;889;497;392;10;6;4
09374139;Neustadt a.d.Waldnaab, St;2134;1104;1030;72;46;26
09374140;Neustadt am Kulm, St;524;285;239;5;.;.
09374144;Parkstein, M;959;554;405;61;46;15
09374146;Pirk;751;399;352;10;3;7
09374147;Pleystein, St;961;512;449;14;5;9
09374148;Trabitz;558;315;243;20;14;6
09374149;Pressath, St;1735;950;785;56;42;14
09374150;Püchersreuth;664;348;316;7;4;3
09374154;Schirmitz;797;378;419;21;13;8
09374155;Schlammersdorf;356;206;150;.;.;-
09374156;Schwarzenbach;490;260;230;7;3;4
09374157;Speinshart;477;257;220;5;.;.
09374158;Störnstein;631;337;294;10;6;4
09374159;Tännesberg, M;615;336;279;8;4;4
09374160;Theisseil;421;232;189;9;4;5
09374162;Vohenstrauß, St;2822;1493;1329;47;30;17
09374163;Vorbach;413;230;183;8;.;.
09374164;Waidhaus, M;815;453;362;26;15;11
09374165;Waldthurn, M;762;415;347;9;4;5
09374166;Weiherhammer;1541;875;666;51;36;15
09374168;Windischeschenbach, St;1907;1020;887;57;30;27
09374170;Bechtsrieth;408;208;200;5;.;.
09374444;Gem.fr. Geb. Neustadt a.d.Waldnaab;-;-;-;-;-;-
09375113;Alteglofsheim;1327;724;603;60;41;19
09375114;Altenthann;665;369;296;7;.;.
09375115;Aufhausen;747;427;320;29;19;10
09375116;Bach a.d.Donau;765;447;318;41;31;10
09375117;Barbing;2293;1276;1017;170;113;57
09375118;Beratzhausen, M;2169;1186;983;87;56;31
09375119;Bernhardswald;2240;1256;984;45;29;16
09375120;Brennberg;858;506;352;20;14;6
09375122;Brunn;591;335;256;30;22;8
09375127;Deuerling;795;447;348;24;16;8
09375130;Donaustauf, M;1571;853;718;94;57;37
09375131;Duggendorf;695;389;306;10;10;-
09375143;Hagelstadt;889;497;392;41;27;14
09375148;Hemau, St;3702;2087;1615;175;117;58
09375153;Holzheim a.Forst;427;235;192;9;6;3
09375156;Kallmünz, M;1107;612;495;47;31;16
09375161;Köfering;1097;626;471;80;49;31
09375162;Laaber, M;2095;1152;943;74;49;25
09375165;Lappersdorf, M;4877;2548;2329;253;150;103
09375170;Mintraching;2140;1188;952;94;52;42
09375171;Mötzing;622;339;283;10;5;5
09375174;Neutraubling, St;5806;3301;2505;973;619;354
09375175;Nittendorf, M;3535;1911;1624;270;176;94
09375179;Obertraubling;3506;1902;1604;194;134;60
09375180;Pentling;2244;1188;1056;113;69;44
09375181;Pettendorf;1185;627;558;46;24;22
09375182;Pfakofen;749;432;317;43;33;10
09375183;Pfatter;1277;737;540;66;44;22
09375184;Pielenhofen;642;345;297;30;16;14
09375190;Regenstauf, M;6555;3525;3030;361;224;137
09375191;Riekofen;317;186;131;16;.;.
09375196;Schierling, M;3106;1746;1360;164;120;44
09375199;Sinzing;2670;1429;1241;115;69;46
09375201;Sünching;769;426;343;22;15;7
09375204;Tegernheim;2194;1176;1018;146;95;51
09375205;Thalmassing;1522;853;669;67;43;24
09375208;Wenzenbach;3540;1892;1648;142;91;51
09375209;Wiesent;1135;631;504;57;41;16
09375210;Wörth a.d.Donau, St;2019;1177;842;162;109;53
09375211;Wolfsegg;648;362;286;12;6;6
09375213;Zeitlarn;2435;1248;1187;124;73;51
09375444;Gem.fr. Geb. Regensburg;-;-;-;-;-;-
09376112;Altendorf;406;253;153;.;.;-
09376116;Bodenwöhr;1893;1086;807;266;172;94
09376117;Bruck i.d.OPf., M;1861;1050;811;171;111;60
09376119;Burglengenfeld, St;5091;2816;2275;320;222;98
09376122;Dieterskirchen;433;245;188;6;3;3
09376125;Fensterbach;1068;593;475;26;16;10
09376131;Gleiritsch;295;168;127;.;-;.
09376133;Guteneck;321;188;133;-;-;-
09376141;Maxhütte-Haidhof, St;4634;2539;2095;202;124;78
09376144;Nabburg, St;2414;1292;1122;84;59;25
09376146;Neukirchen-Balbini, M;451;291;160;5;.;.
09376147;Neunburg vorm Wald, St;3322;1948;1374;350;260;90
09376148;Niedermurach;485;281;204;5;.;.
09376149;Nittenau, St;3722;2127;1595;371;250;121
09376150;Wernberg-Köblitz, M;2367;1325;1042;67;45;22
09376151;Oberviechtach, St;1767;985;782;50;31;19
09376153;Pfreimd, St;2200;1233;967;87;53;34
09376159;Schmidgaden;1230;704;526;12;7;5
09376160;Schönsee, St;867;501;366;27;15;12
09376161;Schwandorf, GKSt;11190;6336;4854;971;633;338
09376162;Schwarzach b.Nabburg;638;365;273;7;3;4
09376163;Schwarzenfeld, M;2617;1424;1193;72;50;22
09376164;Schwarzhofen, M;583;343;240;21;13;8
09376167;Stadlern;203;115;88;.;.;-
09376168;Steinberg am See;789;439;350;31;24;7
09376169;Stulln;742;398;344;7;.;.
09376170;Teublitz, St;3064;1692;1372;64;47;17
09376171;Teunz;781;454;327;16;10;6
09376172;Thanstein;377;238;139;7;.;.
09376173;Trausnitz;430;244;186;.;.;.
09376175;Wackersdorf;2372;1344;1028;181;125;56
09376176;Weiding;171;119;52;7;.;.
09376178;Winklarn, M;505;299;206;.;.;.
09376444;Gem.fr. Geb. Schwandorf;-;-;-;-;-;-
09377112;Bärnau, St;1231;708;523;27;20;7
09377113;Brand;476;259;217;8;5;3
09377115;Ebnath;517;285;232;3;.;.
09377116;Erbendorf, St;1987;1100;887;50;27;23
09377117;Falkenberg, M;364;200;164;3;.;.
09377118;Friedenfels;492;291;201;6;.;.
09377119;Fuchsmühl, M;649;368;281;5;.;.
09377127;Immenreuth;794;450;344;11;.;.
09377128;Kastl;621;367;254;6;.;.
09377129;Kemnath, St;2181;1176;1005;82;51;31
09377131;Konnersreuth, M;725;430;295;5;.;.
09377132;Krummennaab;579;339;240;3;.;.
09377133;Kulmain;914;521;393;10;6;4
09377137;Leonberg;376;223;153;5;.;.
09377139;Mähring, M;666;392;274;7;.;.
09377141;Mitterteich, St;2680;1530;1150;49;33;16
09377142;Neualbenreuth, M;529;311;218;5;.;.
09377143;Neusorg;721;410;311;6;.;.
09377145;Pechbrunn;509;273;236;9;4;5
09377146;Plößberg, M;1268;725;543;14;.;.
09377148;Pullenreuth;671;391;280;7;.;.
09377149;Reuth b.Erbendorf;449;257;192;4;.;.
09377154;Tirschenreuth, St;3255;1778;1477;79;44;35
09377157;Waldershof, St;1708;931;777;25;16;9
09377158;Waldsassen, St;2410;1359;1051;92;62;30
09377159;Wiesau, M;1416;782;634;27;12;15
09377444;Gem.fr. Geb. Tirschenreuth;-;-;-;-;-;-
09461000;Bamberg;25788;13505;12283;2239;1367;872
09462000;Bayreuth;24891;12520;12371;2070;1198;872
09463000;Coburg;16180;8449;7731;1200;751;449
09464000;Hof;16001;8375;7626;1577;1049;528
09471111;Altendorf;873;468;405;14;9;5
09471115;Baunach, St;1666;921;745;35;22;13
09471117;Bischberg;2392;1281;1111;95;71;24
09471119;Breitengüßbach;1957;1044;913;69;45;24
09471120;Burgebrach, M;3030;1697;1333;91;67;24
09471122;Burgwindheim, M;496;283;213;11;8;3
09471123;Buttenheim, M;1534;836;698;47;32;15
09471128;Ebrach, M;587;331;256;37;23;14
09471131;Frensdorf;2196;1199;997;32;15;17
09471133;Gerach;440;254;186;.;3;.
09471137;Gundelsheim;1236;646;590;38;25;13
09471140;Hallstadt, St;3607;1965;1642;204;129;75
09471142;Heiligenstadt i.OFr., M;1575;894;681;25;11;14
09471145;Hirschaid, M;5517;3002;2515;168;109;59
09471150;Kemmern;1150;634;516;19;13;6
09471151;Königsfeld;586;347;239;6;.;.
09471152;Lauter;534;298;236;7;.;.
09471154;Lisberg;784;429;355;23;13;10
09471155;Litzendorf;2520;1357;1163;39;23;16
09471159;Memmelsdorf;3443;1824;1619;83;40;43
09471165;Oberhaid;1926;1080;846;65;42;23
09471169;Pettstadt;822;447;375;27;13;14
09471172;Pommersfelden;1261;701;560;36;21;15
09471173;Priesendorf;635;358;277;17;.;.
09471174;Rattelsdorf, M;1930;1099;831;29;14;15
09471175;Reckendorf;881;492;389;21;11;10
09471185;Scheßlitz, St;2999;1675;1324;65;39;26
09471186;Schönbrunn i.Steigerwald;848;475;373;9;.;.
09471189;Stadelhofen;576;331;245;.;-;.
09471191;Stegaurach;2762;1499;1263;80;46;34
09471195;Strullendorf;3387;1863;1524;141;104;37
09471207;Viereth-Trunstadt;1648;885;763;39;26;13
09471208;Walsdorf;1115;595;520;28;22;6
09471209;Wattendorf;337;195;142;-;-;-
09471214;Zapfendorf, M;2104;1180;924;40;14;26
09471220;Schlüsselfeld, St;2644;1530;1114;161;126;35
09471444;Gem.fr. Geb. Bamberg;-;-;-;-;-;-
09472111;Ahorntal;964;535;429;15;8;7
09472115;Aufseß;535;309;226;10;7;3
09472116;Bad Berneck i.Fichtelgebirge, St;1617;866;751;80;53;27
09472118;Betzenstein, St;1038;582;456;18;11;7
09472119;Bindlach;3034;1515;1519;130;80;50
09472121;Bischofsgrün;645;334;311;12;6;6
09472127;Creußen, St;1749;898;851;27;20;7
09472131;Eckersdorf;1848;897;951;33;16;17
09472133;Emtmannsberg;365;179;186;8;.;.
09472138;Fichtelberg;615;319;296;7;.;.
09472139;Gefrees, St;1793;905;888;33;22;11
09472140;Gesees;507;262;245;7;4;3
09472141;Glashütten;599;318;281;7;4;3
09472143;Goldkronach, St;1503;758;745;24;17;7
09472146;Haag;356;182;174;4;.;.
09472150;Heinersreuth;1397;717;680;34;18;16
09472154;Hollfeld, St;2154;1157;997;33;19;14
09472155;Hummeltal;996;490;506;15;10;5
09472156;Kirchenpingarten;532;325;207;.;.;-
09472164;Mehlmeisel;546;302;244;.;.;-
09472166;Mistelbach;582;296;286;26;15;11
09472167;Mistelgau;1580;807;773;32;18;14
09472175;Pegnitz, St;5419;2972;2447;206;128;78
09472176;Plankenfels;355;185;170;3;.;.
09472177;Plech, M;546;304;242;34;20;14
09472179;Pottenstein, St;2396;1360;1036;34;19;15
09472180;Prebitz;411;225;186;5;.;.
09472184;Schnabelwaid, M;365;205;160;5;5;-
09472188;Seybothenreuth;512;248;264;17;10;7
09472190;Speichersdorf;2474;1333;1141;125;79;46
09472197;Waischenfeld, St;1343;759;584;14;7;7
09472198;Warmensteinach;760;397;363;16;10;6
09472199;Weidenberg, M;2396;1223;1173;64;39;25
09472444;Gem.fr. Geb. Bayreuth;-;-;-;-;-;-
09473112;Ahorn;1731;874;857;34;20;14
09473120;Dörfles-Esbach;1643;842;801;35;21;14
09473121;Ebersdorf b.Coburg;2460;1347;1113;119;82;37
09473132;Großheirath;1091;592;499;12;9;3
09473134;Grub a.Forst;1239;675;564;22;17;5
09473138;Itzgrund;947;505;442;19;12;7
09473141;Lautertal;1957;1009;948;41;28;13
09473144;Meeder;1650;852;798;25;22;3
09473151;Neustadt b.Coburg, GKSt;6083;3269;2814;380;262;118
09473153;Niederfüllbach;723;369;354;21;14;7
09473158;Bad Rodach, St;2698;1377;1321;127;74;53
09473159;Rödental, St;5391;2809;2582;141;102;39
09473165;Seßlach, St;1779;947;832;15;7;8
09473166;Sonnefeld;2118;1112;1006;57;30;27
09473170;Untersiemau;1751;923;828;48;33;15
09473174;Weidhausen b.Coburg;1442;804;638;69;54;15
09473175;Weitramsdorf;2085;1094;991;47;30;17
09473444;Gem.fr. Geb. Coburg;-;-;-;-;-;-
09474119;Dormitz;921;499;422;28;13;15
09474121;Ebermannstadt, St;2761;1455;1306;123;57;66
09474122;Effeltrich;1042;556;486;63;48;15
09474123;Eggolsheim, M;2824;1531;1293;84;54;30
09474124;Egloffstein, M;796;451;345;28;19;9
09474126;Forchheim, GKSt;12737;6790;5947;1208;728;480
09474129;Gößweinstein, M;1739;1002;737;42;18;24
09474132;Gräfenberg, St;1594;858;736;92;63;29
09474133;Hallerndorf;1936;1069;867;60;38;22
09474134;Hausen;1657;922;735;55;33;22
09474135;Heroldsbach;2260;1221;1039;68;40;28
09474137;Hetzles;574;300;274;11;6;5
09474138;Hiltpoltstein, M;615;339;276;10;7;3
09474140;Igensdorf, M;2161;1156;1005;78;54;24
09474143;Kirchehrenbach;970;537;433;21;13;8
09474144;Kleinsendelbach;628;337;291;28;20;8
09474145;Kunreuth;607;331;276;20;10;10
09474146;Langensendelbach;1199;623;576;34;17;17
09474147;Leutenbach;780;459;321;15;12;3
09474154;Neunkirchen a.Brand, M;3137;1698;1439;151;82;69
09474156;Obertrubach;993;581;412;16;8;8
09474158;Pinzberg;875;477;398;15;8;7
09474160;Poxdorf;580;313;267;32;26;6
09474161;Pretzfeld, M;1050;561;489;33;25;8
09474168;Unterleinleiter;522;277;245;6;3;3
09474171;Weilersbach;978;513;465;9;3;6
09474173;Weißenohe;467;257;210;13;6;7
09474175;Wiesenthau;662;367;295;15;8;7
09474176;Wiesenttal, M;916;513;403;28;16;12
09475112;Bad Steben, M;1145;573;572;52;29;23
09475113;Berg;874;461;413;12;6;6
09475120;Döhlau;1474;735;739;27;13;14
09475123;Feilitzsch;1074;537;537;10;6;4
09475127;Gattendorf;415;212;203;7;4;3
09475128;Geroldsgrün;1082;584;498;10;5;5
09475136;Helmbrechts, St;3356;1728;1628;91;47;44
09475137;Issigau;353;169;184;9;3;6
09475141;Köditz;1018;511;507;12;8;4
09475142;Konradsreuth;1283;657;626;38;24;14
09475145;Leupoldsgrün;420;213;207;.;.;.
09475146;Lichtenberg, St;376;196;180;5;.;.
09475154;Münchberg, St;3473;1779;1694;170;108;62
09475156;Naila, St;2860;1450;1410;116;80;36
09475158;Oberkotzau, M;2070;1106;964;56;36;20
09475161;Regnitzlosau;896;473;423;23;10;13
09475162;Rehau, St;3618;1953;1665;282;175;107
09475165;Schauenstein, St;684;348;336;7;.;.
09475168;Schwarzenbach a.d.Saale, St;2651;1414;1237;141;92;49
09475169;Schwarzenbach a.Wald, St;1640;859;781;25;18;7
09475171;Selbitz, St;1422;729;693;49;26;23
09475174;Sparneck, M;637;317;320;14;8;6
09475175;Stammbach, M;984;509;475;5;.;.
09475181;Töpen;431;231;200;7;4;3
09475182;Trogen;621;309;312;8;3;5
09475184;Weißdorf;480;238;242;6;.;.
09475189;Zell im Fichtelgebirge, M;752;393;359;.;.;.
09475444;Gem.fr. Geb. Hof;-;-;-;-;-;-
09476145;Kronach, St;6447;3355;3092;260;163;97
09476146;Küps, M;3081;1634;1447;80;50;30
09476152;Ludwigsstadt, St;1352;732;620;30;16;14
09476154;Mitwitz, M;1137;607;530;49;27;22
09476159;Nordhalben, M;630;330;300;8;5;3
09476164;Pressig, M;1690;905;785;26;17;9
09476166;Reichenbach;314;170;144;6;3;3
09476171;Schneckenlohe;495;256;239;12;.;.
09476175;Steinbach a.Wald;1433;769;664;91;59;32
09476177;Steinwiesen, M;1463;804;659;.;.;3
09476178;Stockheim;2115;1128;987;51;30;21
09476179;Tettau, M;961;537;424;83;60;23
09476180;Teuschnitz, St;883;487;396;29;19;10
09476182;Tschirn;230;125;105;.;-;.
09476183;Marktrodach, M;1476;782;694;30;21;9
09476184;Wallenfels, St;1088;590;498;9;6;3
09476185;Weißenbrunn;1231;670;561;18;10;8
09476189;Wilhelmsthal;1556;862;694;12;8;4
09476444;Gem.fr. Geb. Kronach;-;-;-;-;-;-
09477117;Grafengehaig, M;302;158;144;.;.;.
09477118;Guttenberg;240;125;115;5;.;.
09477119;Harsdorf;400;196;204;4;4;-
09477121;Himmelkron;1538;764;774;41;24;17
09477124;Kasendorf, M;1095;592;503;28;13;15
09477127;Ködnitz;616;326;290;13;10;3
09477128;Kulmbach, GKSt;10283;5329;4954;488;319;169
09477129;Kupferberg, St;430;237;193;.;.;.
09477135;Ludwigschorgast, M;437;223;214;.;.;-
09477136;Mainleus, M;2753;1437;1316;61;30;31
09477138;Marktleugast, M;1211;622;589;12;6;6
09477139;Marktschorgast, M;578;309;269;7;.;.
09477142;Neudrossenfeld;1551;787;764;20;15;5
09477143;Neuenmarkt;1160;600;560;24;17;7
09477148;Presseck, M;699;372;327;3;.;.
09477151;Rugendorf;421;220;201;7;4;3
09477156;Stadtsteinach, St;1307;659;648;18;12;6
09477157;Thurnau, M;1721;938;783;26;16;10
09477158;Trebgast;693;362;331;13;10;3
09477159;Untersteinach;739;407;332;10;4;6
09477163;Wirsberg, M;791;402;389;12;5;7
09477164;Wonsees, M;431;255;176;3;3;-
09478111;Altenkunstadt;2347;1224;1123;41;21;20
09478116;Burgkunstadt, St;2718;1413;1305;46;26;20
09478120;Ebensfeld, M;2311;1240;1071;40;22;18
09478127;Hochstadt a.Main;729;393;336;11;.;.
09478139;Lichtenfels, St;8140;4354;3786;461;298;163
09478143;Marktgraitz, M;472;264;208;7;.;.
09478144;Marktzeuln, M;677;349;328;17;11;6
09478145;Michelau i.OFr.;2780;1486;1294;53;32;21
09478155;Redwitz a.d.Rodach;1366;750;616;55;38;17
09478165;Bad Staffelstein, St;4156;2178;1978;143;84;59
09478176;Weismain, St;2101;1188;913;83;74;9
09478444;Gem.fr. Geb. Lichtenfels;-;-;-;-;-;-
09479111;Bad Alexandersbad;315;143;172;15;.;.
09479112;Arzberg, St;1900;1021;879;59;36;23
09479126;Höchstädt i.Fichtelgebirge;451;241;210;.;.;-
09479127;Hohenberg a.d.Eger, St;497;257;240;19;13;6
09479129;Kirchenlamitz, St;1183;654;529;47;28;19
09479135;Marktleuthen, St;1114;610;504;27;20;7
09479136;Marktredwitz, GKSt;6305;3372;2933;377;240;137
09479138;Nagel;657;354;303;11;6;5
09479145;Röslau;742;411;331;40;27;13
09479147;Schirnding, M;388;215;173;48;36;12
09479150;Schönwald, St;1218;626;592;77;41;36
09479152;Selb, GKSt;5597;2950;2647;342;194;148
09479158;Thiersheim, M;684;361;323;16;8;8
09479159;Thierstein, M;455;224;231;.;8;.
09479161;Tröstau;954;510;444;17;12;5
09479166;Weißenstadt, St;1217;642;575;22;14;8
09479169;Wunsiedel, St;3376;1824;1552;142;95;47
09479444;Gem.fr. Geb. Wunsiedel i.Fichtelgebirge;-;-;-;-;-;-
09561000;Ansbach;16109;8305;7804;1636;999;637
09562000;Erlangen;43805;23893;19912;6645;3869;2776
09563000;Fürth;51550;26960;24590;8111;4718;3393
09564000;Nürnberg;200164;106174;93990;38911;22861;16050
09565000;Schwabach;15658;8261;7397;1633;993;640
09571111;Adelshofen;375;222;153;12;8;4
09571113;Arberg, M;937;514;423;17;14;3
09571114;Aurach;1178;654;524;33;19;14
09571115;Bechhofen, M;2639;1437;1202;121;63;58
09571122;Bruckberg;649;379;270;45;24;21
09571125;Buch a.Wald;378;228;150;7;7;-
09571127;Burgoberbach;1495;783;712;50;30;20
09571128;Burk;465;265;200;11;6;5
09571130;Colmberg, M;837;439;398;24;15;9
09571132;Dentlein a.Forst, M;1008;556;452;21;15;6
09571134;Diebach;463;259;204;17;12;5
09571135;Dietenhofen, M;2369;1292;1077;190;122;68
09571136;Dinkelsbühl, GKSt;4653;2565;2088;369;235;134
09571137;Dombühl, M;665;388;277;104;68;36
09571139;Dürrwangen, M;1077;595;482;35;27;8
09571141;Ehingen;892;500;392;27;19;8
09571145;Feuchtwangen, St;5093;2852;2241;457;310;147
09571146;Flachslanden, M;994;537;457;22;13;9
09571152;Gebsattel;748;415;333;25;14;11
09571154;Gerolfingen;385;209;176;7;3;4
09571155;Geslau;533;295;238;17;10;7
09571165;Heilsbronn, St;3897;2123;1774;538;341;197
09571166;Herrieden, St;3410;1795;1615;135;90;45
09571169;Insingen;534;314;220;71;56;15
09571170;Langfurth;945;549;396;14;9;5
09571171;Lehrberg, M;1210;644;566;70;45;25
09571174;Leutershausen, St;2081;1156;925;98;58;40
09571175;Lichtenau, M;1340;703;637;39;27;12
09571177;Merkendorf, St;1154;624;530;55;39;16
09571178;Mitteleschenbach;721;389;332;14;9;5
09571179;Mönchsroth;685;412;273;33;24;9
09571180;Neuendettelsau;3129;1557;1572;304;172;132
09571181;Neusitz;850;439;411;45;28;17
09571183;Oberdachstetten;597;300;297;14;10;4
09571188;Ohrenbach;228;131;97;12;9;3
09571189;Ornbau, St;658;360;298;21;11;10
09571190;Petersaurach;2101;1113;988;90;59;31
09571192;Röckingen;307;180;127;6;.;.
09571193;Rothenburg ob der Tauber, GKSt;4572;2390;2182;619;369;250
09571194;Rügland;515;281;234;14;8;6
09571196;Sachsen b.Ansbach;1239;691;548;73;51;22
09571198;Schillingsfürst, St;1100;606;494;88;66;22
09571199;Schnelldorf;1566;899;667;68;53;15
09571200;Schopfloch, M;1200;653;547;52;34;18
09571205;Steinsfeld;518;276;242;9;4;5
09571208;Unterschwaningen;326;182;144;5;.;.
09571214;Wassertrüdingen, St;2362;1339;1023;158;98;60
09571216;Weidenbach, M;797;425;372;82;40;42
09571217;Weihenzell;1251;654;597;63;43;20
09571218;Weiltingen, M;543;317;226;17;8;9
09571222;Wettringen;385;227;158;9;.;.
09571223;Wieseth;601;333;268;15;7;8
09571224;Wilburgstetten;888;512;376;34;26;8
09571225;Windelsbach;455;238;217;11;4;7
09571226;Windsbach, St;2528;1384;1144;208;128;80
09571227;Wittelshofen;509;299;210;5;.;.
09571228;Wörnitz;707;392;315;53;42;11
09571229;Wolframs-Eschenbach, St;1143;626;517;47;36;11
09571444;Gem.fr. Geb. Ansbach;-;-;-;-;-;-
09572111;Adelsdorf;3280;1808;1472;122;72;50
09572114;Aurachtal;1371;724;647;73;38;35
09572115;Baiersdorf, St;3114;1640;1474;191;114;77
09572119;Bubenreuth;1653;897;756;120;78;42
09572120;Buckenhof;1075;571;504;86;46;40
09572121;Eckental, M;5579;3015;2564;262;151;111
09572126;Gremsdorf;759;447;312;28;21;7
09572127;Großenseebach;1027;550;477;50;29;21
09572130;Hemhofen;2295;1235;1060;123;76;47
09572131;Heroldsberg, M;3193;1629;1564;241;138;103
09572132;Herzogenaurach, St;10244;5666;4578;1286;780;506
09572133;Heßdorf;1592;874;718;71;50;21
09572135;Höchstadt a.d.Aisch, St;5807;3156;2651;319;200;119
09572137;Kalchreuth;1230;617;613;52;26;26
09572139;Lonnerstadt, M;937;512;425;29;20;9
09572141;Marloffstein;532;289;243;42;30;12
09572142;Möhrendorf;1834;997;837;94;59;35
09572143;Mühlhausen, M;806;435;371;30;20;10
09572147;Oberreichenbach;531;284;247;35;22;13
09572149;Röttenbach;2018;1089;929;100;64;36
09572154;Spardorf;651;352;299;49;27;22
09572158;Uttenreuth;1679;916;763;121;70;51
09572159;Vestenbergsgreuth, M;750;416;334;24;14;10
09572160;Wachenroth, M;1073;631;442;112;81;31
09572164;Weisendorf, M;2911;1581;1330;168;102;66
09572444;Gem.fr. Geb. Erlangen-Höchstadt;-;-;-;-;-;-
09573111;Ammerndorf, M;925;460;465;35;18;17
09573114;Cadolzburg, M;4456;2315;2141;165;105;60
09573115;Großhabersdorf;1661;872;789;64;36;28
09573120;Langenzenn, St;4376;2258;2118;216;117;99
09573122;Oberasbach, St;6978;3530;3448;443;243;200
09573123;Obermichelbach;1117;610;507;36;21;15
09573124;Puschendorf;816;426;390;45;27;18
09573125;Roßtal, M;3885;2017;1868;113;59;54
09573126;Seukendorf;1324;685;639;47;30;17
09573127;Stein, St;5227;2694;2533;572;317;255
09573129;Tuchenbach;526;270;256;11;3;8
09573130;Veitsbronn;2711;1417;1294;104;60;44
09573133;Wilhermsdorf, M;2189;1187;1002;112;70;42
09573134;Zirndorf, St;10351;5344;5007;802;478;324
09574111;Alfeld;467;257;210;16;9;7
09574112;Altdorf b.Nürnberg, St;6117;3166;2951;433;231;202
09574117;Burgthann;4447;2319;2128;189;110;79
09574120;Engelthal;468;243;225;16;8;8
09574123;Feucht, M;5418;2802;2616;378;213;165
09574128;Happurg;1449;759;690;47;24;23
09574129;Hartenstein;528;281;247;25;17;8
09574131;Henfenfeld;776;411;365;25;13;12
09574132;Hersbruck, St;4655;2414;2241;425;262;163
09574135;Kirchensittenbach;872;452;420;13;6;7
09574138;Lauf a.d.Pegnitz, St;10680;5548;5132;1125;634;491
09574139;Leinburg;2800;1458;1342;84;42;42
09574140;Neuhaus a.d.Pegnitz, M;1208;688;520;59;39;20
09574141;Neunkirchen a.Sand;1890;1018;872;138;96;42
09574145;Offenhausen;678;380;298;6;.;.
09574146;Ottensoos;865;447;418;22;.;.
09574147;Pommelsbrunn;1984;1057;927;85;53;32
09574150;Reichenschwand;950;498;452;50;27;23
09574152;Röthenbach a.d.Pegnitz, St;4635;2435;2200;655;399;256
09574154;Rückersdorf;1584;812;772;99;66;33
09574155;Schnaittach, M;3460;1832;1628;186;115;71
09574156;Schwaig b.Nürnberg;3262;1623;1639;241;134;107
09574157;Schwarzenbruck;3187;1684;1503;209;126;83
09574158;Simmelsdorf;1377;748;629;36;30;6
09574160;Velden, St;812;456;356;32;21;11
09574161;Vorra;621;324;297;25;17;8
09574164;Winkelhaid;1670;857;813;61;41;20
09574444;Gem.fr. Geb. Nürnberger Land;-;-;-;-;-;-
09575112;Bad Windsheim, St;4974;2626;2348;515;311;204
09575113;Baudenbach, M;412;230;182;7;.;.
09575115;Burgbernheim, St;1285;695;590;54;38;16
09575116;Burghaslach, M;1047;581;466;62;33;29
09575117;Dachsbach, M;737;415;322;15;9;6
09575118;Diespeck;1495;802;693;80;42;38
09575119;Dietersheim;933;496;437;29;13;16
09575121;Emskirchen, M;2454;1333;1121;85;46;39
09575122;Ergersheim;425;243;182;18;14;4
09575124;Gallmersgarten;296;153;143;16;13;3
09575125;Gerhardshofen;1177;657;520;36;21;15
09575127;Gollhofen;335;193;142;11;.;.
09575128;Gutenstetten;485;274;211;12;4;8
09575129;Hagenbüchach;564;312;252;25;10;15
09575130;Hemmersheim;245;131;114;.;.;-
09575133;Illesheim;388;202;186;17;8;9
09575134;Ippesheim, M;471;267;204;34;29;5
09575135;Ipsheim, M;892;477;415;35;26;9
09575138;Langenfeld;437;241;196;11;4;7
09575143;Marktbergel, M;675;370;305;28;21;7
09575144;Markt Bibart, M;748;406;342;21;11;10
09575145;Markt Erlbach, M;2325;1277;1048;160;115;45
09575146;Markt Nordheim, M;425;233;192;5;.;.
09575147;Markt Taschendorf, M;383;212;171;8;.;.
09575150;Münchsteinach;539;289;250;6;.;.
09575152;Neuhof a.d.Zenn, M;919;495;424;23;11;12
09575153;Neustadt a.d.Aisch, St;5301;2823;2478;422;256;166
09575155;Oberickelsheim;252;138;114;4;.;.
09575156;Obernzenn, M;1062;575;487;49;29;20
09575157;Oberscheinfeld, M;436;237;199;9;.;.
09575161;Scheinfeld, St;1859;1028;831;58;41;17
09575163;Simmershofen;322;192;130;15;12;3
09575165;Sugenheim, M;946;512;434;24;12;12
09575166;Trautskirchen;549;280;269;11;7;4
09575167;Uehlfeld, M;1260;693;567;49;30;19
09575168;Uffenheim, St;2505;1321;1184;176;116;60
09575179;Weigenheim;384;211;173;.;.;.
09575181;Wilhelmsdorf;653;350;303;44;22;22
09575444;Gem.fr. Geb. Neustadt a.d.Aisch-Bad Windsheim;-;-;-;-;-;-
