GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
01053113;Schretstaken;191;104;87;4;-;4
01053114;Schürensöhlen;60;31;29;-;-;-
01053115;Schulendorf;166;92;74;4;.;.
01053116;Schwarzenbek;6036;3351;2685;354;223;131
01053117;Seedorf;158;79;79;6;.;.
01053118;Siebenbäumen;245;132;113;.;.;.
01053119;Siebeneichen;92;50;42;4;.;.
01053120;Sierksrade;164;85;79;10;10;-
01053121;Sirksfelde;124;66;58;.;-;.
01053122;Steinhorst;236;122;114;.;-;.
01053123;Sterley;367;188;179;5;.;.
01053124;Stubben;149;84;65;.;.;.
01053125;Talkau;206;107;99;.;.;.
01053126;Tramm;133;65;68;-;-;-
01053127;Walksfelde;75;40;35;3;.;.
01053128;Wangelau;56;34;22;.;.;.
01053129;Wentorf bei Hamburg;4446;2226;2220;218;123;95
01053130;Wentorf (Amt Sandesneben);277;147;130;7;.;.
01053131;Wiershop;82;42;40;.;.;.
01053132;Witzeeze;318;158;160;4;.;.
01053133;Wohltorf;689;356;333;36;16;20
01053134;Woltersdorf;119;65;54;5;.;.
01053135;Worth;51;27;24;.;.;.
01053136;Ziethen;358;180;178;4;.;.
01054001;Achtrup;521;280;241;8;3;5
01054002;Ahrenshöft;177;96;81;.;.;.
01054003;Ahrenviöl;187;112;75;6;.;.
01054004;Ahrenviölfeld;68;37;31;.;.;.
01054005;Alkersum;167;78;89;9;6;3
01054006;Almdorf;209;116;93;3;-;3
01054007;Arlewatt;105;60;45;-;-;-
01054009;Aventoft;133;70;63;4;-;4
01054010;Bargum;194;113;81;-;-;-
01054011;Behrendorf;202;113;89;-;-;-
01054012;Bohmstedt;280;154;126;4;.;.
01054013;Bondelum;64;36;28;-;-;-
01054014;Bordelum;642;345;297;4;.;.
01054015;Borgsum;148;82;66;8;.;.
01054016;Bosbüll;81;36;45;.;.;.
01054017;Braderup;217;109;108;5;.;.
01054018;Bramstedtlund;73;39;34;.;-;.
01054019;Bredstedt;1606;821;785;47;29;18
01054020;Breklum;797;422;375;9;3;6
01054022;Dagebüll;276;146;130;16;8;8
01054023;Drage;185;94;91;.;.;.
01054024;Drelsdorf;492;272;220;4;.;.
01054025;Dunsum;25;15;10;-;-;-
01054026;Elisabeth-Sophien-Koog;10;5;5;.;.;.
01054027;Ellhöft;36;20;16;-;-;-
