GENESIS-Tabelle: 14335-01-02-5
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.05.2012;05358056;Titz;6645;65,0;4255;1396;1529;326;348;76;580
13.05.2012;05358060;Vettweiß;7132;62,0;4353;1520;1472;381;306;71;603
13.05.2012;05362004;Bedburg;18114;62,2;11119;3136;4764;662;875;151;1531
13.05.2012;05362008;Bergheim, Erft;43446;58,7;25044;5952;10389;2061;2258;517;3867
13.05.2012;05362012;Brühl, Rheinl;32643;63,9;20560;5366;7661;2963;1960;448;2162
13.05.2012;05362016;Elsdorf, Stadt;16015;57,2;8996;2379;3560;684;803;177;1393
13.05.2012;05362020;Erftstadt;38938;63,5;24380;6300;9475;2637;2737;425;2806
13.05.2012;05362024;Frechen;37568;62,3;23028;6027;8932;2490;2176;602;2801
13.05.2012;05362028;Hürth;43411;59,9;25659;6516;10117;2891;2345;568;3222
13.05.2012;05362032;Kerpen;47128;59,4;27541;6540;11299;2784;2376;690;3852
13.05.2012;05362036;Pulheim;41262;68,5;27958;7247;10230;3610;3522;376;2973
13.05.2012;05362040;Wesseling;24859;57,1;13956;3501;5428;1397;1316;375;1939
13.05.2012;05366004;Bad Münstereifel;14457;62,1;8806;2887;2504;913;1116;170;1216
13.05.2012;05366008;Blankenheim, Ahr;6732;62,3;4095;1563;1114;362;427;86;543
13.05.2012;05366012;Dahlem, b Kall;3288;65,4;2104;848;495;138;269;56;298
13.05.2012;05366016;Euskirchen;42336;53,9;22438;6592;7544;2047;2628;532;3095
13.05.2012;05366020;Hellenthal;6465;61,5;3890;1443;1096;301;456;81;513
13.05.2012;05366024;Kall;9180;59,9;5404;1731;1722;454;632;113;752
13.05.2012;05366028;Mechernich;21219;58,2;12136;3636;4077;1135;1226;266;1796
13.05.2012;05366032;Nettersheim;5991;65,1;3822;1537;974;345;440;63;463
