GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01055039;Sierksdorf;1503;556;513;398;36
01055040;Stockelsdorf;7370;4345;2866;12;147
01055041;Süsel;2265;1471;741;28;25
01055042;Timmendorfer Strand;7252;2814;2837;1436;161
01055043;Wangels;1070;734;260;49;27
01055044;Scharbeutz;6739;3420;2220;937;162
01055046;Fehmarn;7196;3886;2476;627;207
01056001;Appen;2020;1311;675;-;34
01056002;Barmstedt;4418;2269;2037;-;112
01056003;Bevern;241;147;94;-;-
01056004;Bilsen;306;167;136;-;3
01056005;Bönningstedt;1792;1073;678;6;35
01056006;Bokel;241;152;77;-;12
01056008;Bokholt-Hanredder;470;372;94;-;4
01056009;Borstel-Hohenraden;964;643;312;-;9
01056010;Brande-Hörnerkirchen;634;410;211;3;10
01056011;Bullenkuhlen;134;93;35;3;3
01056013;Ellerbek;1841;1167;649;3;22
01056014;Ellerhoop;573;419;151;-;3
01056015;Elmshorn;23562;9151;13761;7;643
01056016;Groß Nordende;294;181;104;-;9
01056017;Groß Offenseth-Aspern;146;64;73;-;9
01056018;Halstenbek;7672;4603;2944;7;118
01056019;Haselau;466;311;140;3;12
01056020;Haseldorf;710;494;192;-;24
01056021;Hasloh;1476;990;458;-;28
01056022;Heede;266;186;68;-;12
01056023;Heidgraben;998;748;231;-;19
01056024;Heist;1162;802;341;-;19
01056025;Helgoland;1011;322;575;88;26
01056026;Hemdingen;635;390;239;-;6
01056027;Hetlingen;593;433;142;3;15
01056028;Holm;1244;825;403;3;13
01056029;Klein Nordende;1266;960;280;4;22
01056030;Klein Offenseth-Sparrieshoop;1100;839;241;-;20
01056031;Kölln-Reisiek;1224;872;335;3;14
01056032;Kummerfeld;832;612;208;3;9
01056033;Seester;356;262;84;-;10
01056034;Langeln;213;152;58;-;3
01056035;Lutzhorn;288;191;85;3;9
01056036;Moorrege;1767;1235;504;-;28
01056037;Neuendeich;200;141;55;-;4
01056038;Osterhorn;183;91;80;-;12
01056039;Pinneberg;19986;9270;10352;15;346
01056040;Prisdorf;879;582;272;-;25
01056041;Quickborn;9127;5287;3628;8;201
01056042;Raa-Besenbek;220;136;81;-;3
01056043;Rellingen;6289;4000;2155;-;134
01056044;Schenefeld, Stadt;8920;4047;4725;6;142
01056045;Seestermühe;431;311;108;-;12
01056046;Seeth-Ekholt;332;239;90;-;3
01056047;Tangstedt;919;605;305;-;9
01056048;Tornesch;5498;3129;2287;-;82
01056049;Uetersen;8338;4169;3979;6;181
01056050;Wedel;16298;6492;9444;19;343
01056051;Westerhorn;536;346;175;-;15
01057001;Ascheberg (Holstein);1272;790;434;13;35
01057002;Barmissen;65;34;27;-;4
01057003;Barsbek;241;148;81;6;6
01057004;Behrensdorf (Ostsee);393;205;135;44;9
01057005;Belau;174;118;41;12;3
01057006;Bendfeld;104;60;38;3;3
01057007;Blekendorf;814;496;249;51;18
01057008;Bönebüttel;814;586;222;-;6
01057009;Bösdorf;597;435;127;23;12
01057010;Boksee;194;137;57;-;-
01057011;Bothkamp;115;70;39;6;-
01057012;Brodersdorf;178;128;47;-;3
01057013;Dannau;265;209;47;3;6
01057015;Dersau;377;217;130;9;21
01057016;Dobersdorf;472;347;107;11;7
01057017;Dörnick;136;87;36;13;-
01057018;Fahren;75;33;38;-;4
01057020;Fiefbergen;248;162;80;3;3
01057021;Giekau;489;339;131;15;4
01057022;Grebin;412;273;115;12;12
01057023;Großbarkau;96;44;46;-;6
01057024;Großharrie;210;134;76;-;-
01057025;Heikendorf;3927;2413;1390;42;82
01057026;Helmstorf;159;98;42;3;16
01057027;Högsdorf;180;141;33;-;6
01057028;Höhndorf;176;131;33;3;9
01057029;Hohenfelde;733;323;145;237;28
01057030;Hohwacht (Ostsee);647;312;174;143;18
01057031;Honigsee;196;77;112;4;3
01057032;Kalübbe;236;139;85;-;12
01057033;Kirchbarkau;308;230;72;-;6
01057034;Kirchnüchel;85;56;20;-;9
01057035;Klamp;352;193;129;17;13
01057037;Klein Barkau;133;91;39;-;3
01057038;Kletkamp;77;32;36;-;9
01057039;Köhn;374;280;63;18;13
01057040;Krokau;203;112;85;6;-
01057041;Krummbek;188;110;69;3;6
01057042;Kühren;274;150;109;6;9
01057043;Laboe;2771;1478;1134;88;71
01057044;Lammershagen;138;69;65;-;4
01057045;Lebrade;243;135;108;-;-
01057046;Lehmkuhlen;570;373;172;4;21
01057047;Löptin;135;68;58;-;9
01057048;Lütjenburg;2586;949;1488;14;135
01057049;Lutterbek;160;109;42;3;6
01057050;Martensrade;397;256;135;6;-
01057051;Mönkeberg;1795;1080;661;16;38
01057052;Mucheln;264;169;82;6;7
01057053;Nehmten;190;99;72;15;4
01057054;Nettelsee;187;112;65;-;10
01057055;Panker;667;434;181;27;25
01057056;Passade;132;117;9;6;-
01057057;Plön;4591;1780;2568;55;188
